Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TTTM,0,1600,0.0,166400.0,50.0,2017-09-29
TTTM,200,0,21750.0,0.0,50.0,2017-11-20
TTTM,900,0,102700.0,0.0,50.0,2017-12-19
TTTM,0,500,0.0,56000.0,25.0,2018-02-15
TTTM,0,900,0.0,100800.0,20.45,2018-02-16
TTTM,0,4200,0.0,470400.0,39.62,2018-02-19
TTTM,600,0,82200.0,0.0,15.79,2018-07-05
TTTM,0,300,0.0,41200.0,25.0,2018-07-06
TTTM,0,100,0.0,13850.0,25.0,2018-07-09
TTTM,0,100,0.0,13850.0,2.63,2018-07-10
TTTM,0,100,0.0,13850.0,4.55,2018-07-23
TTTM,1000,0,159000.0,0.0,3.42,2018-08-16
TTTM,200,0,34800.0,0.0,0.3,2018-08-21
TTTM,200,0,35500.0,0.0,0.93,2018-08-22
TTTM,0,200,0.0,34800.0,4.17,2018-08-27
TTTM,0,200,0.0,36000.0,5.26,2018-09-03
TTTM,0,1000,0.0,143000.0,45.45,2018-10-19
TTTM,1000,0,189500.0,0.0,1.01,2018-12-04
TTTM,200,0,38600.0,0.0,1.49,2018-12-13
TTTM,200,0,39600.0,0.0,0.47,2018-12-25
TTTM,0,1000,0.0,198000.0,1.87,2019-01-02
TTTM,0,2200,0.0,405900.0,7.59,2019-01-24
TTTM,0,100,0.0,18350.0,0.56,2019-01-25
TTTM,0,1700,0.0,310250.0,8.58,2019-01-28
TTTM,0,31000,0.0,5686400.0,21.86,2019-01-29
TTTM,0,100,0.0,17700.0,10.0,2019-06-06
