Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
TU,1615425,697000,33886932.5,14614790.0,8.07,2017-01-04
TU,4375000,809500,91674110.0,16937500.0,24.49,2017-01-05
TU,1441500,1190600,29912460.0,24690730.0,11.45,2017-01-06
TU,2312800,1981400,48436430.0,41471690.0,11.48,2017-01-09
TU,3479400,1799259,73447100.0,37929549.7,31.65,2017-01-10
TU,895900,2129023,18766050.0,44544386.1,14.96,2017-01-11
TU,1913470,1561022,39605771.8,32314338.6,11.17,2017-01-12
TU,954800,751700,19690250.0,15487490.0,17.1,2017-01-13
TU,1480400,423400,30777230.0,8789400.0,11.09,2017-01-16
TU,1657700,1011716,34915800.0,21334966.0,10.23,2017-01-17
TU,277400,2308500,5836660.0,48556070.0,10.16,2017-01-18
TU,2043000,2296800,42764870.0,48031270.0,35.48,2017-01-19
TU,2921200,2200000,61685010.0,46383470.0,26.68,2017-01-20
TU,1002600,2357579,20846410.0,48995805.0,19.51,2017-01-23
TU,1006400,4492220,20852630.0,93076764.0,33.57,2017-01-24
TU,1217800,1879200,25344100.0,39079450.0,28.31,2017-01-25
TU,2394500,3594000,49922310.0,74943300.0,33.15,2017-01-26
TU,816100,1376500,17078040.0,28806840.0,22.23,2017-01-27
TU,484700,555700,10136110.0,11619240.0,24.1,2017-01-30
TU,577100,868400,12003390.0,18068820.0,13.99,2017-01-31
TU,680700,1401048,14041040.0,28880419.0,8.75,2017-02-01
TU,1174400,2358600,24042800.0,48334080.0,21.9,2017-02-02
TU,1240500,110100,25455359.0,2255970.0,14.33,2017-02-03
TU,964500,1707000,19786430.0,34944940.0,31.13,2017-02-06
TU,1181000,4496800,24097660.0,91523450.0,36.03,2017-02-07
TU,1688500,5903900,34285400.0,119762880.0,29.7,2017-02-08
TU,2463600,6729200,49563480.0,135376960.0,27.66,2017-02-09
TU,1602100,4882800,32503884.0,98969884.0,27.11,2017-02-10
TU,3091800,6494700,61918160.0,130199910.0,29.81,2017-02-14
TU,2328100,5508600,46271440.0,109511510.0,29.66,2017-02-15
TU,3141100,5427300,62613920.0,108079520.0,12.97,2017-02-16
TU,678200,3246800,13393060.0,64080380.0,10.11,2017-02-17
TU,1276500,1556800,25188660.0,30781620.0,10.22,2017-02-20
TU,1227800,2734700,24069470.0,53611670.0,16.93,2017-02-21
TU,2239700,6935758,44049430.0,136456110.6,27.35,2017-02-22
TU,2608900,6503447,51452560.0,128097161.2,29.74,2017-02-23
TU,1182400,2246000,23428920.0,44442220.0,16.08,2017-02-24
TU,541200,866900,10680970.0,17143170.0,7.18,2017-02-27
TU,1039100,7989312,21095980.0,162163473.6,17.49,2017-02-28
TU,1100300,3169900,22532550.0,64829040.0,13.61,2017-03-01
TU,787700,2736100,16149340.0,56138670.0,9.74,2017-03-02
TU,1088100,2248700,22326500.0,46048130.0,20.33,2017-03-03
TU,5356859,4765800,109265869.24,96951740.0,37.5,2017-03-06
TU,3973100,8286200,81112850.0,169085270.0,40.03,2017-03-07
TU,3070784,5836200,63400788.8,120270660.0,27.23,2017-03-08
TU,4030618,7620367,83312392.6,157661558.3,31.38,2017-03-09
TU,3261872,2591100,67297432.0,53421110.0,23.48,2017-03-10
TU,1859700,5351500,39382470.0,113329180.0,13.0,2017-03-13
TU,1384881,4379992,29528619.6,93349660.4,20.69,2017-03-14
TU,1051600,4769967,22493470.0,101700370.4,16.92,2017-03-15
TU,3632403,5264497,76925698.8,111478266.3,13.25,2017-03-16
TU,4210390,6288694,88725611.3,132320717.8,20.87,2017-03-17
TU,1769400,4068300,37342400.0,85833820.0,25.11,2017-03-20
TU,1829400,4590723,38570170.0,96704873.8,33.25,2017-03-21
TU,1104400,3513800,23401200.0,74310000.0,21.94,2017-03-22
TU,1533300,6653012,32547680.0,141252833.2,32.0,2017-03-23
TU,442500,2026700,9353920.0,42849540.0,18.65,2017-03-24
TU,638200,1497500,13472620.0,31549650.0,21.01,2017-03-27
TU,944900,1719484,19930750.0,36226074.0,17.37,2017-03-28
TU,1919700,2455584,40555540.0,51818582.7,30.27,2017-03-29
TU,3150500,1830200,67351510.0,38919460.0,22.37,2017-03-30
TU,517000,2998500,10991240.0,63806510.0,21.66,2017-03-31
TU,433437,1718600,9186391.8,36332200.0,17.2,2017-04-03
TU,406100,368800,8579780.0,7790400.0,7.25,2017-04-04
TU,1169100,2633000,24587100.0,55322020.0,24.53,2017-04-05
TU,876000,4938145,18290860.0,102847300.5,22.8,2017-04-07
TU,658300,2127900,13687740.0,44243620.0,20.89,2017-04-10
TU,527000,3066045,11087440.0,64414160.5,23.08,2017-04-11
TU,733100,1473700,15517080.0,31109630.0,21.36,2017-04-12
TU,947800,737600,20004750.0,15529390.0,24.79,2017-04-17
TU,491000,1540900,10324700.0,32355430.0,22.57,2017-04-18
TU,711900,1443500,14988900.0,30375040.0,20.1,2017-04-19
TU,424000,2124358,8916670.0,44711996.4,20.81,2017-04-20
TU,311978,1027000,6552630.8,21518980.0,18.47,2017-04-21
TU,2842100,914526,59594900.0,19144096.0,25.6,2017-04-24
TU,920100,909706,19402900.0,19137555.4,17.81,2017-04-25
TU,212100,848630,4462280.0,17853300.0,12.07,2017-04-26
TU,917300,753100,19340430.0,15838230.0,10.75,2017-04-27
TU,821900,2418719,17408150.0,51000539.5,20.51,2017-04-28
TU,738600,2169168,15662960.0,45880764.8,18.87,2017-05-02
TU,433700,2628270,9385240.0,56804614.0,6.79,2017-05-03
TU,618800,1489969,13504830.0,32478988.5,16.52,2017-05-04
TU,278298,213514,6050416.4,4658263.8,3.69,2017-05-05
TU,1128000,3294300,25357810.0,73667760.0,7.16,2017-05-08
TU,4153100,7901800,88868300.0,169183910.0,14.28,2017-05-09
TU,3224000,3421700,66731830.0,70630120.0,18.01,2017-05-11
TU,3470800,3933100,70149330.0,79488660.0,18.26,2017-05-12
TU,669100,2960740,13512560.0,60137192.0,14.85,2017-05-15
TU,386210,5081000,7954547.0,104299290.0,17.0,2017-05-16
TU,599200,5215919,12396580.0,107502637.6,22.24,2017-05-17
TU,1265010,2100400,26089346.0,43272040.0,27.03,2017-05-18
TU,725400,1799246,14933870.0,37037813.8,15.54,2017-05-19
TU,2729587,2864252,57332948.9,60038466.4,21.12,2017-05-22
TU,2427929,2969812,51653228.4,63084604.4,22.74,2017-05-23
TU,908850,4700100,19406799.0,100261210.0,25.59,2017-05-24
