Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
UMI,7200,2000,22338.0,6320.0,0.26,2017-01-05
UMI,6500,2000,20370.0,6320.0,0.16,2017-01-06
UMI,58300,7500,193556.0,24920.0,0.44,2017-01-09
UMI,397100,206500,1512158.0,792374.0,0.32,2017-01-10
UMI,126800,122000,482032.0,469840.0,0.74,2017-01-11
UMI,274100,89900,1052862.0,348474.0,0.77,2017-01-12
UMI,0,54100,0.0,205580.0,0.62,2017-01-13
UMI,241700,241000,936976.0,932344.0,2.2,2017-01-16
UMI,10200,260025,39248.0,1031088.0,0.47,2017-01-17
UMI,500,0,1904.0,0.0,0.0,2017-01-18
UMI,500,8800,1894.0,32960.0,0.15,2017-01-19
UMI,114100,0,436792.0,0.0,0.91,2017-01-20
UMI,100700,10000,387744.0,38800.0,0.83,2017-01-23
UMI,28000,0,106444.0,0.0,0.29,2017-01-24
UMI,8500,8000,32064.0,30080.0,0.5,2017-01-25
UMI,39700,0,149432.0,0.0,0.76,2017-01-26
UMI,65600,0,241700.0,0.0,0.99,2017-01-27
UMI,56300,1000,209168.0,3700.0,2.47,2017-01-30
UMI,94300,0,342728.0,0.0,3.15,2017-01-31
UMI,51600,0,183560.0,0.0,1.29,2017-02-01
UMI,17900,0,64298.0,0.0,1.02,2017-02-02
UMI,2100,21200,7350.0,74814.0,3.83,2017-02-03
UMI,300,37600,1080.0,134768.0,1.38,2017-02-06
UMI,137801,174400,510317.74,647888.0,1.44,2017-02-07
UMI,67400,67000,252332.0,248952.0,1.33,2017-02-08
UMI,0,96600,0.0,353550.0,4.73,2017-02-09
UMI,0,67500,0.0,247246.0,2.1,2017-02-10
UMI,0,400,0.0,1440.0,0.03,2017-02-14
UMI,231000,51500,809340.0,178462.0,7.77,2017-02-15
UMI,19600,265400,69260.0,938716.0,7.14,2017-02-16
UMI,3200,23900,11328.0,84496.0,1.27,2017-02-17
UMI,5600,2000,20056.0,7160.0,0.92,2017-02-20
UMI,100700,116400,375288.0,433968.0,0.8,2017-02-21
UMI,151300,120800,580774.0,463432.0,0.9,2017-02-22
UMI,14400,26800,54668.0,100882.0,0.42,2017-02-23
UMI,0,73700,0.0,278038.0,0.94,2017-02-24
UMI,25000,506300,88800.0,1759516.0,6.26,2017-02-27
UMI,22000,25400,72800.0,87444.0,0.75,2017-02-28
UMI,3600,0,11818.0,0.0,0.08,2017-03-01
UMI,100000,153000,346000.0,530406.0,1.69,2017-03-02
UMI,10600,103100,37284.0,360516.0,0.85,2017-03-03
UMI,0,8000,0.0,28018.0,0.14,2017-03-06
UMI,4000,41500,13160.0,139710.0,1.09,2017-03-08
UMI,4100,4000,13776.0,13600.0,0.82,2017-03-10
UMI,25000,100,82660.0,330.0,0.71,2017-03-13
UMI,1800,0,5938.0,0.0,0.19,2017-03-14
UMI,12000,0,39098.0,0.0,1.0,2017-03-15
UMI,35400,0,117886.0,0.0,4.48,2017-03-16
UMI,27400,0,91234.0,0.0,3.37,2017-03-17
UMI,3400,0,11222.0,0.0,0.98,2017-03-20
UMI,7400,0,24528.0,0.0,0.33,2017-03-21
UMI,3200,0,10700.0,0.0,0.79,2017-03-22
UMI,0,5000,0.0,16800.0,1.1,2017-03-23
UMI,10000,8300,33400.0,27648.0,5.37,2017-03-24
UMI,0,2200,0.0,7256.0,0.52,2017-03-27
UMI,0,100,0.0,330.0,0.02,2017-03-28
