Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
UVAN,103100,118800,804125.0,928410.0,0.99,2017-01-04
UVAN,658200,100,4902300.0,735.0,5.22,2017-01-05
UVAN,2900,32000,21190.0,235110.0,0.8,2017-01-06
UVAN,279400,70800,2003370.0,504075.0,6.24,2017-01-09
UVAN,72000,119800,526800.0,874125.0,3.01,2017-01-10
UVAN,66300,10000,488035.0,74500.0,0.63,2017-01-11
UVAN,75700,600,548825.0,4455.0,1.26,2017-01-12
UVAN,341400,41300,2505235.0,303210.0,14.73,2017-01-13
UVAN,0,30300,0.0,222555.0,0.33,2017-01-16
UVAN,0,46600,0.0,339335.0,1.66,2017-01-17
UVAN,441000,39000,3262735.0,288450.0,7.23,2017-01-18
UVAN,0,5600,0.0,42000.0,0.28,2017-01-19
UVAN,222900,0,1666175.0,0.0,6.05,2017-01-20
UVAN,31900,3400,236025.0,25160.0,3.95,2017-01-23
UVAN,297900,90000,2265580.0,682000.0,2.37,2017-01-24
UVAN,319600,114000,2464805.0,875380.0,1.7,2017-01-25
UVAN,326900,106800,2500445.0,832300.0,4.77,2017-01-26
UVAN,237100,1152800,1885565.0,9338175.0,3.71,2017-01-27
UVAN,231400,334300,1992990.0,2816150.0,0.85,2017-01-30
UVAN,416900,513900,3529035.0,4378690.0,3.39,2017-01-31
UVAN,80500,246400,649790.0,2036895.0,2.11,2017-02-01
UVAN,1024200,298000,8609865.0,2516620.0,5.26,2017-02-02
UVAN,96400,466800,811035.0,3947665.0,5.13,2017-02-03
UVAN,175200,564100,1411970.0,4612350.0,5.4,2017-02-06
UVAN,260900,169600,2084280.0,1358510.0,4.23,2017-02-07
UVAN,1005400,452400,7926380.0,3556465.0,17.53,2017-02-08
UVAN,210000,62100,1619370.0,477420.0,4.21,2017-02-09
UVAN,251900,25900,1952685.0,201895.0,4.99,2017-02-10
UVAN,30400,99400,234965.0,763375.0,4.13,2017-02-14
UVAN,108300,142500,802985.0,1065810.0,2.96,2017-02-15
UVAN,7600,183400,58520.0,1408880.0,2.3,2017-02-16
UVAN,7700,123100,57420.0,935225.0,1.88,2017-02-17
UVAN,45500,30400,341485.0,227070.0,4.09,2017-02-20
UVAN,117900,45700,880075.0,339405.0,13.88,2017-02-21
UVAN,41300,57300,307470.0,424520.0,15.84,2017-02-22
UVAN,90000,75700,673295.0,565455.0,13.37,2017-02-23
UVAN,166300,87600,1240825.0,652140.0,17.32,2017-02-24
UVAN,36200,72400,258830.0,523110.0,6.81,2017-02-27
UVAN,167200,102800,1191605.0,731300.0,18.26,2017-02-28
UVAN,55000,56500,392140.0,401410.0,9.62,2017-03-01
UVAN,15700,7800,113270.0,55865.0,6.22,2017-03-02
UVAN,23700,3400,170640.0,24395.0,11.4,2017-03-03
UVAN,55800,5100,401740.0,36770.0,4.33,2017-03-06
UVAN,18400,11600,132630.0,83615.0,1.32,2017-03-07
UVAN,24400,70600,172390.0,494580.0,2.82,2017-03-08
UVAN,0,177500,0.0,1240105.0,19.82,2017-03-09
UVAN,0,43900,0.0,304250.0,3.12,2017-03-10
UVAN,21200,30400,147445.0,208990.0,7.36,2017-03-13
UVAN,0,30500,0.0,211365.0,4.2,2017-03-14
UVAN,0,29700,0.0,207675.0,4.31,2017-03-15
UVAN,20200,19700,141405.0,138610.0,3.42,2017-03-16
UVAN,2900,20800,20195.0,145320.0,3.08,2017-03-17
UVAN,61500,146600,450590.0,1065465.0,4.0,2017-03-20
UVAN,1700,49900,12300.0,361025.0,2.21,2017-03-21
UVAN,100100,362800,710710.0,2564945.0,10.52,2017-03-22
UVAN,26900,82700,189190.0,583575.0,8.01,2017-03-23
UVAN,5700,39500,40520.0,280100.0,3.41,2017-03-24
UVAN,42600,33800,301125.0,239875.0,10.91,2017-03-27
UVAN,7300,51600,51655.0,364840.0,3.31,2017-03-28
UVAN,4300,10100,30530.0,71655.0,3.68,2017-03-29
UVAN,0,114600,0.0,809080.0,13.15,2017-03-30
UVAN,200,2900,1420.0,20550.0,0.73,2017-03-31
UVAN,42800,31300,301740.0,220670.0,8.09,2017-04-03
UVAN,8800,21400,62680.0,151900.0,3.46,2017-04-04
UVAN,2800,28800,19855.0,203785.0,3.78,2017-04-05
UVAN,0,10000,0.0,71260.0,1.28,2017-04-07
UVAN,1500,2100,10575.0,14890.0,0.57,2017-04-10
UVAN,16000,1500,112800.0,10575.0,2.28,2017-04-11
UVAN,110000,13200,769655.0,94165.0,0.92,2017-04-12
UVAN,4900,42800,33785.0,294860.0,2.14,2017-04-17
UVAN,24300,11700,166120.0,78495.0,1.13,2017-04-18
UVAN,33000,59600,219500.0,399310.0,6.13,2017-04-19
UVAN,1900,50000,12745.0,335000.0,3.35,2017-04-20
UVAN,3900,0,26275.0,0.0,0.31,2017-04-21
UVAN,800,0,5400.0,0.0,0.14,2017-04-24
UVAN,0,12000,0.0,81900.0,1.48,2017-04-25
UVAN,0,2300,0.0,15610.0,0.57,2017-04-26
UVAN,0,25200,0.0,175835.0,0.76,2017-04-27
UVAN,5000,5100,35250.0,35950.0,1.07,2017-04-28
UVAN,41400,5400,289900.0,38080.0,2.14,2017-05-02
UVAN,2500,0,17715.0,0.0,0.5,2017-05-03
UVAN,52900,80000,370300.0,560000.0,20.3,2017-05-04
UVAN,1600,15000,11200.0,105000.0,4.01,2017-05-05
UVAN,3300,100,23100.0,700.0,1.11,2017-05-08
UVAN,10600,17100,73140.0,118105.0,2.48,2017-05-11
UVAN,1200,8800,8280.0,61110.0,0.83,2017-05-12
UVAN,0,9900,0.0,68780.0,4.3,2017-05-15
UVAN,0,100,0.0,700.0,0.02,2017-05-16
UVAN,1400,4300,9945.0,30445.0,0.34,2017-05-17
UVAN,1300,3400,9200.0,24240.0,1.39,2017-05-18
UVAN,316000,0,2297720.0,0.0,5.67,2017-05-19
UVAN,50100,52400,370740.0,387760.0,3.26,2017-05-22
UVAN,75300,22600,567990.0,169660.0,1.13,2017-05-23
UVAN,2400,44200,17640.0,335195.0,0.95,2017-05-24
UVAN,39900,7600,291265.0,55360.0,3.63,2017-05-25
UVAN,64700,194500,466185.0,1403585.0,13.33,2017-05-26
UVAN,3300,0,24075.0,0.0,0.37,2017-05-29
UVAN,17800,0,129990.0,0.0,0.07,2017-05-30
UVAN,1100,5100,8085.0,36975.0,0.62,2017-05-31
UVAN,0,3100,0.0,22630.0,1.65,2017-06-01
UVAN,0,10600,0.0,77380.0,2.77,2017-06-02
UVAN,0,1300,0.0,9635.0,0.04,2017-06-05
UVAN,0,6000,0.0,44810.0,0.21,2017-06-06
UVAN,200,10300,1490.0,76785.0,0.93,2017-06-07
UVAN,0,9200,0.0,68115.0,0.99,2017-06-08
UVAN,500,1700,3700.0,12575.0,0.14,2017-06-09
UVAN,3900,490000,28680.0,3602970.0,22.84,2017-06-12
UVAN,1000,643400,7420.0,4747255.0,36.83,2017-06-13
UVAN,1200,550600,8830.0,4046960.0,41.23,2017-06-14
UVAN,0,593700,0.0,4390130.0,41.55,2017-06-15
UVAN,2000,287900,14705.0,2122940.0,2.76,2017-06-16
UVAN,93600,80000,704800.0,605000.0,0.84,2017-06-19
UVAN,12600,5100,95740.0,38625.0,0.31,2017-06-20
UVAN,11400,3400,85960.0,25600.0,0.91,2017-06-21
UVAN,12000,51400,89400.0,383070.0,4.91,2017-06-22
UVAN,2800,2300,21000.0,17250.0,0.35,2017-06-23
UVAN,12600,18200,93870.0,135710.0,2.41,2017-06-26
UVAN,1000,7400,7450.0,55130.0,0.76,2017-06-27
UVAN,700,19600,5180.0,145085.0,1.95,2017-06-28
UVAN,33700,22900,251695.0,170365.0,0.9,2017-06-29
