Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
VPO,104700,136000,165926.0,220000.0,0.26,2017-01-04
VPO,40800,43800,63836.0,68768.0,0.41,2017-01-05
VPO,33600,18800,52348.0,29892.0,0.28,2017-01-06
VPO,97600,15000,152641.0,23550.0,0.66,2017-01-09
VPO,518300,0,817552.0,0.0,0.82,2017-01-10
VPO,39400,93900,61767.0,150912.0,0.36,2017-01-11
VPO,0,42500,0.0,66519.0,0.37,2017-01-12
VPO,11200,41100,17472.0,63541.0,0.32,2017-01-13
VPO,101300,1000,157915.0,1550.0,0.35,2017-01-16
VPO,56700,0,87802.0,0.0,0.55,2017-01-17
VPO,12600,0,19404.0,0.0,0.07,2017-01-18
VPO,100000,56500,152000.0,83503.0,1.35,2017-01-19
VPO,20500,34300,30380.0,50789.0,0.43,2017-01-20
VPO,194900,1000,292721.0,1510.0,4.67,2017-01-23
VPO,3344000,3000,5218442.0,4710.0,12.14,2017-01-24
VPO,297600,121000,456104.0,189679.0,3.43,2017-01-25
VPO,0,60300,0.0,92397.0,1.07,2017-01-26
VPO,10900,1000100,16584.0,1550151.0,6.25,2017-01-27
VPO,171700,401000,271253.0,631590.0,0.84,2017-01-30
VPO,2201100,4033500,3563873.0,6543620.0,4.39,2017-01-31
VPO,206000,103900,326440.0,163454.0,1.02,2017-02-01
VPO,70000,77300,108000.0,120050.0,1.09,2017-02-02
VPO,1800,96800,2808.0,149670.0,0.85,2017-02-03
VPO,1000,15900,1540.0,24643.0,0.4,2017-02-06
VPO,200800,532400,299208.0,814215.0,5.89,2017-02-07
VPO,8000,40100,11840.0,59848.0,0.66,2017-02-08
VPO,16100,220700,23737.0,324227.0,3.96,2017-02-09
VPO,5500,62600,8165.0,92988.0,1.78,2017-02-10
VPO,1900,27800,2717.0,40788.0,0.6,2017-02-14
VPO,20900,78600,29560.0,109981.0,0.92,2017-02-15
VPO,10000,32000,14500.0,45215.0,0.29,2017-02-16
VPO,2000,5000,2900.0,7198.0,0.29,2017-02-17
VPO,1000,13500,1450.0,19944.0,0.1,2017-02-20
VPO,65000,0,93800.0,0.0,1.33,2017-02-21
VPO,252000,0,352800.0,0.0,3.68,2017-02-22
VPO,7000,200,9690.0,282.0,0.08,2017-02-23
VPO,5000,600,6750.0,798.0,0.1,2017-03-01
VPO,20000,0,26600.0,0.0,1.51,2017-03-03
VPO,300,400200,394.0,528270.0,22.49,2017-03-06
VPO,30100,2000,37928.0,2580.0,2.17,2017-03-14
VPO,1300,200,1672.0,256.0,0.15,2017-03-15
VPO,3600,0,4623.0,0.0,0.22,2017-03-16
VPO,19500,800,25233.0,1024.0,1.12,2017-03-17
VPO,20000,5600,26400.0,7394.0,0.88,2017-03-20
VPO,5000,36100,6850.0,49312.0,0.79,2017-03-21
VPO,67400,22400,94112.0,31142.0,0.66,2017-03-22
VPO,0,14200,0.0,19601.0,0.36,2017-03-23
VPO,700,0,945.0,0.0,0.06,2017-03-24
VPO,0,800,0.0,1064.0,0.08,2017-03-27
VPO,25000,2200,33500.0,2957.0,1.93,2017-03-28
VPO,100100,50400,138134.0,67548.0,2.54,2017-03-29
VPO,9700,50000,13095.0,67500.0,4.19,2017-03-30
VPO,1200,200,1620.0,271.0,0.12,2017-03-31
VPO,200,10600,272.0,14497.0,1.22,2017-04-03
VPO,2800,0,3780.0,0.0,0.2,2017-04-04
VPO,4900,0,6575.0,0.0,1.22,2017-04-05
VPO,500,500,674.0,675.0,0.18,2017-04-07
VPO,0,2500,0.0,3359.0,0.31,2017-04-10
VPO,0,2100,0.0,2814.0,0.24,2017-04-11
VPO,382200,76800,539260.0,109303.0,1.65,2017-04-12
VPO,14600,28400,20440.0,39560.0,0.27,2017-04-17
VPO,6100,15900,8540.0,22441.0,0.18,2017-04-18
VPO,4400,6100,6160.0,8540.0,0.11,2017-04-19
VPO,33400,7400,46092.0,10480.0,0.16,2017-04-20
VPO,0,23400,0.0,32526.0,0.54,2017-04-21
VPO,2000,0,2820.0,0.0,0.05,2017-04-24
VPO,10000,0,13300.0,0.0,0.21,2017-04-25
VPO,200,0,266.0,0.0,0.01,2017-04-26
VPO,0,11000,0.0,15170.0,0.31,2017-04-28
VPO,0,37000,0.0,51430.0,2.06,2017-05-03
VPO,20000,0,27400.0,0.0,3.17,2017-05-05
VPO,700,100000,945.0,136000.0,20.69,2017-05-09
VPO,5400,0,7232.0,0.0,0.35,2017-05-11
VPO,30000,0,38100.0,0.0,2.34,2017-05-12
VPO,25000,0,31150.0,0.0,8.99,2017-05-17
VPO,0,1900,0.0,2375.0,0.28,2017-05-19
VPO,0,400,0.0,532.0,0.01,2017-05-23
VPO,40000,0,52100.0,0.0,9.91,2017-05-26
VPO,900,0,1148.0,0.0,0.15,2017-05-31
VPO,0,259000,0.0,327930.0,23.56,2017-06-02
VPO,10000,0,12500.0,0.0,0.56,2017-06-06
VPO,1000,0,1250.0,0.0,0.52,2017-06-08
VPO,600,0,756.0,0.0,0.18,2017-06-12
VPO,500,27500,625.0,34690.0,7.35,2017-06-13
VPO,0,54000,0.0,71170.0,0.57,2017-06-15
VPO,1000,0,1270.0,0.0,0.05,2017-06-19
VPO,0,2000,0.0,2580.0,0.23,2017-06-26
VPO,0,72500,0.0,93525.0,6.72,2017-06-27
VPO,21600,138000,27224.0,173990.0,1.2,2017-06-28
VPO,0,5600,0.0,7224.0,0.01,2017-06-29
VPO,10000,0,12420.0,0.0,0.31,2017-07-05
VPO,0,30000,0.0,36900.0,8.75,2017-07-11
VPO,10000,0,12200.0,0.0,1.6,2017-07-14
VPO,10000,5000,11800.0,5900.0,0.49,2017-07-21
VPO,20000,0,23400.0,0.0,2.02,2017-07-24
VPO,10000,0,11200.0,0.0,0.93,2017-08-01
VPO,0,5000,0.0,5450.0,0.18,2017-08-21
VPO,0,5000,0.0,5200.0,0.18,2017-09-04
VPO,2200,0,2354.0,0.0,0.05,2017-09-05
VPO,20000,0,21200.0,0.0,1.32,2017-09-07
VPO,5100,0,5406.0,0.0,0.08,2017-09-08
VPO,40000,0,42400.0,0.0,0.67,2017-09-13
VPO,1100,0,1155.0,0.0,0.17,2017-09-26
VPO,17200,0,18010.0,0.0,2.47,2017-09-27
VPO,30000,4500,30300.0,4455.0,0.62,2017-10-10
VPO,0,4500,0.0,4500.0,0.34,2017-10-11
VPO,0,6000,0.0,6000.0,0.45,2017-10-12
VPO,0,10000,0.0,10100.0,0.31,2017-10-17
VPO,5000,5000,5050.0,5100.0,0.68,2017-10-20
VPO,0,500,0.0,515.0,0.08,2017-10-24
VPO,500,0,505.0,0.0,0.07,2017-10-25
VPO,0,5000,0.0,5150.0,1.27,2017-10-30
VPO,5000,0,5000.0,0.0,0.7,2017-10-31
VPO,0,5000,0.0,5050.0,1.69,2017-11-02
VPO,5000,0,4900.0,0.0,1.09,2017-11-07
VPO,5000,0,4750.0,0.0,0.57,2017-11-09
VPO,0,8000,0.0,7070.0,0.38,2017-11-13
VPO,20600,102000,18540.0,91860.0,7.14,2017-11-14
VPO,18800,0,17108.0,0.0,1.12,2017-11-15
VPO,275000,0,254856.0,0.0,15.38,2017-11-20
VPO,31600,0,27492.0,0.0,2.2,2017-11-21
VPO,3200,0,2880.0,0.0,0.56,2017-11-22
VPO,276800,0,250087.0,0.0,25.64,2017-11-23
VPO,10000,0,8800.0,0.0,8.99,2017-12-01
VPO,0,9000,0.0,7830.0,8.52,2017-12-07
VPO,0,91000,0.0,79170.0,17.42,2017-12-08
VPO,0,100000,0.0,84000.0,12.22,2017-12-12
