Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
WORK,81200,13330,3633075.0,595085.0,8.4,2017-01-04
WORK,71900,16500,3225525.0,737800.0,6.33,2017-01-05
WORK,48000,30300,2140075.0,1348500.0,5.33,2017-01-06
WORK,125525,10300,5596412.5,457275.0,15.63,2017-01-09
WORK,36600,13200,1649850.0,590875.0,3.43,2017-01-10
WORK,174800,126100,8018425.0,5772000.0,13.34,2017-01-11
WORK,3700,133000,167825.0,6119375.0,7.19,2017-01-12
WORK,294000,44800,13724425.0,2086725.0,8.21,2017-01-13
WORK,162600,164100,7941450.0,8019225.0,7.05,2017-01-16
WORK,26400,73300,1282700.0,3560600.0,2.29,2017-01-17
WORK,1800,187400,89925.0,9285525.0,4.35,2017-01-18
WORK,5300,660000,257050.0,32235250.0,15.23,2017-01-19
WORK,100700,5700,5032675.0,285100.0,4.03,2017-01-20
WORK,19100,137600,977825.0,7011450.0,12.61,2017-01-23
WORK,21300,134800,1075650.0,6786375.0,12.31,2017-01-24
WORK,34400,25800,1694975.0,1282775.0,3.0,2017-01-25
WORK,104200,37300,5103950.0,1833075.0,2.23,2017-01-26
WORK,55900,82300,2929625.0,4307000.0,2.39,2017-01-27
WORK,48300,168300,2562475.0,9011550.0,4.56,2017-01-30
WORK,3400,11400,179425.0,596775.0,0.45,2017-01-31
WORK,1500,118800,79025.0,6204500.0,3.37,2017-02-01
WORK,6400,37400,337025.0,1961900.0,1.56,2017-02-02
WORK,21900,53900,1133325.0,2783250.0,2.34,2017-02-03
WORK,54200,30700,2841900.0,1614450.0,4.54,2017-02-06
WORK,26800,5900,1408025.0,310000.0,2.35,2017-02-07
WORK,21400,7110,1118025.0,371870.0,3.17,2017-02-08
WORK,49800,19600,2625125.0,1026475.0,6.33,2017-02-09
WORK,16500,45500,867500.0,2390575.0,8.51,2017-02-10
WORK,39700,28200,2078450.0,1469125.0,5.63,2017-02-14
WORK,33700,43800,1745075.0,2276100.0,7.45,2017-02-15
WORK,6200,48500,313600.0,2456800.0,3.34,2017-02-16
WORK,14900,14600,752600.0,742450.0,1.64,2017-02-17
WORK,20700,10900,1060350.0,553325.0,4.3,2017-02-20
WORK,66000,12100,3398525.0,622300.0,12.59,2017-02-21
WORK,18200,25600,924550.0,1305725.0,6.64,2017-02-22
WORK,10600,27800,558050.0,1456200.0,1.04,2017-02-23
WORK,180600,87700,9808225.0,4738150.0,5.0,2017-02-24
WORK,67100,79000,3794625.0,4449150.0,2.55,2017-02-27
WORK,17900,3400,1008225.0,191075.0,0.59,2017-02-28
WORK,93100,27200,5135875.0,1502625.0,5.87,2017-03-01
WORK,80700,107600,4564075.0,6002825.0,8.55,2017-03-02
WORK,184000,20600,10490225.0,1174125.0,17.48,2017-03-03
WORK,14400,43800,802625.0,2494325.0,2.53,2017-03-06
WORK,120300,22600,6884825.0,1290650.0,24.05,2017-03-07
WORK,11300,40300,640500.0,2268325.0,4.84,2017-03-08
WORK,3400,98100,193250.0,5570700.0,27.71,2017-03-09
WORK,10000,32984,562875.0,1848134.25,4.52,2017-03-10
WORK,19700,16600,1100325.0,929050.0,4.39,2017-03-13
WORK,62500,16800,3514025.0,944400.0,18.25,2017-03-14
WORK,7300,0,410050.0,0.0,2.52,2017-03-15
WORK,10000,0,565100.0,0.0,0.7,2017-03-16
WORK,0,5100,0.0,290500.0,0.41,2017-03-17
WORK,2600,7000,147500.0,398175.0,2.21,2017-03-20
WORK,12400,2200,708750.0,125950.0,4.41,2017-03-21
WORK,10600,1200,606825.0,68100.0,1.6,2017-03-22
WORK,8600,1600,491450.0,91550.0,1.15,2017-03-23
WORK,184300,171300,10811875.0,10116500.0,7.77,2017-03-24
WORK,16300,5300,925800.0,302975.0,2.55,2017-03-27
WORK,8606,13000,478890.5,722625.0,0.67,2017-03-28
WORK,20400,200,1131175.0,11100.0,2.46,2017-03-29
WORK,85100,23700,4559475.0,1267250.0,1.3,2017-03-30
WORK,110200,600,5936150.0,32075.0,4.72,2017-03-31
WORK,63400,200,3443575.0,10800.0,6.51,2017-04-03
WORK,13000,1300,711525.0,70975.0,1.02,2017-04-04
WORK,17600,2900,966425.0,159350.0,4.18,2017-04-05
WORK,19900,21900,1095325.0,1205675.0,6.84,2017-04-07
WORK,18600,27200,1008325.0,1472150.0,8.67,2017-04-10
WORK,45100,63200,2417150.0,3381200.0,3.18,2017-04-11
WORK,4400,8900,234425.0,475650.0,1.92,2017-04-12
WORK,16300,8500,861075.0,449925.0,2.5,2017-04-17
WORK,39500,14000,2125650.0,750150.0,2.92,2017-04-18
WORK,1800,29800,96700.0,1596700.0,3.4,2017-04-19
WORK,6700,3100,358550.0,165525.0,0.67,2017-04-20
WORK,22500,22200,1202600.0,1183700.0,5.08,2017-04-21
WORK,600,32600,31950.0,1738825.0,6.82,2017-04-24
WORK,200,41500,10700.0,2214100.0,2.13,2017-04-25
WORK,15400,24300,815375.0,1279450.0,1.63,2017-04-26
WORK,48600,200,2600700.0,10700.0,8.83,2017-04-27
WORK,36600,200,1957875.0,10700.0,4.7,2017-04-28
WORK,17600,1000,941450.0,53425.0,2.8,2017-05-02
WORK,18700,11000,1022200.0,602250.0,1.19,2017-05-03
WORK,59800,12400,3358200.0,694875.0,2.1,2017-05-04
WORK,51300,9100,2862100.0,508375.0,4.24,2017-05-05
WORK,6500,10600,362300.0,591900.0,0.69,2017-05-08
WORK,60100,52200,3320525.0,2884175.0,4.98,2017-05-09
WORK,59400,43100,3276925.0,2370650.0,6.83,2017-05-11
WORK,59500,49800,3292875.0,2744400.0,2.16,2017-05-12
WORK,37000,15200,2041850.0,835400.0,3.2,2017-05-15
WORK,501517,124100,28614375.0,7126850.0,11.25,2017-05-16
WORK,77543,120600,4475963.5,6937175.0,5.81,2017-05-17
WORK,35800,40320,2059850.0,2300840.0,4.28,2017-05-18
WORK,262876,154209,15404043.5,9062722.0,3.91,2017-05-19
WORK,65301,66800,3896934.75,3967375.0,2.99,2017-05-22
WORK,126494,108,7428867.75,6318.0,5.21,2017-05-23
WORK,161800,220,9613075.0,13015.0,6.9,2017-05-24
WORK,171296,15830,10291599.75,944363.0,2.62,2017-05-25
WORK,196200,106700,12349575.0,6612900.0,4.92,2017-05-26
WORK,247316,102900,15943017.0,6544800.0,4.74,2017-05-29
WORK,103000,106200,6645100.0,6854825.0,7.75,2017-05-30
WORK,318600,64250,20611975.0,4143825.0,14.75,2017-05-31
WORK,149810,1700,9716750.0,109775.0,8.35,2017-06-01
WORK,19115,7200,1236892.5,467350.0,2.93,2017-06-02
WORK,243216,25300,15676807.0,1625600.0,13.81,2017-06-05
WORK,130400,60800,8351850.0,3885975.0,12.32,2017-06-06
WORK,368610,56000,23961777.5,3621025.0,7.14,2017-06-07
WORK,465280,60826,30165485.0,3951508.5,15.36,2017-06-08
WORK,167627,40679,10911058.25,2645535.25,11.53,2017-06-09
WORK,246200,195798,16378050.0,13146822.25,5.69,2017-06-12
WORK,212810,171800,14361897.5,11677775.0,2.9,2017-06-13
WORK,660000,9300,44656525.0,626875.0,10.9,2017-06-14
WORK,895100,113200,60708700.0,7668200.0,34.43,2017-06-15
WORK,215200,123700,14393075.0,8279700.0,9.13,2017-06-16
WORK,174800,72500,11657250.0,4835650.0,16.51,2017-06-19
WORK,204400,88000,13693150.0,5887200.0,8.83,2017-06-20
WORK,117200,37900,7850300.0,2525825.0,23.75,2017-06-21
WORK,261600,46200,17486200.0,3085900.0,28.25,2017-06-22
WORK,121400,54700,8080825.0,3639300.0,17.37,2017-06-23
WORK,36800,9200,2457925.0,614375.0,7.7,2017-06-26
WORK,496500,510100,32307575.0,33300575.0,13.87,2017-06-27
WORK,292700,9100,18696225.0,581200.0,7.81,2017-06-28
WORK,252400,57800,15994225.0,3674050.0,9.15,2017-06-29
WORK,189000,52600,11897950.0,3310075.0,8.46,2017-06-30
WORK,41300,109700,2656700.0,7093275.0,5.7,2017-07-03
WORK,70700,36600,4552425.0,2369175.0,6.4,2017-07-04
WORK,46100,58300,2989400.0,3774775.0,8.36,2017-07-05
WORK,43600,29600,2830075.0,1914625.0,6.38,2017-07-06
WORK,70600,43000,4594775.0,2796150.0,8.0,2017-07-07
WORK,119400,45500,7696275.0,2929475.0,19.25,2017-07-11
WORK,47200,86775,3028375.0,5564275.0,10.79,2017-07-12
WORK,66800,85100,4203600.0,5365675.0,7.02,2017-07-13
WORK,43100,165500,2677100.0,10276350.0,5.15,2017-07-14
WORK,62300,21300,3923775.0,1336250.0,3.89,2017-07-17
WORK,30300,42800,1906825.0,2691975.0,11.6,2017-07-18
WORK,43200,30600,2686325.0,1900650.0,2.75,2017-07-19
WORK,96500,65500,6031800.0,4091675.0,3.8,2017-07-20
WORK,995200,106200,64272700.0,6803800.0,20.46,2017-07-21
WORK,42700,47700,2771225.0,3089525.0,4.76,2017-07-24
WORK,1104200,139400,71791350.0,9046600.0,31.79,2017-07-25
WORK,81020,41400,5197735.0,2661900.0,9.91,2017-07-26
WORK,118300,87400,7510825.0,5550625.0,15.04,2017-07-27
WORK,7400,174900,466300.0,11047375.0,18.75,2017-07-31
WORK,19400,70900,1214050.0,4452325.0,3.35,2017-08-01
WORK,62700,48100,3915875.0,3010175.0,4.6,2017-08-02
WORK,23300,58000,1465300.0,3637300.0,15.15,2017-08-03
WORK,17600,39100,1100500.0,2452450.0,4.7,2017-08-04
WORK,182300,122000,11107300.0,7491275.0,5.06,2017-08-07
WORK,190900,13200,11273950.0,776825.0,1.87,2017-08-08
WORK,2615400,169000,157741750.0,10169650.0,25.56,2017-08-09
WORK,1087400,157500,67285275.0,9738525.0,13.69,2017-08-10
WORK,633110,116610,40724297.5,7541488.0,4.53,2017-08-11
WORK,557800,34800,35929475.0,2258250.0,9.38,2017-08-15
WORK,708701,71100,46977816.5,4715150.0,8.56,2017-08-16
WORK,1555300,378300,108268550.0,26627575.0,11.32,2017-08-17
WORK,435700,65500,30284000.0,4539875.0,9.0,2017-08-18
WORK,920300,842200,62871375.0,57459675.0,20.54,2017-08-21
WORK,272900,68000,18649400.0,4683075.0,6.53,2017-08-22
WORK,323300,35600,22212600.0,2449675.0,14.23,2017-08-23
WORK,53200,38500,3638300.0,2646075.0,4.34,2017-08-24
WORK,213900,52100,14644375.0,3565975.0,13.77,2017-08-25
WORK,284200,51600,19388050.0,3517600.0,12.3,2017-08-28
WORK,70000,251010,4819775.0,17223470.0,8.13,2017-08-29
WORK,125100,90300,8632000.0,6228025.0,9.31,2017-08-30
WORK,995612,513300,72269358.0,37399225.0,10.23,2017-08-31
WORK,1271480,2391008,101680305.0,189755800.0,10.37,2017-09-01
WORK,1241002,3231385,104576469.5,272337140.0,19.95,2017-09-04
WORK,562900,730100,46843450.0,61067725.0,10.95,2017-09-05
WORK,963002,236786,80682445.5,19923825.0,15.62,2017-09-06
WORK,1405300,626078,121002100.0,53867916.25,10.2,2017-09-07
WORK,465902,492301,39947575.5,42330287.0,13.44,2017-09-08
WORK,767900,521100,64521800.0,43731875.0,13.61,2017-09-11
WORK,236857,117400,20075952.25,9956225.0,7.13,2017-09-12
WORK,253100,272101,21600100.0,23298961.25,9.15,2017-09-13
WORK,570178,402900,48209016.5,34013175.0,13.4,2017-09-14
WORK,965701,2819454,80753734.5,234930176.25,23.31,2017-09-15
WORK,186600,177900,15629000.0,14911525.0,12.76,2017-09-18
WORK,294100,159800,24690200.0,13409975.0,15.03,2017-09-19
WORK,657800,418035,53989700.0,34285453.75,2.52,2017-09-20
WORK,309300,109600,25355425.0,8968475.0,10.78,2017-09-21
WORK,312600,240100,25666975.0,19718175.0,8.7,2017-09-22
