Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
WP,1046100,1023047,15179240.0,15112656.8,0.99,2018-02-01
WP,108800,72754,1324770.0,856660.4,0.33,2018-02-02
WP,543300,41631,5750575.0,440533.3,1.34,2018-02-05
WP,469656,141102,5494234.7,1670103.9,0.43,2018-02-06
WP,149540,106548,1729895.0,1273642.0,0.64,2018-02-07
WP,101700,109800,1099750.0,1211600.0,0.5,2018-02-08
WP,150700,14000,1720300.0,160700.0,0.41,2018-02-09
WP,121296,96857,1388409.4,1123482.4,0.75,2018-02-12
WP,16109,100,170789.0,1060.0,0.11,2018-02-13
WP,108200,41115,1109760.0,424851.0,0.66,2018-02-14
WP,300,23200,2980.0,231995.0,0.14,2018-02-15
WP,8000,0,79200.0,0.0,0.08,2018-02-16
WP,194000,8000,1883030.0,79600.0,1.73,2018-02-19
WP,12200,141500,117120.0,1369265.0,1.13,2018-02-20
WP,7800,110000,73320.0,1055995.0,1.56,2018-02-21
WP,61800,46798,531615.0,431316.6,0.4,2018-02-22
WP,149500,224800,1270165.0,1932350.0,1.99,2018-02-23
WP,56800,126900,453705.0,1044995.0,0.92,2018-02-26
WP,551900,228701,4364150.0,1816382.8,7.33,2018-02-27
WP,274229,34900,2175879.1,276225.0,3.98,2018-02-28
WP,299583,9100,2342641.5,71435.0,7.78,2018-03-02
WP,5100,46100,39270.0,361555.0,1.03,2018-03-05
WP,600,40300,4575.0,314340.0,1.16,2018-03-06
WP,3100,45200,22330.0,340535.0,1.31,2018-03-07
WP,2100,14500,14710.0,105125.0,0.53,2018-03-08
WP,300,13300,1980.0,93515.0,0.25,2018-03-09
WP,235200,584800,1495515.0,3713965.0,6.45,2018-03-12
WP,241000,210200,1896460.0,1606715.0,0.64,2018-03-13
WP,114125,308416,1019683.75,2625374.0,0.45,2018-03-14
WP,106847,164700,942445.95,1468615.0,0.8,2018-03-15
WP,58837,111917,540522.45,1012910.55,0.2,2018-03-16
WP,215852,55700,2065781.8,543355.0,0.41,2018-03-19
WP,101305,105800,948107.75,992820.0,0.71,2018-03-20
WP,361940,324676,3431841.0,3127834.0,1.11,2018-03-21
WP,109900,119700,1063985.0,1168830.0,0.46,2018-03-22
WP,79009,79110,818231.9,803673.0,0.18,2018-03-23
WP,171300,218620,1707945.0,2201846.0,0.77,2018-03-26
WP,190200,132400,1836150.0,1299015.0,1.18,2018-03-27
WP,112300,184700,1089755.0,1799240.0,1.25,2018-03-28
WP,16200,45100,152330.0,435070.0,0.48,2018-03-29
WP,8800,81000,84920.0,776810.0,0.5,2018-03-30
WP,11400,14700,101370.0,137190.0,0.07,2018-04-02
WP,396600,21000,3291100.0,172450.0,1.88,2018-04-03
WP,565547,54600,4410483.95,426805.0,4.16,2018-04-04
WP,245172,158700,1935459.5,1245875.0,1.84,2018-04-05
WP,81000,341219,677775.0,2891502.45,1.7,2018-04-09
WP,63900,229800,540560.0,1922255.0,2.83,2018-04-10
WP,437800,258700,3754845.0,2203075.0,4.89,2018-04-11
WP,5643,112200,47123.35,940140.0,2.54,2018-04-12
WP,34900,324500,294920.0,2718545.0,5.4,2018-04-17
WP,1650,38400,13937.5,324900.0,0.97,2018-04-18
WP,109047,67700,941748.2,583505.0,1.04,2018-04-19
WP,90452,132600,788362.35,1154440.0,1.3,2018-04-20
WP,176500,30604,1472285.0,260463.8,1.77,2018-04-23
WP,69285,225600,554495.0,1811905.0,2.29,2018-04-24
WP,140101,112008,1116008.0,893750.0,2.23,2018-04-25
WP,151590,116100,1210830.0,927050.0,6.12,2018-04-26
WP,4928,7900,39401.6,63315.0,0.38,2018-04-27
WP,125655,75900,1027599.25,623095.0,1.56,2018-04-30
WP,89084,231600,728267.25,1920230.0,1.37,2018-05-02
WP,70600,61900,565475.0,503775.0,1.48,2018-05-03
WP,20500,76900,164755.0,615735.0,1.36,2018-05-04
WP,46000,54100,365710.0,437195.0,2.66,2018-05-07
WP,26400,34900,206135.0,278980.0,0.89,2018-05-08
WP,16200,38775,124665.0,301046.25,1.04,2018-05-09
WP,32300,40300,255430.0,322595.0,0.62,2018-05-10
WP,20300,63700,168450.0,518265.0,0.35,2018-05-11
WP,49400,88900,406105.0,734760.0,1.14,2018-05-14
WP,7715,19313,63307.75,158471.6,0.36,2018-05-15
WP,141495,112900,1203564.65,961025.0,0.9,2018-05-16
WP,333100,369548,2901000.0,3242723.25,2.26,2018-05-17
WP,105800,128300,909880.0,1108375.0,2.25,2018-05-18
WP,81500,905,708425.0,7873.0,0.59,2018-05-21
WP,215800,122300,1887180.0,1073250.0,2.76,2018-05-22
WP,15700,100000,135010.0,865000.0,1.38,2018-05-23
WP,13700,15700,115255.0,135020.0,0.53,2018-05-24
WP,70400,100,584045.0,845.0,1.47,2018-05-25
WP,46500,4000,376970.0,33000.0,1.91,2018-05-28
WP,45400,88000,364715.0,706565.0,2.4,2018-05-30
