Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
ZMICO,1100,8000,1606.0,11760.0,0.24,2017-01-04
ZMICO,0,101300,0.0,148911.0,2.86,2017-01-05
ZMICO,228400,0,332552.0,0.0,2.5,2017-01-06
ZMICO,271612,8400,391637.8,12180.0,4.56,2017-01-09
ZMICO,528200,25000,747048.0,35500.0,10.31,2017-01-10
ZMICO,50000,420900,71500.0,601887.0,6.01,2017-01-11
ZMICO,40000,0,56900.0,0.0,0.27,2017-01-12
ZMICO,43300,30178,61064.0,42850.57,1.02,2017-01-13
ZMICO,1100,500,1540.0,705.0,0.05,2017-01-16
ZMICO,101100,0,142551.0,0.0,2.66,2017-01-17
ZMICO,39100,200,55040.0,282.0,0.51,2017-01-18
ZMICO,76500,21000,105890.0,29190.0,2.63,2017-01-19
ZMICO,504200,1000900,692943.0,1371260.0,7.34,2017-01-20
ZMICO,414600,45000,559688.0,60700.0,4.62,2017-01-23
ZMICO,63100,4900,85185.0,6575.0,0.46,2017-01-24
ZMICO,205100,100900,276915.0,139242.0,0.76,2017-01-25
ZMICO,233100,197183,314843.0,266904.25,1.57,2017-01-26
ZMICO,1116500,624100,1627602.0,894661.0,2.05,2017-01-27
ZMICO,440900,96500,645396.0,139196.0,2.75,2017-01-30
ZMICO,498700,407500,722104.0,590875.0,12.19,2017-01-31
ZMICO,190600,98000,276359.0,142100.0,6.27,2017-02-01
ZMICO,210200,410000,304529.0,591700.0,7.66,2017-02-02
ZMICO,112400,5000,162980.0,7250.0,2.56,2017-02-03
ZMICO,154100,0,223445.0,0.0,2.96,2017-02-06
ZMICO,573500,0,831237.0,0.0,5.51,2017-02-07
ZMICO,8500,0,12240.0,0.0,0.25,2017-02-08
ZMICO,98200,28900,142379.0,41616.0,6.37,2017-02-09
ZMICO,79600,80000,114772.0,115900.0,4.79,2017-02-10
ZMICO,72700,65000,105288.0,93600.0,4.38,2017-02-14
ZMICO,106100,47500,152784.0,68400.0,6.42,2017-02-15
ZMICO,1100,701700,1584.0,1010448.0,30.86,2017-02-16
ZMICO,11100,11800,16084.0,17110.0,0.55,2017-02-17
ZMICO,1100,20000,1584.0,28800.0,1.87,2017-02-20
ZMICO,13400,17500,19173.0,25025.0,0.85,2017-02-21
ZMICO,1100,25000,1573.0,35856.0,1.5,2017-02-22
ZMICO,0,72800,0.0,104787.0,1.79,2017-02-23
ZMICO,15100,11000,21593.0,15730.0,0.61,2017-02-24
ZMICO,212300,50600,303957.0,72358.0,2.56,2017-02-27
ZMICO,299000,6051900,422064.0,8578412.0,22.76,2017-02-28
ZMICO,378300,10466200,525929.0,14566801.0,43.49,2017-03-01
ZMICO,666800,5642100,918467.0,7745983.0,32.56,2017-03-02
ZMICO,3600,21400,5045.0,30174.0,0.32,2017-03-03
ZMICO,36500,174000,51587.0,245914.0,1.32,2017-03-06
ZMICO,112200,135200,158202.0,190216.0,4.86,2017-03-07
ZMICO,303300,79000,424598.0,111133.0,5.67,2017-03-08
ZMICO,2300,95300,3240.0,134027.0,1.62,2017-03-09
ZMICO,803000,441200,1132230.0,619092.0,8.19,2017-03-10
ZMICO,8000,683400,11200.0,956760.0,2.52,2017-03-13
ZMICO,981700,30600,1256654.0,39368.0,5.4,2017-03-14
ZMICO,117300,32100,150110.0,41088.0,4.47,2017-03-15
ZMICO,8800,257000,11341.0,331433.0,5.18,2017-03-16
ZMICO,92500,34900,118996.0,44721.0,2.0,2017-03-17
ZMICO,94900,20300,122421.0,26187.0,1.02,2017-03-20
ZMICO,54000,0,70120.0,0.0,1.58,2017-03-21
ZMICO,250300,0,325664.0,0.0,2.82,2017-03-22
ZMICO,13800,28200,18078.0,36942.0,2.64,2017-03-23
ZMICO,8600,8800,11266.0,11528.0,0.63,2017-03-24
ZMICO,0,40200,0.0,53064.0,1.38,2017-03-28
ZMICO,7900,61300,10349.0,80003.0,4.21,2017-03-29
