Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
2S,100,600,310.00,1872.00,0.28
2S-W1,400,0,60.00,0,0.17
7UP,1600,1200,736.00,556.00,0.11
AAV,485800,3441700,2158976.00,15288814.00,12.76
ABICO,67700,6300,506020.00,47250.00,3.15
ACAP,19700,47700,133695.00,323270.00,4.01
ACC,10500,0,4725.00,0,5.60
ADVANC,576200,642910,116886100.00,130181430.00,20.12
AEONTS,29800,12200,5308350.00,2174500.00,27.38
AH,27100,7300,898900.00,241550.00,6.46
AIT,300,6000,6930.00,138600.00,1.83
AJA,0,500,0,200.00,0.01
AKP,200,0,324.00,0,0.07
AKR,453500,1156900,467107.00,1194916.00,8.45
ALT-W1,5200,100,2811.00,52.00,0.74
AMA,11700,500,69325.00,3100.00,0.43
AMANAH,563800,922300,1098740.00,1801131.00,8.67
AMATA,3876100,1827900,79762440.00,37713630.00,10.30
AMATAV,60400,0,387050.00,0,0.63
ANAN,1638012,2272200,8040056.82,11129540.00,11.61
AOT,5374820,2585800,356071275.00,171168700.00,32.07
AP,981100,2469000,9097710.00,22888280.00,31.40
APCS,300,2800,1530.00,14560.00,1.01
APURE,101,3800,138.38,5206.00,1.34
AQ,1067900,1067900,32017.00,32040.00,3.76
AQUA,71100,220800,34131.00,105984.00,0.65
ASAP,43400,59400,266455.00,360750.00,1.64
ASIA,1300,0,8580.00,0,6.13
ASIAN,319100,402300,2829955.00,3573615.00,2.32
ASK,0,2400,0,54720.00,1.65
ASP,316700,453833,1215852.00,1744294.74,27.62
ATP30-W1,5000,0,4200.00,0,2.02
AU,98900,35300,763345.00,273175.00,2.35
AUCT,200,1300,1210.00,7930.00,0.85
AYUD,0,400,0,15300.00,7.40
AYUD-W1,21500,600,60200.00,1658.00,0.66
B52,1000,0,380.00,0,0.07
BA,159700,175200,2029610.00,2224810.00,8.66
BAFS,2600,5100,89700.00,174750.00,6.21
BANPU,3795200,6050400,77161050.00,123088240.00,17.28
BAY,13000,31800,529750.00,1297500.00,13.11
BBL,861500,1039400,179385578.72,216403578.72,37.71
BCH,5165131,2087380,96650014.00,39098150.00,20.17
BCP,521505,640700,18892106.25,23227300.00,28.12
BCPG,451200,128900,8406390.00,2397760.00,13.30
