Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,0.880000,0.900000,0.870000,0.880000,0.880000,17319900
2017-01-05,0.890000,0.910000,0.880000,0.900000,0.900000,28186300
2017-01-06,0.910000,0.910000,0.890000,0.900000,0.900000,16683200
2017-01-09,0.900000,0.900000,0.870000,0.880000,0.880000,19268800
2017-01-10,0.890000,0.890000,0.870000,0.870000,0.870000,16525800
2017-01-11,0.880000,0.880000,0.820000,0.820000,0.820000,42925900
2017-01-12,0.820000,0.840000,0.810000,0.820000,0.820000,7505600
2017-01-16,0.820000,0.830000,0.810000,0.820000,0.820000,7261600
2017-01-17,0.830000,0.850000,0.820000,0.830000,0.830000,7013200
2017-01-18,0.850000,0.850000,0.830000,0.840000,0.840000,2488400
2017-01-19,0.840000,0.890000,0.830000,0.890000,0.890000,58855200
2017-01-20,0.890000,0.910000,0.870000,0.870000,0.870000,60089500
2017-01-23,0.880000,0.890000,0.870000,0.870000,0.870000,16132000
2017-01-24,0.880000,0.910000,0.840000,0.850000,0.850000,64073200
2017-01-25,0.850000,0.860000,0.830000,0.840000,0.840000,20094300
2017-01-26,0.840000,0.850000,0.830000,0.840000,0.840000,11584500
2017-01-27,0.840000,0.850000,0.830000,0.830000,0.830000,6131900
2017-01-30,0.840000,0.860000,0.840000,0.850000,0.850000,14619500
2017-01-31,0.850000,0.860000,0.830000,0.830000,0.830000,10149600
2017-02-01,0.840000,0.840000,0.830000,0.840000,0.840000,7342400
2017-02-02,0.840000,0.840000,0.820000,0.820000,0.820000,10007100
2017-02-03,0.820000,0.830000,0.770000,0.780000,0.780000,29262500
2017-02-06,0.770000,0.790000,0.770000,0.780000,0.780000,5648800
2017-02-07,0.770000,0.780000,0.750000,0.760000,0.760000,17895600
2017-02-08,0.750000,0.760000,0.710000,0.720000,0.720000,27788900
2017-02-09,0.710000,0.720000,0.660000,0.670000,0.670000,47812100
2017-02-10,0.680000,0.700000,0.670000,0.690000,0.690000,18640600
2017-02-14,0.690000,0.730000,0.690000,0.710000,0.710000,12124400
2017-02-15,0.720000,0.740000,0.710000,0.720000,0.720000,7320000
2017-02-16,0.720000,0.760000,0.710000,0.720000,0.720000,26931300
2017-02-17,0.720000,0.730000,0.710000,0.710000,0.710000,7658200
2017-02-20,0.710000,0.710000,0.700000,0.700000,0.700000,8915600
2017-02-21,0.700000,0.710000,0.690000,0.690000,0.690000,6403000
