Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,7.400000,7.500000,7.300000,7.450000,6.523896,6001100
2017-01-05,7.450000,7.500000,7.350000,7.400000,6.480111,3766800
2017-01-06,7.400000,7.400000,7.300000,7.350000,6.436326,4113500
2017-01-09,7.300000,7.400000,7.250000,7.300000,6.392542,3920900
2017-01-10,7.350000,7.500000,7.300000,7.450000,6.523896,6461400
2017-01-11,7.500000,7.800000,7.500000,7.750000,6.786602,29367000
2017-01-12,7.750000,7.750000,7.600000,7.700000,6.742818,14291800
2017-01-16,7.650000,7.650000,7.500000,7.550000,6.611465,3348200
2017-01-17,7.550000,7.550000,7.500000,7.500000,6.567680,2809600
2017-01-18,7.550000,7.600000,7.500000,7.550000,6.611465,10666000
2017-01-19,7.500000,7.550000,7.250000,7.300000,6.392542,11568200
2017-01-20,7.300000,7.450000,7.300000,7.400000,6.480111,4467800
2017-01-23,7.400000,7.650000,7.400000,7.650000,6.699034,8907000
2017-01-24,7.650000,7.650000,7.500000,7.550000,6.611465,7242200
2017-01-25,7.600000,7.750000,7.600000,7.750000,6.786602,10949800
2017-01-26,7.700000,7.700000,7.500000,7.500000,6.567680,9777100
2017-01-27,7.450000,7.500000,7.250000,7.300000,6.392542,12267300
2017-01-30,7.300000,7.400000,7.300000,7.350000,6.436326,4217300
2017-01-31,7.400000,7.450000,7.300000,7.400000,6.480111,5872800
2017-02-01,7.300000,7.400000,7.250000,7.300000,6.392542,10778600
2017-02-02,7.300000,7.300000,7.150000,7.250000,6.348757,9805200
2017-02-03,7.250000,7.400000,7.200000,7.350000,6.436326,4434400
2017-02-06,7.350000,7.350000,7.200000,7.200000,6.304973,10840500
2017-02-07,7.200000,7.250000,7.050000,7.250000,6.348757,8686300
2017-02-08,7.200000,7.400000,7.150000,7.300000,6.392542,4395800
2017-02-09,7.300000,7.400000,7.300000,7.400000,6.480111,4191200
2017-02-10,7.450000,7.450000,7.300000,7.400000,6.480111,4821200
2017-02-14,7.450000,7.450000,7.300000,7.400000,6.480111,8977100
2017-02-15,7.350000,7.400000,7.350000,7.400000,6.480111,2835900
2017-02-16,7.350000,7.450000,7.300000,7.400000,6.480111,5007200
2017-02-17,7.400000,7.450000,7.350000,7.450000,6.523896,3686600
2017-02-20,7.450000,7.450000,7.350000,7.450000,6.523896,1576500
2017-02-21,7.450000,7.450000,7.350000,7.400000,6.480111,3166500
2017-02-22,7.400000,7.400000,7.250000,7.350000,6.436326,6545300
2017-02-23,7.400000,7.450000,7.300000,7.450000,6.523896,4470800
2017-02-24,7.350000,7.400000,7.250000,7.250000,6.348757,5457700
2017-02-27,7.250000,7.300000,7.200000,7.200000,6.304973,3612100
2017-02-28,7.200000,7.300000,7.150000,7.150000,6.261188,7227600
2017-03-01,7.150000,7.400000,7.150000,7.400000,6.480111,5404900
2017-03-02,7.400000,7.400000,7.250000,7.300000,6.392542,5541600
2017-03-03,7.300000,7.400000,7.200000,7.400000,6.480111,6894700
2017-03-06,7.350000,7.450000,7.300000,7.450000,6.523896,3804300
2017-03-07,7.450000,7.450000,7.250000,7.300000,6.392542,5681800
