Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,2.820000,2.840000,2.800000,2.820000,2.422948,853300
2017-01-05,2.820000,2.920000,2.820000,2.920000,2.508868,4351300
2017-01-06,2.940000,2.960000,2.880000,2.960000,2.543236,2310100
2017-01-09,2.960000,3.000000,2.940000,2.960000,2.543236,2067800
2017-01-10,2.980000,3.060000,2.960000,2.980000,2.560421,4493400
2017-01-11,3.000000,3.040000,2.980000,3.020000,2.594789,2963800
2017-01-12,3.020000,3.040000,2.960000,2.960000,2.543236,1969000
2017-01-16,3.000000,3.120000,3.000000,3.080000,2.646340,7658600
2017-01-17,3.100000,3.200000,3.020000,3.040000,2.611973,14400100
2017-01-18,3.060000,3.080000,2.980000,2.980000,2.560421,2822100
2017-01-19,3.000000,3.000000,2.920000,2.960000,2.543236,1461500
2017-01-20,2.960000,3.040000,2.940000,2.980000,2.560421,2328700
2017-01-23,2.980000,3.140000,2.980000,3.100000,2.663525,6352700
2017-01-24,3.120000,3.140000,3.020000,3.020000,2.594789,2879100
2017-01-25,3.040000,3.060000,2.980000,2.980000,2.560421,1123700
2017-01-26,3.020000,3.020000,3.000000,3.000000,2.577604,500400
2017-01-27,3.000000,3.000000,2.960000,3.000000,2.577604,594100
2017-01-30,3.000000,3.020000,2.980000,3.000000,2.577604,263400
2017-01-31,3.000000,3.080000,2.960000,2.960000,2.543236,1155100
2017-02-01,3.000000,3.020000,2.960000,3.000000,2.577604,385600
2017-02-02,2.980000,3.000000,2.960000,2.960000,2.543236,412500
2017-02-03,2.980000,2.980000,2.980000,2.980000,2.560421,154600
2017-02-06,2.980000,3.000000,2.960000,2.980000,2.560421,577500
2017-02-07,2.980000,2.980000,2.960000,2.960000,2.543236,218800
2017-02-08,2.980000,3.020000,2.960000,3.000000,2.577604,532600
2017-02-09,3.000000,3.020000,2.980000,2.980000,2.560421,190900
2017-02-10,3.020000,3.020000,2.980000,3.000000,2.577604,225000
2017-02-14,3.000000,3.000000,2.960000,2.960000,2.543236,555400
2017-02-15,2.960000,3.000000,2.960000,2.960000,2.543236,295500
2017-02-16,2.960000,3.000000,2.960000,2.960000,2.543236,270100
2017-02-17,2.960000,3.000000,2.960000,2.980000,2.560421,802200
2017-02-20,3.000000,3.080000,3.000000,3.040000,2.611973,4300400
2017-02-21,3.080000,3.140000,3.000000,3.000000,2.577604,8116600
2017-02-22,3.020000,3.040000,2.960000,2.980000,2.560421,1819300
2017-02-23,2.980000,3.000000,2.940000,2.980000,2.560421,872600
2017-02-24,3.000000,3.000000,2.940000,2.960000,2.543236,673400
2017-02-27,3.000000,3.060000,2.960000,3.000000,2.577604,1710400
2017-02-28,3.020000,3.080000,2.980000,3.000000,2.577604,2724300
2017-03-01,3.040000,3.080000,2.980000,3.040000,2.611973,1308200
2017-03-02,3.060000,3.080000,3.020000,3.020000,2.594789,766900
2017-03-03,3.040000,3.080000,3.040000,3.040000,2.611973,824600
2017-03-06,3.080000,3.140000,3.040000,3.060000,2.629157,7665300
2017-03-07,3.080000,3.100000,3.020000,3.020000,2.594789,2713500
2017-03-08,3.040000,3.040000,3.000000,3.040000,2.611973,2224800
2017-03-09,2.940000,2.940000,2.840000,2.900000,2.594082,1177300
2017-03-10,2.880000,2.920000,2.860000,2.880000,2.576192,959700
2017-03-13,2.840000,2.840000,2.780000,2.780000,2.486741,1040300
2017-03-14,2.760000,2.880000,2.740000,2.840000,2.540411,547400
2017-03-15,2.840000,2.880000,2.840000,2.840000,2.540411,166600
2017-03-16,2.880000,2.900000,2.860000,2.900000,2.594082,636400
2017-03-17,2.900000,2.940000,2.860000,2.860000,2.558302,484600
2017-03-20,2.900000,2.940000,2.880000,2.900000,2.594082,614800
2017-03-21,2.900000,2.900000,2.860000,2.860000,2.558302,766700
2017-03-22,2.840000,2.920000,2.840000,2.880000,2.576192,199400
2017-03-23,2.900000,2.920000,2.880000,2.880000,2.576192,218500
2017-03-24,2.880000,2.880000,2.860000,2.880000,2.576192,175300
2017-03-27,2.900000,2.940000,2.900000,2.900000,2.594082,880700
2017-03-28,2.920000,2.920000,2.880000,2.900000,2.594082,347700
2017-03-29,2.900000,2.900000,2.880000,2.880000,2.576192,260100
2017-03-30,2.880000,2.900000,2.880000,2.880000,2.576192,42900
2017-03-31,2.880000,2.960000,2.880000,2.900000,2.594082,2652400
2017-04-03,2.900000,2.940000,2.880000,2.880000,2.576192,407500
2017-04-04,2.880000,2.900000,2.880000,2.900000,2.594082,672500
2017-04-05,2.900000,2.920000,2.880000,2.900000,2.594082,446000
2017-04-07,2.900000,2.920000,2.860000,2.880000,2.576192,296600
2017-04-10,2.860000,2.880000,2.840000,2.840000,2.540411,305200
2017-04-11,2.880000,2.880000,2.840000,2.840000,2.540411,421200
2017-04-12,2.860000,2.880000,2.840000,2.880000,2.576192,162700
2017-04-17,2.880000,2.880000,2.840000,2.880000,2.576192,65500
2017-04-18,2.860000,2.880000,2.840000,2.840000,2.540411,307000
2017-04-19,2.840000,2.840000,2.840000,2.840000,2.540411,164300
2017-04-20,2.820000,2.840000,2.800000,2.820000,2.522521,230800
2017-04-21,2.820000,2.860000,2.820000,2.820000,2.522521,144400
2017-04-24,2.840000,2.840000,2.820000,2.820000,2.522521,227700
2017-04-25,2.840000,2.840000,2.820000,2.840000,2.540411,296100
2017-04-26,2.840000,2.840000,2.780000,2.820000,2.522521,161700
2017-04-27,2.820000,2.820000,2.800000,2.820000,2.522521,155000
2017-04-28,2.820000,2.840000,2.820000,2.840000,2.540411,91300
2017-05-02,2.820000,2.940000,2.820000,2.880000,2.576192,3580800
