Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,5.050000,5.100000,5.050000,5.050000,4.688653,3639700
2017-01-05,5.100000,5.200000,5.050000,5.150000,4.781498,4279300
2017-01-06,5.250000,5.350000,5.250000,5.300000,4.920765,13211000
2017-01-09,5.400000,5.500000,5.250000,5.250000,4.874343,14605600
2017-01-10,5.250000,5.350000,5.200000,5.250000,4.874343,11022000
2017-01-11,5.250000,5.400000,5.250000,5.300000,4.920765,6174900
2017-01-12,5.350000,5.350000,5.250000,5.250000,4.874343,3767800
2017-01-16,5.350000,5.350000,5.250000,5.300000,4.920765,2484400
2017-01-17,5.300000,5.450000,5.300000,5.350000,4.967187,5671700
2017-01-18,5.400000,5.400000,5.300000,5.300000,4.920765,3242800
2017-01-19,5.250000,5.350000,5.250000,5.250000,4.874343,1512900
2017-01-20,5.250000,5.300000,5.250000,5.300000,4.920765,1845200
2017-01-23,5.300000,5.300000,5.250000,5.250000,4.874343,1740200
2017-01-24,5.250000,5.350000,5.250000,5.300000,4.920765,3196200
2017-01-25,5.350000,5.350000,5.250000,5.250000,4.874343,924300
2017-01-26,5.300000,5.300000,5.250000,5.250000,4.874343,1452500
2017-01-27,5.300000,5.300000,5.200000,5.200000,4.827920,1556800
2017-01-30,5.200000,5.300000,5.200000,5.250000,4.874343,1290800
2017-01-31,5.250000,5.250000,5.150000,5.150000,4.781498,1742200
2017-02-01,5.150000,5.250000,5.150000,5.150000,4.781498,1659500
2017-02-02,5.150000,5.200000,5.100000,5.100000,4.735075,2377000
2017-02-03,5.050000,5.150000,5.050000,5.150000,4.781498,1666000
2017-02-06,5.150000,5.200000,5.100000,5.150000,4.781498,1189900
2017-02-07,5.150000,5.200000,5.100000,5.100000,4.735075,546900
2017-02-08,5.100000,5.150000,5.100000,5.100000,4.735075,898400
2017-02-09,5.150000,5.150000,5.100000,5.100000,4.735075,548200
2017-02-10,5.100000,5.150000,5.100000,5.100000,4.735075,938300
2017-02-14,5.100000,5.150000,5.050000,5.100000,4.735075,625400
2017-02-15,5.150000,5.150000,5.050000,5.100000,4.735075,1486300
2017-02-16,5.100000,5.150000,5.050000,5.100000,4.735075,742400
2017-02-17,5.100000,5.100000,5.050000,5.050000,4.688653,978500
2017-02-20,5.100000,5.100000,5.050000,5.050000,4.688653,423500
2017-02-21,5.050000,5.150000,5.050000,5.050000,4.688653,1429300
2017-02-22,5.100000,5.150000,5.050000,5.050000,4.688653,903400
2017-02-23,5.100000,5.100000,5.050000,5.050000,4.688653,1854800
2017-02-24,5.050000,5.100000,5.000000,5.000000,4.642231,1078200
2017-02-27,5.000000,5.050000,4.980000,5.000000,4.642231,1502200
2017-02-28,4.960000,4.980000,4.920000,4.920000,4.567955,4633400
2017-03-01,4.900000,4.920000,4.820000,4.820000,4.475111,5784800
2017-03-02,4.800000,4.800000,4.620000,4.680000,4.345129,6042900
2017-03-03,4.660000,4.820000,4.660000,4.760000,4.419405,3197400
2017-03-06,4.760000,4.760000,4.700000,4.720000,4.382266,1498700
2017-03-07,4.740000,4.780000,4.720000,4.780000,4.437973,1418800
2017-03-08,4.780000,4.820000,4.700000,4.820000,4.475111,2253300
2017-03-09,4.800000,4.900000,4.800000,4.880000,4.530818,1655800
2017-03-10,4.900000,4.920000,4.800000,4.800000,4.456542,2972000
2017-03-13,4.700000,4.720000,4.640000,4.680000,4.461308,1458000
2017-03-14,4.660000,4.740000,4.660000,4.720000,4.499439,713700
2017-03-15,4.700000,4.760000,4.680000,4.700000,4.480374,455100
2017-03-16,4.700000,4.740000,4.680000,4.700000,4.480374,508100
2017-03-17,4.700000,4.740000,4.680000,4.700000,4.480374,845500
2017-03-20,4.700000,4.740000,4.700000,4.740000,4.518505,756700
2017-03-21,4.740000,4.760000,4.740000,4.760000,4.537570,387200
2017-03-22,4.740000,4.740000,4.700000,4.720000,4.499439,194900
2017-03-23,4.720000,4.780000,4.720000,4.780000,4.556636,493600
2017-03-24,4.780000,4.780000,4.720000,4.740000,4.518505,750600
2017-03-27,4.740000,4.760000,4.720000,4.720000,4.499439,339500
2017-03-28,4.720000,4.760000,4.720000,4.740000,4.518505,494500
2017-03-29,4.760000,4.780000,4.720000,4.760000,4.537570,318300
2017-03-30,4.760000,4.780000,4.740000,4.760000,4.537570,588700
2017-03-31,4.780000,4.780000,4.740000,4.760000,4.537570,240000
2017-04-03,4.740000,4.760000,4.720000,4.760000,4.537570,276900
2017-04-04,4.760000,4.760000,4.720000,4.740000,4.518505,177500
2017-04-05,4.740000,4.780000,4.720000,4.740000,4.518505,345200
2017-04-07,4.740000,4.740000,4.720000,4.720000,4.499439,301400
2017-04-10,4.740000,4.760000,4.700000,4.700000,4.480374,945900
2017-04-11,4.700000,4.740000,4.700000,4.700000,4.480374,506800
2017-04-12,4.720000,4.880000,4.720000,4.800000,4.575701,3108800
2017-04-17,4.820000,4.840000,4.780000,4.800000,4.575701,786300
2017-04-18,4.800000,4.800000,4.760000,4.760000,4.537570,576200
2017-04-19,4.760000,4.760000,4.720000,4.720000,4.499439,1014200
2017-04-20,4.720000,4.760000,4.720000,4.720000,4.499439,354800
2017-04-21,4.720000,4.740000,4.700000,4.700000,4.480374,800400
2017-04-24,4.720000,4.760000,4.720000,4.720000,4.499439,454400
2017-04-25,4.720000,4.720000,4.620000,4.640000,4.423177,1335800
2017-04-26,4.640000,4.680000,4.620000,4.680000,4.461308,907500
2017-04-27,4.680000,4.700000,4.640000,4.680000,4.461308,559400
2017-04-28,4.660000,4.680000,4.660000,4.680000,4.461308,701900
2017-05-02,4.680000,4.700000,4.660000,4.660000,4.442243,597900
2017-05-03,4.660000,4.720000,4.640000,4.700000,4.480374,852500
2017-05-04,4.680000,4.740000,4.660000,4.700000,4.480374,550300
2017-05-08,4.680000,4.720000,4.660000,4.660000,4.442243,743600
2017-05-09,4.660000,4.700000,4.640000,4.680000,4.461308,834400
2017-05-11,4.660000,4.660000,4.400000,4.420000,4.213458,5486500
2017-05-12,4.420000,4.420000,4.240000,4.260000,4.060935,2402800
2017-05-15,4.100000,4.100000,4.100000,4.100000,3.908411,151700
2017-05-16,4.100000,4.160000,4.100000,4.140000,3.946542,1327600
2017-05-17,4.140000,4.140000,4.080000,4.100000,3.908411,1056900
2017-05-18,4.100000,4.120000,4.060000,4.060000,3.870280,1059200
2017-05-19,4.040000,4.060000,4.040000,4.060000,3.870280,622800
2017-05-22,4.040000,4.140000,4.040000,4.140000,3.946542,713800
2017-05-23,4.160000,4.180000,4.120000,4.160000,3.965607,909500
2017-05-24,4.140000,4.160000,4.100000,4.120000,3.927477,606500
2017-05-25,4.120000,4.160000,4.120000,4.140000,3.946542,401000
2017-05-26,4.140000,4.160000,4.120000,4.160000,3.965607,416500
2017-05-29,4.160000,4.180000,4.140000,4.160000,3.965607,291900
2017-05-30,4.160000,4.220000,4.160000,4.160000,3.965607,962000
2017-05-31,4.160000,4.180000,4.120000,4.160000,3.965607,602400
2017-06-01,4.140000,4.160000,4.080000,4.140000,3.946542,689700
2017-06-02,4.140000,4.160000,4.100000,4.160000,3.965607,218600
2017-06-05,4.160000,4.160000,4.140000,4.140000,3.946542,221900
2017-06-06,4.140000,4.160000,4.120000,4.120000,3.927477,208200
2017-06-07,4.160000,4.160000,4.120000,4.120000,3.927477,263300
2017-06-08,4.120000,4.140000,4.080000,4.100000,3.908411,878200
2017-06-09,4.100000,4.120000,4.080000,4.120000,3.927477,309100
2017-06-12,4.120000,4.120000,4.080000,4.080000,3.889346,407200
2017-06-13,4.080000,4.080000,4.040000,4.060000,3.870280,2332500
2017-06-14,4.060000,4.080000,4.040000,4.060000,3.870280,835900
2017-06-15,4.060000,4.120000,4.060000,4.100000,3.908411,583100
2017-06-16,4.120000,4.160000,4.100000,4.120000,3.927477,379800
2017-06-19,4.120000,4.180000,4.120000,4.120000,3.927477,1034800
2017-06-20,4.180000,4.180000,4.100000,4.120000,3.927477,505400
2017-06-21,4.120000,4.120000,4.080000,4.080000,3.889346,594200
2017-06-22,4.080000,4.100000,4.080000,4.080000,3.889346,310600
2017-06-23,4.080000,4.120000,4.080000,4.080000,3.889346,264500
2017-06-26,4.100000,4.120000,4.060000,4.080000,3.889346,477900
2017-06-27,4.080000,4.100000,4.040000,4.060000,3.870280,1189600
2017-06-28,4.060000,4.060000,4.000000,4.040000,3.851215,1252800
2017-06-29,4.040000,4.080000,4.020000,4.020000,3.832150,716100
2017-06-30,4.020000,4.040000,3.980000,3.980000,3.794019,876900
2017-07-03,4.000000,4.000000,3.980000,3.980000,3.794019,413700
2017-07-04,3.980000,3.980000,3.880000,3.920000,3.736823,1332900
2017-07-05,3.920000,3.940000,3.880000,3.900000,3.717757,928200
2017-07-06,3.900000,3.920000,3.840000,3.860000,3.679626,1020700
2017-07-07,3.840000,3.900000,3.840000,3.880000,3.698692,623900
2017-07-11,3.880000,3.920000,3.840000,3.860000,3.679626,603200
2017-07-12,3.860000,3.940000,3.860000,3.940000,3.755888,1068300
2017-07-13,3.980000,3.980000,3.920000,3.920000,3.736823,730800
2017-07-14,3.920000,3.960000,3.900000,3.920000,3.736823,184400
2017-07-17,3.920000,3.920000,3.880000,3.880000,3.698692,260000
2017-07-18,3.880000,3.900000,3.860000,3.880000,3.698692,390400
2017-07-19,3.880000,3.900000,3.880000,3.880000,3.698692,321000
2017-07-20,3.900000,3.920000,3.860000,3.880000,3.698692,734400
2017-07-21,3.880000,3.900000,3.860000,3.860000,3.679626,140700
2017-07-24,3.860000,3.860000,3.740000,3.760000,3.584299,1719100
