Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,2.180000,2.240000,2.120000,2.140000,2.140000,4449500
2017-01-05,2.160000,2.220000,2.160000,2.180000,2.180000,2833700
2017-01-06,2.180000,2.180000,2.120000,2.120000,2.120000,1292900
2017-01-09,2.160000,2.180000,2.140000,2.180000,2.180000,448800
2017-01-10,2.180000,2.180000,2.140000,2.140000,2.140000,758900
2017-01-11,2.160000,2.180000,2.140000,2.160000,2.160000,279800
2017-01-12,2.160000,2.160000,2.140000,2.140000,2.140000,381000
2017-01-16,2.140000,2.140000,2.080000,2.100000,2.100000,1899300
2017-01-17,2.100000,2.100000,2.060000,2.100000,2.100000,822000
2017-01-18,2.100000,2.180000,2.060000,2.100000,2.100000,1992300
2017-01-19,2.080000,2.100000,1.970000,1.990000,1.990000,3857900
2017-01-20,1.990000,2.080000,1.990000,2.000000,2.000000,1605800
2017-01-23,2.020000,2.080000,2.000000,2.000000,2.000000,3693100
2017-01-24,2.020000,2.040000,2.000000,2.000000,2.000000,1053400
2017-01-25,2.000000,2.020000,2.000000,2.000000,2.000000,552900
2017-01-26,2.020000,2.020000,1.980000,1.980000,1.980000,1999100
2017-01-27,1.980000,2.000000,1.980000,1.990000,1.990000,672500
2017-01-30,1.990000,2.000000,1.990000,1.990000,1.990000,519100
2017-01-31,2.000000,2.020000,1.990000,1.990000,1.990000,757900
2017-02-01,1.990000,2.000000,1.990000,1.990000,1.990000,296200
2017-02-02,2.000000,2.000000,1.980000,1.980000,1.980000,338500
2017-02-03,1.990000,2.000000,1.980000,1.980000,1.980000,517700
2017-02-06,2.000000,2.000000,1.980000,1.980000,1.980000,472200
2017-02-07,1.980000,1.990000,1.970000,1.970000,1.970000,585000
2017-02-08,1.970000,1.990000,1.960000,1.960000,1.960000,469900
2017-02-09,1.960000,1.980000,1.960000,1.960000,1.960000,286700
2017-02-10,1.970000,1.970000,1.960000,1.960000,1.960000,367700
2017-02-14,1.960000,1.960000,1.950000,1.950000,1.950000,513300
2017-02-15,1.960000,2.000000,1.940000,1.940000,1.940000,804000
2017-02-16,1.950000,1.950000,1.930000,1.930000,1.930000,179100
2017-02-17,1.930000,1.940000,1.920000,1.920000,1.920000,590500
2017-02-20,1.920000,1.960000,1.920000,1.950000,1.950000,505700
2017-02-21,1.930000,1.950000,1.920000,1.920000,1.920000,675900
2017-02-22,1.950000,1.950000,1.920000,1.940000,1.940000,212100
2017-02-23,1.930000,1.930000,1.900000,1.900000,1.900000,143800
2017-02-24,1.900000,1.920000,1.900000,1.910000,1.910000,142000
2017-02-27,1.900000,1.910000,1.880000,1.890000,1.890000,520200
2017-02-28,1.890000,1.890000,1.860000,1.860000,1.860000,767500
2017-03-01,1.860000,1.880000,1.860000,1.870000,1.870000,292400
2017-03-02,1.880000,1.920000,1.870000,1.890000,1.890000,213900
2017-03-03,1.930000,1.930000,1.900000,1.900000,1.900000,349800
2017-03-06,1.900000,1.900000,1.860000,1.870000,1.870000,170600
2017-03-07,1.860000,1.940000,1.860000,1.930000,1.930000,194600
2017-03-08,1.940000,1.940000,1.890000,1.910000,1.910000,258900
2017-03-09,1.910000,1.910000,1.890000,1.900000,1.900000,245100
2017-03-10,1.880000,1.880000,1.860000,1.860000,1.860000,88200
2017-03-13,1.860000,1.880000,1.850000,1.860000,1.860000,544700
2017-03-14,1.860000,1.860000,1.820000,1.860000,1.860000,463200
2017-03-15,1.850000,1.880000,1.830000,1.850000,1.850000,433800
2017-03-16,1.850000,1.900000,1.830000,1.840000,1.840000,689300
2017-03-17,1.860000,1.870000,1.840000,1.840000,1.840000,200100
2017-03-20,1.850000,1.910000,1.840000,1.840000,1.840000,646700
2017-03-21,1.860000,1.880000,1.860000,1.860000,1.860000,83400
2017-03-22,1.850000,1.910000,1.850000,1.870000,1.870000,552700
2017-03-23,1.890000,1.900000,1.870000,1.870000,1.870000,369200
2017-03-24,1.880000,1.950000,1.870000,1.900000,1.900000,1244600
2017-03-27,1.930000,1.930000,1.900000,1.910000,1.910000,639800
2017-03-28,1.900000,1.930000,1.890000,1.890000,1.890000,140900
2017-03-29,1.900000,1.910000,1.890000,1.890000,1.890000,244500
