Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,3.180000,3.200000,3.180000,3.200000,3.200000,4300
2019-06-05,3.200000,3.220000,3.200000,3.220000,3.220000,7000
2019-06-06,3.220000,3.340000,3.220000,3.260000,3.260000,21900
2019-06-07,3.300000,3.400000,3.300000,3.400000,3.400000,63900
2019-06-10,3.400000,3.500000,3.400000,3.400000,3.400000,42800
2019-06-11,3.400000,3.400000,3.400000,3.400000,3.400000,18900
2019-06-12,3.400000,3.400000,3.400000,3.400000,3.400000,3000
2019-06-13,3.360000,3.400000,3.340000,3.400000,3.400000,19900
2019-06-14,3.340000,3.420000,3.340000,3.360000,3.360000,5400
2019-06-17,3.240000,3.340000,3.240000,3.340000,3.340000,30700
2019-06-18,3.460000,3.460000,3.100000,3.140000,3.140000,792000
2019-06-19,3.140000,3.160000,3.100000,3.120000,3.120000,220500
2019-06-20,3.120000,3.140000,3.100000,3.100000,3.100000,118600
2019-06-21,3.100000,3.140000,2.980000,3.000000,3.000000,1065100
2019-06-24,3.000000,3.000000,2.980000,2.980000,2.980000,201800
2019-06-25,2.980000,3.040000,2.980000,3.040000,3.040000,13900
2019-06-26,3.020000,3.040000,3.000000,3.040000,3.040000,82500
2019-06-27,3.040000,3.060000,3.020000,3.040000,3.040000,38800
2019-06-28,3.020000,3.040000,3.000000,3.000000,3.000000,30700
