Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,2.860000,2.880000,2.800000,2.820000,2.679304,38627300
2017-01-05,2.820000,2.900000,2.820000,2.820000,2.679304,75376600
2017-01-06,2.840000,2.860000,2.820000,2.840000,2.698306,18914700
2017-01-09,2.840000,2.880000,2.840000,2.860000,2.717308,21850200
2017-01-10,2.860000,2.900000,2.860000,2.860000,2.717308,22689400
2017-01-11,2.860000,2.900000,2.860000,2.880000,2.736310,21949800
2017-01-12,2.900000,2.900000,2.860000,2.900000,2.755313,21562900
2017-01-16,2.880000,2.880000,2.840000,2.840000,2.698306,25922200
2017-01-17,2.840000,2.880000,2.840000,2.860000,2.717308,8527500
2017-01-18,2.860000,2.880000,2.820000,2.840000,2.698306,22637900
2017-01-19,2.840000,2.840000,2.780000,2.800000,2.660302,41475000
2017-01-20,2.800000,2.900000,2.800000,2.880000,2.736310,77235600
2017-01-23,2.900000,2.980000,2.900000,2.960000,2.812319,140529000
2017-01-24,3.020000,3.040000,2.960000,2.960000,2.812319,95024300
2017-01-25,2.980000,3.000000,2.880000,2.900000,2.755313,70997800
2017-01-26,2.940000,2.980000,2.880000,2.880000,2.736310,90048400
2017-01-27,2.900000,2.920000,2.840000,2.860000,2.717308,38752900
2017-01-30,2.860000,2.940000,2.860000,2.900000,2.755313,35980000
2017-01-31,2.920000,2.920000,2.880000,2.900000,2.755313,29516300
2017-02-01,2.920000,2.960000,2.840000,2.880000,2.736310,87844000
2017-02-02,2.880000,2.900000,2.820000,2.840000,2.698306,54898400
2017-02-03,2.860000,2.880000,2.840000,2.880000,2.736310,24259100
2017-02-06,2.880000,2.920000,2.880000,2.900000,2.755313,27381000
2017-02-07,2.900000,2.940000,2.840000,2.860000,2.717308,66072900
2017-02-08,2.860000,2.880000,2.800000,2.840000,2.698306,57424200
2017-02-09,2.840000,2.840000,2.780000,2.800000,2.660302,87867700
2017-02-10,2.800000,2.840000,2.800000,2.820000,2.679304,31603300
2017-02-14,2.820000,2.840000,2.760000,2.800000,2.660302,21020000
2017-02-15,2.800000,2.820000,2.760000,2.780000,2.641300,21719700
2017-02-16,2.800000,2.800000,2.740000,2.740000,2.603296,26026300
2017-02-17,2.780000,2.780000,2.760000,2.760000,2.622298,10799300
2017-02-20,2.760000,2.760000,2.640000,2.680000,2.546289,86847200
2017-02-21,2.660000,2.680000,2.600000,2.600000,2.470280,68937800
2017-02-22,2.620000,2.680000,2.600000,2.680000,2.546289,53321100
2017-02-23,2.680000,2.740000,2.640000,2.660000,2.527287,64484500
2017-02-24,2.680000,2.740000,2.660000,2.660000,2.527287,53007000
2017-02-27,2.680000,2.680000,2.620000,2.620000,2.489283,14373800
2017-02-28,2.640000,2.640000,2.520000,2.560000,2.432276,85931300
2017-03-01,2.560000,2.600000,2.540000,2.600000,2.470280,33240400
2017-03-02,2.600000,2.620000,2.520000,2.560000,2.432276,69431100
2017-03-03,2.560000,2.560000,2.520000,2.560000,2.432276,19425500
2017-03-06,2.540000,2.580000,2.520000,2.520000,2.394272,16472800
2017-03-07,2.520000,2.560000,2.520000,2.540000,2.413274,17855000
2017-03-08,2.540000,2.540000,2.420000,2.460000,2.337265,71828500
2017-03-09,2.460000,2.500000,2.440000,2.460000,2.337265,24282800
2017-03-10,2.480000,2.480000,2.440000,2.440000,2.318263,17106100
2017-03-13,2.440000,2.440000,2.400000,2.400000,2.280259,27558600
2017-03-14,2.400000,2.520000,2.380000,2.520000,2.394272,43667200
2017-03-15,2.520000,2.520000,2.460000,2.500000,2.375270,20742100
2017-03-16,2.500000,2.540000,2.460000,2.460000,2.337265,38277700
2017-03-17,2.480000,2.500000,2.440000,2.460000,2.337265,35641300
2017-03-20,2.460000,2.560000,2.440000,2.540000,2.413274,164647800
2017-03-21,2.540000,2.580000,2.520000,2.540000,2.413274,48228200
2017-03-22,2.520000,2.600000,2.500000,2.580000,2.451278,52228800
2017-03-23,2.600000,2.600000,2.540000,2.560000,2.432276,27517100
2017-03-24,2.580000,2.580000,2.540000,2.560000,2.432276,17016500
2017-03-27,2.560000,2.580000,2.520000,2.540000,2.413274,21372300
2017-03-28,2.540000,2.560000,2.520000,2.540000,2.413274,24708600
2017-03-29,2.540000,2.560000,2.520000,2.540000,2.413274,17756900
2017-03-30,2.540000,2.540000,2.520000,2.520000,2.394272,10232700
2017-03-31,2.520000,2.540000,2.500000,2.500000,2.375270,23913500
2017-04-03,2.520000,2.540000,2.480000,2.520000,2.394272,53012100
2017-04-04,2.520000,2.540000,2.500000,2.500000,2.375270,25763600
2017-04-05,2.520000,2.520000,2.480000,2.500000,2.375270,18453500
2017-04-07,2.500000,2.520000,2.480000,2.480000,2.356267,14744600
2017-04-10,2.480000,2.500000,2.460000,2.460000,2.337265,42399900
2017-04-11,2.460000,2.460000,2.400000,2.420000,2.299261,67987600
2017-04-12,2.420000,2.440000,2.380000,2.440000,2.318263,55979500
2017-04-17,2.440000,2.440000,2.380000,2.400000,2.280259,31467700
2017-04-18,2.400000,2.420000,2.380000,2.380000,2.261257,38677700
2017-04-19,2.380000,2.400000,2.360000,2.360000,2.242254,35139700
2017-04-20,2.360000,2.440000,2.360000,2.400000,2.280259,31275000
2017-04-21,2.420000,2.440000,2.400000,2.420000,2.299261,29994100
2017-04-24,2.420000,2.420000,2.380000,2.380000,2.261257,12843600
2017-04-25,2.400000,2.400000,2.360000,2.380000,2.261257,24725200
2017-04-26,2.380000,2.400000,2.340000,2.400000,2.291814,24640500
2017-04-27,2.360000,2.400000,2.360000,2.380000,2.272716,9798700
2017-04-28,2.380000,2.380000,2.340000,2.380000,2.272716,22518600
2017-05-02,2.380000,2.420000,2.360000,2.380000,2.272716,9210400
2017-05-03,2.380000,2.420000,2.380000,2.420000,2.310913,10741200
2017-05-04,2.420000,2.500000,2.400000,2.480000,2.368208,88087800
2017-05-08,2.480000,2.480000,2.420000,2.420000,2.310913,18569000
2017-05-09,2.440000,2.440000,2.380000,2.400000,2.291814,31470800
2017-05-11,2.420000,2.420000,2.360000,2.360000,2.253617,26037800
2017-05-12,2.360000,2.400000,2.340000,2.360000,2.253617,19663700
2017-05-15,2.280000,2.280000,2.280000,2.280000,2.177223,2192500
2017-05-16,2.280000,2.300000,2.260000,2.300000,2.196322,14514000
2017-05-17,2.300000,2.360000,2.300000,2.300000,2.196322,22172200
2017-05-18,2.280000,2.300000,2.260000,2.260000,2.158125,23667800
2017-05-19,2.260000,2.280000,2.220000,2.260000,2.158125,32088600
2017-05-22,2.260000,2.280000,2.240000,2.240000,2.139026,20129000
2017-05-23,2.260000,2.300000,2.240000,2.280000,2.177223,11080800
2017-05-24,2.280000,2.300000,2.260000,2.300000,2.196322,21765300
2017-05-25,2.300000,2.380000,2.300000,2.360000,2.253617,44933500
2017-05-26,2.360000,2.440000,2.340000,2.360000,2.253617,81562600
2017-05-29,2.360000,2.380000,2.340000,2.360000,2.253617,12282600
2017-05-30,2.360000,2.380000,2.320000,2.340000,2.234519,19099600
2017-05-31,2.340000,2.360000,2.280000,2.320000,2.215420,24557600
2017-06-01,2.320000,2.340000,2.280000,2.320000,2.215420,11963200
2017-06-02,2.320000,2.440000,2.320000,2.400000,2.291814,74910800
2017-06-05,2.420000,2.440000,2.380000,2.420000,2.310913,29404600
2017-06-06,2.400000,2.460000,2.400000,2.460000,2.349110,42908000
2017-06-07,2.480000,2.500000,2.460000,2.460000,2.349110,77422900
2017-06-08,2.480000,2.480000,2.400000,2.400000,2.291814,48728900
2017-06-09,2.420000,2.440000,2.380000,2.400000,2.291814,24147500
2017-06-12,2.400000,2.440000,2.400000,2.420000,2.310913,8219400
2017-06-13,2.420000,2.440000,2.400000,2.420000,2.310913,7453400
2017-06-14,2.420000,2.420000,2.360000,2.400000,2.291814,31048900
2017-06-15,2.380000,2.420000,2.380000,2.400000,2.291814,33203900
2017-06-16,2.400000,2.400000,2.340000,2.360000,2.253617,56986800
2017-06-19,2.340000,2.360000,2.320000,2.340000,2.234519,32753200
2017-06-20,2.340000,2.380000,2.340000,2.360000,2.253617,7865400
2017-06-21,2.360000,2.380000,2.340000,2.360000,2.253617,5210700
2017-06-22,2.360000,2.380000,2.360000,2.380000,2.272716,19522100
2017-06-23,2.380000,2.400000,2.360000,2.380000,2.272716,15008500
2017-06-26,2.400000,2.420000,2.380000,2.400000,2.291814,27925900
2017-06-27,2.420000,2.460000,2.400000,2.420000,2.310913,58363700
2017-06-28,2.440000,2.440000,2.400000,2.420000,2.310913,15392400
2017-06-29,2.420000,2.480000,2.420000,2.460000,2.349110,64496000
2017-06-30,2.440000,2.460000,2.400000,2.440000,2.330011,21632500
2017-07-03,2.440000,2.480000,2.420000,2.480000,2.368208,38660800
2017-07-04,2.480000,2.500000,2.440000,2.460000,2.349110,28637900
