Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,7.950000,7.950000,7.950000,7.950000,7.950000,2000
2017-01-05,7.950000,8.100000,7.950000,8.050000,8.050000,500
2017-01-06,8.050000,8.050000,8.050000,8.050000,8.050000,5000
2017-01-09,8.050000,8.050000,8.050000,8.050000,8.050000,0
2017-01-10,8.000000,8.000000,8.000000,8.000000,8.000000,9000
2017-01-11,8.100000,8.200000,7.900000,8.050000,8.050000,11700
2017-01-12,8.050000,8.050000,8.050000,8.050000,8.050000,0
2017-01-16,7.900000,8.200000,7.900000,8.200000,8.200000,4500
2017-01-17,8.150000,8.150000,8.000000,8.000000,8.000000,4100
2017-01-18,8.100000,9.800000,8.100000,8.100000,8.100000,229900
2017-01-19,8.200000,8.300000,7.950000,7.950000,7.950000,49600
2017-01-20,8.150000,8.400000,8.000000,8.000000,8.000000,3400
2017-01-23,8.100000,8.100000,7.900000,8.100000,8.100000,14400
2017-01-24,8.200000,8.200000,8.000000,8.000000,8.000000,3500
2017-01-25,8.200000,8.200000,7.700000,7.700000,7.700000,54700
2017-01-26,7.850000,7.950000,7.850000,7.950000,7.950000,52100
2017-01-27,7.950000,8.600000,7.950000,8.050000,8.050000,34800
2017-01-30,8.050000,8.050000,8.000000,8.000000,8.000000,3100
2017-01-31,8.050000,8.800000,8.000000,8.400000,8.400000,126100
2017-02-01,9.100000,9.100000,8.050000,8.200000,8.200000,166100
2017-02-02,8.200000,8.200000,7.950000,8.000000,8.000000,11100
2017-02-03,7.950000,8.150000,7.950000,8.000000,8.000000,24600
2017-02-06,7.950000,8.000000,7.900000,7.950000,7.950000,23200
2017-02-07,7.950000,8.100000,7.950000,7.950000,7.950000,5200
2017-02-08,8.000000,8.000000,7.900000,8.000000,8.000000,4700
2017-02-09,8.050000,8.050000,8.000000,8.000000,8.000000,5500
2017-02-10,7.950000,7.950000,7.950000,7.950000,7.950000,200
2017-02-14,8.000000,8.000000,8.000000,8.000000,8.000000,5000
2017-02-15,7.950000,8.000000,7.850000,7.850000,7.850000,16800
2017-02-16,7.850000,7.850000,7.850000,7.850000,7.850000,0
2017-02-17,7.950000,7.950000,7.950000,7.950000,7.950000,1000
2017-02-20,8.050000,8.050000,8.050000,8.050000,8.050000,100
2017-02-21,7.900000,7.900000,7.900000,7.900000,7.900000,1900
2017-02-22,7.900000,7.900000,7.900000,7.900000,7.900000,2300
