Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,8.400000,8.650000,8.350000,8.550000,8.408444,5364600
2017-01-05,8.650000,8.700000,8.500000,8.500000,8.359272,5233600
2017-01-06,8.500000,8.550000,8.450000,8.550000,8.408444,2106900
2017-01-09,8.600000,9.200000,8.500000,9.050000,8.900166,36341100
2017-01-10,8.950000,9.300000,8.950000,9.100000,8.949338,10039700
2017-01-11,9.200000,9.200000,8.850000,8.850000,8.703478,5416500
2017-01-12,8.950000,9.050000,8.750000,8.750000,8.605133,4995500
2017-01-16,8.900000,8.900000,8.450000,8.500000,8.359272,7751200
2017-01-17,8.600000,8.750000,8.500000,8.500000,8.359272,8514100
2017-01-18,8.500000,8.600000,8.150000,8.200000,8.064239,3841900
2017-01-19,8.200000,8.400000,8.100000,8.350000,8.211756,5622500
2017-01-20,8.450000,8.650000,8.400000,8.450000,8.310100,4377300
2017-01-23,8.500000,8.650000,8.500000,8.550000,8.408444,1264300
2017-01-24,8.650000,8.650000,8.450000,8.550000,8.408444,1359000
2017-01-25,8.750000,8.750000,8.500000,8.550000,8.408444,3287700
2017-01-26,8.600000,8.650000,8.500000,8.500000,8.359272,1714600
2017-01-27,8.500000,8.550000,8.200000,8.400000,8.260927,1240700
2017-01-30,8.400000,8.500000,8.250000,8.300000,8.162583,2272500
2017-01-31,8.300000,8.300000,7.950000,7.950000,7.818377,7609700
2017-02-01,7.950000,8.050000,7.600000,7.600000,7.474172,8822500
2017-02-02,7.550000,7.750000,7.450000,7.550000,7.425000,7433100
2017-02-03,7.600000,7.800000,7.600000,7.700000,7.572516,3560600
2017-02-06,7.200000,7.200000,6.500000,6.500000,6.392385,30538500
2017-02-07,6.500000,6.650000,6.400000,6.400000,6.294040,16099400
2017-02-08,6.550000,6.550000,6.350000,6.350000,6.244868,6118200
2017-02-09,6.400000,6.550000,6.400000,6.400000,6.294040,6769100
2017-02-10,6.500000,6.600000,6.400000,6.450000,6.343212,2516300
2017-02-14,6.500000,6.550000,6.400000,6.400000,6.294040,3243000
2017-02-15,6.450000,6.800000,6.350000,6.800000,6.687418,12483200
2017-02-16,6.950000,7.000000,6.700000,6.700000,6.589073,10951500
2017-02-17,6.750000,6.800000,6.650000,6.650000,6.539901,2982000
2017-02-20,6.650000,6.700000,6.600000,6.600000,6.490728,848400
2017-02-21,6.600000,6.650000,6.450000,6.500000,6.392385,2051000
2017-02-22,6.550000,6.550000,6.400000,6.500000,6.392385,1151600
2017-02-23,6.500000,6.500000,6.400000,6.450000,6.343212,730900
2017-02-24,6.400000,6.500000,6.400000,6.450000,6.343212,654600
2017-02-27,6.450000,6.700000,6.400000,6.500000,6.392385,1758600
2017-02-28,6.500000,6.550000,6.450000,6.500000,6.392385,1444000
2017-03-01,6.500000,6.650000,6.450000,6.550000,6.441556,2052300
2017-03-02,6.600000,6.750000,6.550000,6.650000,6.539901,4028500
2017-03-03,6.650000,6.650000,6.550000,6.600000,6.490728,1403800
2017-03-06,6.600000,6.650000,6.500000,6.500000,6.392385,1854400
2017-03-07,6.500000,6.650000,6.500000,6.550000,6.441556,886400
2017-03-08,6.600000,6.600000,6.400000,6.450000,6.343212,2324300
2017-03-09,6.450000,6.500000,6.400000,6.450000,6.343212,657500
2017-03-10,6.550000,6.550000,6.350000,6.350000,6.244868,797600
2017-03-13,6.350000,6.350000,6.150000,6.150000,6.048179,1931300
2017-03-14,6.150000,6.350000,6.050000,6.300000,6.195696,2174400
2017-03-15,6.250000,6.350000,6.250000,6.250000,6.146523,638600
2017-03-16,6.350000,6.350000,6.250000,6.300000,6.195696,692000
2017-03-17,6.450000,6.700000,6.450000,6.600000,6.490728,4413100
2017-03-20,6.600000,6.650000,6.500000,6.550000,6.441556,1160200
2017-03-21,6.550000,6.650000,6.500000,6.500000,6.392385,1153100
2017-03-22,6.500000,6.550000,6.450000,6.500000,6.392385,669200
2017-03-23,6.550000,6.550000,6.450000,6.500000,6.392385,764700
2017-03-24,6.550000,6.700000,6.550000,6.550000,6.441556,2877000
2017-03-27,6.550000,6.600000,6.500000,6.500000,6.392385,547600
2017-03-28,6.550000,6.650000,6.500000,6.550000,6.441556,1117800
2017-03-29,6.600000,6.900000,6.600000,6.900000,6.785762,12096600
2017-03-30,7.150000,7.450000,7.100000,7.350000,7.228312,35211800
2017-03-31,7.350000,7.400000,7.200000,7.300000,7.179140,8293000
2017-04-03,7.400000,7.450000,7.250000,7.350000,7.228312,4081200
2017-04-04,7.350000,7.400000,7.300000,7.300000,7.179140,2114100
2017-04-05,7.300000,7.350000,7.200000,7.300000,7.179140,995300
2017-04-07,7.250000,7.250000,7.100000,7.200000,7.080795,1498900
2017-04-10,7.200000,7.200000,6.900000,6.950000,6.834934,4896200
2017-04-11,6.900000,7.100000,6.900000,7.000000,6.884106,3562900
2017-04-12,7.000000,7.000000,6.950000,7.000000,6.884106,789400
2017-04-17,7.000000,7.000000,6.850000,6.850000,6.736589,1712400
2017-04-18,6.900000,7.050000,6.850000,6.850000,6.736589,2163800
2017-04-19,6.850000,6.850000,6.700000,6.750000,6.638245,1787000
2017-04-20,6.750000,6.800000,6.650000,6.650000,6.539901,1455700
2017-04-21,6.650000,6.700000,6.600000,6.650000,6.539901,603200
2017-04-24,6.600000,6.700000,6.600000,6.600000,6.490728,673700
2017-04-25,6.600000,6.650000,6.350000,6.450000,6.343212,2904600
2017-04-26,6.450000,6.650000,6.450000,6.600000,6.490728,2213500
2017-04-27,6.600000,6.750000,6.550000,6.750000,6.638245,1373400
2017-04-28,6.750000,6.750000,6.600000,6.600000,6.490728,647700
2017-05-02,6.600000,6.600000,6.500000,6.600000,6.490728,661100
2017-05-03,6.550000,6.600000,6.500000,6.550000,6.441556,497200
2017-05-04,6.550000,6.650000,6.550000,6.600000,6.490728,1352200
2017-05-08,6.550000,6.600000,6.500000,6.500000,6.392385,588600
2017-05-09,6.550000,6.550000,6.500000,6.500000,6.392385,637500
2017-05-11,6.500000,6.500000,6.350000,6.350000,6.244868,959000
2017-05-12,6.350000,6.400000,6.300000,6.350000,6.244868,920700
2017-05-15,6.500000,6.500000,6.500000,6.500000,6.392385,136200
2017-05-16,6.500000,6.600000,6.500000,6.550000,6.441556,1404800
2017-05-17,6.650000,6.700000,6.600000,6.600000,6.490728,1787900
2017-05-18,6.600000,6.650000,6.500000,6.550000,6.441556,1187400
2017-05-19,6.550000,6.650000,6.550000,6.650000,6.539901,659100
2017-05-22,6.650000,6.650000,6.600000,6.600000,6.490728,762900
2017-05-23,6.650000,6.650000,6.550000,6.600000,6.490728,569900
2017-05-24,6.600000,6.850000,6.600000,6.800000,6.687418,3658100
2017-05-25,6.850000,6.950000,6.850000,6.850000,6.736589,2874800
2017-05-26,6.850000,7.100000,6.850000,7.050000,6.933279,6489800
2017-05-29,7.150000,7.150000,6.950000,6.950000,6.834934,3751500
2017-05-30,7.000000,7.200000,6.950000,7.150000,7.031623,6614200
2017-05-31,7.150000,7.200000,6.800000,6.900000,6.785762,5557000
2017-06-01,6.950000,7.150000,6.900000,7.050000,6.933279,5381200
2017-06-02,7.050000,7.050000,6.850000,6.900000,6.785762,2544600
2017-06-05,6.900000,6.950000,6.800000,6.800000,6.687418,1905000
2017-06-06,6.800000,6.850000,6.700000,6.750000,6.638245,921200
2017-06-07,6.750000,6.750000,6.650000,6.700000,6.589073,1425000
2017-06-08,6.700000,6.850000,6.600000,6.800000,6.687418,2516700
2017-06-09,6.800000,6.800000,6.700000,6.700000,6.589073,681200
2017-06-12,6.800000,6.850000,6.750000,6.800000,6.687418,650500
2017-06-13,6.800000,6.850000,6.800000,6.800000,6.687418,1239100
2017-06-14,6.900000,6.900000,6.800000,6.850000,6.736589,1105800
2017-06-15,6.900000,7.000000,6.850000,6.900000,6.785762,2318000
2017-06-16,7.000000,7.000000,6.850000,6.900000,6.785762,1845000
2017-06-19,6.900000,6.950000,6.850000,6.850000,6.736589,698700
2017-06-20,6.800000,6.900000,6.750000,6.800000,6.687418,2287600
2017-06-21,6.850000,6.850000,6.750000,6.750000,6.638245,741600
2017-06-22,6.750000,6.850000,6.700000,6.700000,6.589073,808800
2017-06-23,6.700000,6.750000,6.600000,6.650000,6.539901,2913400
2017-06-26,6.600000,6.700000,6.600000,6.700000,6.589073,793000
2017-06-27,6.800000,6.850000,6.750000,6.750000,6.638245,966000
2017-06-28,6.750000,6.800000,6.700000,6.700000,6.589073,285200
2017-06-29,6.700000,6.750000,6.650000,6.700000,6.589073,317500
2017-06-30,6.650000,6.700000,6.600000,6.650000,6.539901,477000
2017-07-03,6.700000,6.700000,6.550000,6.600000,6.490728,551200
2017-07-04,6.500000,6.600000,6.500000,6.500000,6.392385,717800
2017-07-05,6.500000,6.550000,6.500000,6.500000,6.392385,1583700
2017-07-06,6.500000,6.550000,6.450000,6.450000,6.343212,634300
2017-07-07,6.450000,6.550000,6.400000,6.450000,6.343212,827400
2017-07-11,6.450000,6.450000,6.350000,6.450000,6.343212,588100
2017-07-12,6.450000,6.450000,6.400000,6.400000,6.294040,347400
2017-07-13,6.450000,6.550000,6.400000,6.500000,6.392385,604600
2017-07-14,6.500000,6.550000,6.500000,6.550000,6.441556,140700
2017-07-17,6.550000,6.600000,6.500000,6.550000,6.441556,245100
2017-07-18,6.600000,6.650000,6.400000,6.450000,6.343212,885600
2017-07-19,6.500000,6.500000,6.450000,6.500000,6.392385,421500
2017-07-20,6.500000,6.550000,6.450000,6.450000,6.343212,285600
2017-07-21,6.400000,6.500000,6.400000,6.450000,6.343212,325700
2017-07-24,6.400000,6.450000,6.350000,6.350000,6.244868,284500
2017-07-25,6.350000,6.400000,6.200000,6.200000,6.097351,1795900
2017-07-26,6.200000,6.250000,6.000000,6.050000,5.949835,3311000
2017-07-27,6.000000,6.100000,6.000000,6.000000,5.900662,1512400
2017-07-31,6.000000,6.000000,5.750000,5.800000,5.703974,2961700
2017-08-01,5.800000,5.850000,5.700000,5.850000,5.753146,1317600
2017-08-02,5.950000,5.950000,5.800000,5.900000,5.802318,1098600
2017-08-03,5.950000,5.950000,5.800000,5.850000,5.753146,869400
2017-08-04,5.900000,5.950000,5.800000,5.800000,5.703974,529700
2017-08-07,5.800000,5.850000,5.750000,5.750000,5.654801,206300
2017-08-08,5.750000,5.750000,5.700000,5.700000,5.605629,709000
2017-08-09,5.700000,5.800000,5.700000,5.750000,5.654801,1186700
2017-08-10,5.750000,5.800000,5.700000,5.700000,5.605629,230800
2017-08-11,5.750000,5.750000,5.600000,5.600000,5.507285,1093300
2017-08-15,5.750000,5.850000,5.700000,5.750000,5.654801,1992300
2017-08-16,5.800000,5.850000,5.750000,5.750000,5.654801,991800
2017-08-17,5.750000,5.800000,5.750000,5.750000,5.654801,609600
2017-08-18,5.750000,5.800000,5.700000,5.800000,5.703974,658900
2017-08-21,5.800000,5.800000,5.700000,5.700000,5.605629,587300
2017-08-22,5.700000,5.750000,5.650000,5.700000,5.605629,1108200
2017-08-23,5.700000,5.750000,5.700000,5.700000,5.605629,433200
2017-08-24,5.800000,5.800000,5.650000,5.700000,5.605629,559000
2017-08-25,5.750000,5.750000,5.650000,5.700000,5.605629,498900
2017-08-28,5.750000,5.750000,5.750000,5.750000,5.654801,29900
2017-08-29,5.750000,5.850000,5.700000,5.850000,5.753146,991800
2017-08-30,5.850000,5.900000,5.800000,5.850000,5.753146,793900
2017-08-31,5.800000,5.850000,5.750000,5.850000,5.753146,1266400
2017-09-01,5.950000,6.250000,5.950000,6.200000,6.097351,8883200
2017-09-04,6.200000,6.250000,6.050000,6.250000,6.146523,2135300
2017-09-05,6.350000,6.350000,6.150000,6.150000,6.048179,2532400
2017-09-06,6.150000,6.200000,6.050000,6.150000,6.048179,1220700
2017-09-07,6.200000,6.300000,6.150000,6.250000,6.146523,2844000
2017-09-08,6.250000,6.400000,6.200000,6.200000,6.097351,3308200
2017-09-11,6.250000,6.300000,6.100000,6.300000,6.195696,1038700
2017-09-12,6.250000,6.450000,6.200000,6.450000,6.343212,5110900
2017-09-13,6.550000,6.650000,6.450000,6.500000,6.392385,7715500
2017-09-14,6.450000,6.600000,6.450000,6.450000,6.343212,3023100
2017-09-15,6.450000,6.550000,6.450000,6.450000,6.343212,1175100
2017-09-18,6.450000,6.450000,6.300000,6.350000,6.244868,1418400
2017-09-19,6.350000,6.400000,6.300000,6.400000,6.294040,1110800
2017-09-20,6.400000,6.450000,6.400000,6.400000,6.294040,892500
2017-09-21,6.350000,6.450000,6.300000,6.350000,6.244868,1180300
2017-09-22,6.350000,6.350000,6.250000,6.300000,6.195696,1047400
2017-09-25,6.250000,6.400000,6.250000,6.350000,6.244868,643700
2017-09-26,6.350000,6.400000,6.300000,6.350000,6.244868,1130100
2017-09-27,6.350000,6.500000,6.350000,6.400000,6.294040,1665800
2017-09-28,6.400000,6.500000,6.350000,6.400000,6.294040,1476600
2017-09-29,6.450000,6.800000,6.450000,6.750000,6.638245,8482900
2017-10-02,6.850000,6.850000,6.650000,6.650000,6.539901,5389900
2017-10-03,6.650000,6.700000,6.600000,6.600000,6.490728,1479400
2017-10-04,6.600000,6.700000,6.600000,6.700000,6.589073,1676800
2017-10-05,6.700000,6.700000,6.600000,6.600000,6.490728,749200
2017-10-06,6.600000,6.700000,6.600000,6.600000,6.490728,648000
2017-10-09,6.600000,6.650000,6.400000,6.400000,6.294040,1782500
2017-10-10,6.300000,6.350000,6.300000,6.350000,6.244868,1202600
2017-10-11,6.300000,6.400000,6.300000,6.300000,6.195696,769200
2017-10-12,6.350000,6.600000,6.350000,6.450000,6.343212,2183800
2017-10-16,6.500000,6.500000,6.500000,6.500000,6.392385,20300
2017-10-17,6.500000,6.500000,6.400000,6.450000,6.343212,475900
2017-10-18,6.450000,6.450000,6.300000,6.350000,6.244868,592000
2017-10-19,6.300000,6.400000,6.250000,6.250000,6.146523,1253100
2017-10-20,6.250000,6.550000,6.250000,6.400000,6.294040,1770800
2017-10-24,6.400000,6.500000,6.350000,6.400000,6.294040,927100
2017-10-25,6.450000,6.450000,6.350000,6.400000,6.294040,958000
2017-10-27,6.400000,6.400000,6.300000,6.300000,6.195696,514400
2017-10-30,6.300000,6.350000,6.250000,6.300000,6.195696,724200
2017-10-31,6.250000,6.450000,6.250000,6.300000,6.195696,1147600
2017-11-01,6.300000,6.400000,6.300000,6.350000,6.244868,479200
2017-11-02,6.300000,6.350000,6.250000,6.300000,6.195696,553700
2017-11-03,6.350000,6.350000,6.250000,6.300000,6.195696,550700
2017-11-06,6.300000,6.300000,6.200000,6.200000,6.097351,554000
2017-11-07,6.250000,6.300000,6.100000,6.100000,5.999007,952800
2017-11-08,6.100000,6.100000,5.900000,6.000000,5.900662,2143600
2017-11-09,6.000000,6.000000,5.900000,5.950000,5.851490,450500
2017-11-10,5.950000,6.050000,5.950000,6.000000,5.900662,527900
