Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,4.200000,4.260000,4.120000,4.140000,3.850323,13198400
2017-01-05,4.140000,4.280000,4.100000,4.160000,3.868923,14851300
2017-01-06,4.140000,4.200000,4.060000,4.080000,3.794521,7159900
2017-01-09,4.080000,4.100000,3.920000,3.920000,3.645717,9686300
2017-01-10,3.920000,3.960000,3.840000,3.920000,3.645717,4838400
2017-01-11,3.960000,4.040000,3.940000,3.960000,3.682918,5230300
2017-01-12,3.960000,4.000000,3.920000,3.940000,3.664317,1375000
2017-01-16,3.960000,4.160000,3.960000,4.140000,3.850323,10033200
2017-01-17,4.200000,4.640000,4.180000,4.420000,4.110732,92076000
2017-01-18,4.380000,4.460000,4.260000,4.300000,3.999128,17169300
2017-01-19,4.320000,4.460000,4.260000,4.440000,4.129332,17960100
2017-01-20,4.520000,4.700000,4.460000,4.480000,4.166533,38512900
2017-01-23,4.500000,4.540000,4.480000,4.480000,4.166533,5620600
2017-01-24,4.500000,4.600000,4.420000,4.460000,4.147933,10962700
2017-01-25,4.480000,4.640000,4.380000,4.640000,4.315338,22813100
2017-01-26,4.720000,4.780000,4.520000,4.520000,4.203734,22778500
2017-01-27,4.520000,4.580000,4.500000,4.540000,4.222335,4788900
2017-01-30,4.540000,4.620000,4.520000,4.580000,4.259536,5718600
2017-01-31,4.620000,4.720000,4.600000,4.700000,4.371140,17787800
2017-02-01,4.720000,4.800000,4.600000,4.600000,4.278137,13737700
2017-02-02,4.620000,4.640000,4.540000,4.560000,4.240936,6176200
2017-02-03,4.540000,4.620000,4.540000,4.600000,4.278137,4858500
2017-02-06,4.620000,4.620000,4.520000,4.520000,4.203734,4384500
2017-02-07,4.500000,4.500000,4.140000,4.180000,3.887524,18241200
2017-02-08,4.140000,4.280000,4.140000,4.180000,3.887524,5581000
2017-02-09,4.180000,4.200000,4.040000,4.040000,3.757320,4908700
2017-02-10,4.080000,4.180000,4.080000,4.180000,3.887524,2261800
2017-02-14,4.220000,4.220000,4.120000,4.120000,3.831722,1125400
2017-02-15,4.120000,4.140000,4.100000,4.100000,3.813122,955700
2017-02-16,4.080000,4.200000,4.080000,4.180000,3.887524,617800
2017-02-17,4.180000,4.260000,4.160000,4.180000,3.887524,2710200
2017-02-20,4.200000,4.400000,4.160000,4.400000,4.092131,14634000
2017-02-21,4.460000,4.460000,4.260000,4.260000,3.961927,10513600
2017-02-22,4.260000,4.360000,4.260000,4.320000,4.017729,2125300
2017-02-23,4.340000,4.400000,4.300000,4.360000,4.054930,3105400
2017-02-24,4.380000,4.440000,4.380000,4.400000,4.092131,2614100
2017-02-27,4.420000,4.420000,4.320000,4.320000,4.017729,2454500
2017-02-28,4.340000,4.380000,4.240000,4.240000,3.943326,2196300
2017-03-01,4.200000,4.220000,4.100000,4.140000,3.850323,3576000
2017-03-02,4.140000,4.260000,4.140000,4.260000,3.961927,991700
2017-03-03,4.240000,4.340000,4.220000,4.300000,3.999128,3523100
2017-03-06,4.300000,4.300000,4.160000,4.180000,3.887524,1485300
2017-03-07,4.180000,4.280000,4.140000,4.140000,3.850323,1759600
2017-03-08,4.120000,4.160000,3.900000,3.980000,3.701519,4312300
2017-03-09,3.920000,4.040000,3.920000,4.040000,3.757320,890300
2017-03-10,4.120000,4.120000,3.980000,4.020000,3.738719,1251100
2017-03-13,4.020000,4.040000,3.980000,4.000000,3.720119,495500
2017-03-14,3.980000,4.040000,3.980000,4.040000,3.757320,481600
2017-03-15,4.040000,4.060000,4.000000,4.000000,3.720119,374200
2017-03-16,4.000000,4.100000,4.000000,4.080000,3.794521,813700
2017-03-17,4.060000,4.080000,4.040000,4.060000,3.775921,252400
2017-03-20,4.060000,4.120000,4.020000,4.040000,3.757320,659400
2017-03-21,4.040000,4.080000,4.000000,4.060000,3.775921,209300
2017-03-22,4.060000,4.280000,4.020000,4.260000,3.961927,7888200
2017-03-23,4.280000,4.320000,4.200000,4.260000,3.961927,7776300
2017-03-24,4.260000,4.260000,4.120000,4.120000,3.831722,3824300
2017-03-27,4.120000,4.160000,4.100000,4.100000,3.813122,877100
2017-03-28,4.100000,4.120000,4.060000,4.100000,3.813122,482300
2017-03-29,4.100000,4.160000,4.100000,4.100000,3.813122,601000
2017-03-30,4.100000,4.200000,4.100000,4.180000,3.887524,1431900
2017-03-31,4.180000,4.180000,4.100000,4.120000,3.831722,667200
2017-04-03,4.160000,4.180000,4.120000,4.140000,3.850323,447800
2017-04-04,4.140000,4.220000,4.140000,4.160000,3.868923,1776000
2017-04-05,4.160000,4.180000,4.120000,4.120000,3.831722,298000
2017-04-07,4.140000,4.140000,4.080000,4.100000,3.813122,508100
2017-04-10,4.080000,4.100000,4.060000,4.080000,3.794521,289400
2017-04-11,4.040000,4.080000,4.000000,4.040000,3.757320,787300
2017-04-12,4.000000,4.060000,4.000000,4.020000,3.738719,353800
2017-04-17,4.020000,4.020000,3.900000,3.980000,3.701519,731000
2017-04-18,3.980000,4.000000,3.940000,3.960000,3.682918,395600
2017-04-19,3.940000,3.960000,3.880000,3.900000,3.627116,1519900
2017-04-20,3.880000,3.960000,3.880000,3.960000,3.682918,386100
2017-04-21,3.960000,3.960000,3.940000,3.940000,3.664317,259900
2017-04-24,3.940000,4.020000,3.920000,3.920000,3.645717,628700
2017-04-25,3.940000,3.940000,3.800000,3.880000,3.608516,867600
2017-04-26,3.880000,3.920000,3.860000,3.900000,3.627116,556500
2017-04-27,3.900000,3.900000,3.880000,3.880000,3.608516,271600
2017-04-28,3.900000,4.020000,3.880000,3.960000,3.682918,2397000
2017-05-02,3.960000,4.000000,3.920000,4.000000,3.720119,1182000
2017-05-03,4.000000,4.120000,4.000000,4.080000,3.794521,12152200
2017-05-04,4.080000,4.080000,3.960000,3.980000,3.701519,3943100
2017-05-08,3.900000,3.960000,3.880000,3.920000,3.692100,552300
2017-05-09,3.940000,3.940000,3.880000,3.880000,3.654425,660900
2017-05-11,3.920000,3.920000,3.780000,3.800000,3.579076,1322800
2017-05-12,3.780000,3.780000,3.700000,3.700000,3.484890,846000
2017-05-15,3.640000,3.640000,3.640000,3.640000,3.428378,10000
2017-05-16,3.640000,3.640000,3.500000,3.560000,3.353029,1052500
2017-05-17,3.640000,3.640000,3.500000,3.520000,3.315355,1145200
2017-05-18,3.540000,3.540000,3.500000,3.500000,3.296518,696500
2017-05-19,3.540000,3.620000,3.520000,3.580000,3.371866,464200
2017-05-22,3.600000,3.600000,3.540000,3.540000,3.334192,169400
2017-05-23,3.580000,3.600000,3.540000,3.580000,3.371866,300100
2017-05-24,3.580000,3.660000,3.560000,3.640000,3.428378,374900
2017-05-25,3.660000,3.780000,3.620000,3.720000,3.503727,1185000
2017-05-26,3.740000,3.760000,3.700000,3.740000,3.522564,348400
2017-05-29,3.740000,3.840000,3.660000,3.660000,3.447216,1141300
