Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,0.466210,0.472180,0.460230,0.466210,0.466210,21161413
2017-01-05,0.460230,0.466210,0.454250,0.466210,0.466210,36864244
2017-01-06,0.460230,0.502070,0.460230,0.496090,0.496090,237320953
2017-01-09,0.502070,0.514020,0.490110,0.496090,0.496090,51352254
2017-01-10,0.502070,0.520000,0.496090,0.508050,0.508050,32384246
2017-01-11,0.514020,0.514020,0.502070,0.508050,0.508050,14528331
2017-01-12,0.514020,0.531950,0.508050,0.520000,0.520000,46390410
2017-01-16,0.531950,0.537930,0.525980,0.525980,0.525980,9427622
2017-01-17,0.525980,0.549890,0.520000,0.543910,0.543910,43391587
2017-01-18,0.543910,0.567820,0.543910,0.567820,0.567820,56294858
2017-01-19,0.573790,0.627590,0.466210,0.478160,0.478160,797965208
2017-01-20,0.484140,0.496090,0.472180,0.472180,0.472180,90099546
2017-01-23,0.466210,0.466210,0.430340,0.454250,0.454250,32315482
2017-01-24,0.460230,0.460230,0.442300,0.442300,0.442300,12243076
2017-01-25,0.442300,0.460230,0.436320,0.448280,0.448280,13926024
2017-01-26,0.454250,0.454250,0.442300,0.454250,0.454250,4945448
2017-01-27,0.454250,0.454250,0.442300,0.448280,0.448280,2661698
2017-01-30,0.442300,0.454250,0.442300,0.442300,0.442300,1832856
2017-01-31,0.442300,0.448280,0.442300,0.442300,0.442300,4466279
2017-02-01,0.448280,0.448280,0.430340,0.436320,0.436320,10534864
2017-02-02,0.430340,0.436320,0.412410,0.418390,0.418390,12866297
2017-02-03,0.418390,0.424370,0.394480,0.406440,0.406440,15430956
2017-02-06,0.412410,0.418390,0.394480,0.400460,0.400460,11588066
2017-02-07,0.400460,0.406440,0.388510,0.394480,0.394480,20558603
2017-02-08,0.394480,0.406440,0.388510,0.388510,0.388510,6687623
2017-02-09,0.388510,0.394480,0.388510,0.388510,0.388510,12858099
2017-02-10,0.388510,0.394480,0.388510,0.394480,0.394480,1858454
2017-02-14,0.394480,0.400460,0.394480,0.394480,0.394480,1692485
2017-02-15,0.394480,0.394480,0.388510,0.394480,0.394480,1261667
2017-02-16,0.394480,0.406440,0.394480,0.394480,0.394480,1416929
2017-02-17,0.400460,0.400460,0.394480,0.400460,0.400460,2475485
2017-02-20,0.400460,0.400460,0.394480,0.400460,0.400460,2729291
2017-02-21,0.400460,0.400460,0.394480,0.394480,0.394480,1302658
2017-02-22,0.394480,0.400460,0.394480,0.394480,0.394480,1480840
2017-02-23,0.394480,0.394480,0.388510,0.394480,0.394480,913835
2017-02-24,0.394480,0.394480,0.388510,0.394480,0.394480,1085660
2017-02-27,0.394480,0.394480,0.382530,0.388510,0.388510,3947291
2017-02-28,0.388510,0.400460,0.388510,0.394480,0.394480,2122800
2017-03-01,0.394480,0.400460,0.388510,0.388510,0.388510,1146894
2017-03-02,0.388510,0.394480,0.364600,0.370570,0.370570,6623043
2017-03-03,0.370570,0.376550,0.322760,0.334710,0.334710,15845712
2017-03-06,0.346670,0.352640,0.334710,0.334710,0.334710,16150045
2017-03-07,0.334710,0.352640,0.334710,0.340690,0.340690,9043316
2017-03-08,0.340690,0.352640,0.334710,0.340690,0.340690,4083479
2017-03-09,0.340690,0.346670,0.334710,0.334710,0.334710,7165789
2017-03-10,0.334710,0.364600,0.334710,0.340690,0.340690,29539680
2017-03-13,0.340690,0.340690,0.310800,0.316780,0.316780,30960290
2017-03-14,0.316780,0.406440,0.310800,0.358620,0.358620,305586845
2017-03-15,0.364600,0.394480,0.316780,0.328740,0.328740,209708825
2017-03-16,0.334710,0.346670,0.334710,0.334710,0.334710,22325372
2017-03-17,0.334710,0.340690,0.328740,0.328740,0.328740,4567500
2017-03-20,0.334710,0.340690,0.328740,0.328740,0.328740,5629235
2017-03-21,0.304830,0.304830,0.262990,0.268970,0.268970,241357586
2017-03-22,0.274940,0.280920,0.257010,0.274940,0.274940,101289922
2017-03-23,0.274940,0.274940,0.262990,0.268970,0.268970,20515772
2017-03-24,0.268970,0.280920,0.268970,0.274940,0.274940,26925163
2017-03-27,0.274940,0.280920,0.274940,0.274940,0.274940,15290083
2017-03-28,0.280920,0.280920,0.274940,0.274940,0.274940,16789662
2017-03-29,0.280920,0.280920,0.274940,0.274940,0.274940,22906432
2017-03-30,0.274940,0.280920,0.268970,0.274940,0.274940,32241198
2017-03-31,0.274940,0.340690,0.274940,0.274940,0.274940,638939406
2017-04-03,0.274940,0.280920,0.262990,0.262990,0.262990,40619967
2017-04-04,0.262990,0.286900,0.262990,0.262990,0.262990,80614538
2017-04-05,0.262990,0.268970,0.257010,0.262990,0.262990,13291258
2017-04-07,0.262990,0.268970,0.257010,0.262990,0.262990,7718239
2017-04-10,0.268970,0.268970,0.257010,0.257010,0.257010,9821966
2017-04-11,0.262990,0.268970,0.257010,0.262990,0.262990,8100202
2017-04-12,0.262990,0.262990,0.257010,0.262990,0.262990,5673404
2017-04-17,0.257010,0.262990,0.257010,0.262990,0.262990,3842556
2017-04-18,0.262990,0.280920,0.257010,0.257010,0.257010,34211246
2017-04-19,0.257010,0.262990,0.257010,0.257010,0.257010,6689464
2017-04-20,0.262990,0.262990,0.251030,0.251030,0.251030,9323891
2017-04-21,0.257010,0.262990,0.245060,0.251030,0.251030,25106863
2017-04-24,0.257010,0.268970,0.239080,0.239080,0.239080,94563483
2017-04-25,0.239080,0.245060,0.227130,0.233100,0.233100,16796355
2017-04-26,0.233100,0.239080,0.227130,0.233100,0.233100,4410064
2017-04-27,0.233100,0.239080,0.227130,0.233100,0.233100,4337954
2017-04-28,0.233100,0.233100,0.221150,0.227130,0.227130,10480322
2017-05-02,0.227130,0.227130,0.221150,0.221150,0.221150,4898435
2017-05-03,0.227130,0.227130,0.215170,0.215170,0.215170,10269179
2017-05-04,0.209200,0.215170,0.197240,0.203220,0.203220,13867633
2017-05-08,0.209200,0.209200,0.197240,0.203220,0.203220,4861627
2017-05-09,0.203220,0.209200,0.197240,0.197240,0.197240,2005517
2017-05-11,0.197240,0.203220,0.197240,0.197240,0.197240,5318879
2017-05-12,0.197240,0.203220,0.191260,0.191260,0.191260,2419102
2017-05-15,0.191260,0.191260,0.191260,0.191260,0.191260,184038
2017-05-16,0.191260,0.197240,0.185290,0.191260,0.191260,4091008
2017-05-17,0.191260,0.197240,0.185290,0.185290,0.185290,7317035
2017-05-18,0.191260,0.197240,0.185290,0.191260,0.191260,5821973
2017-05-19,0.191260,0.191260,0.185290,0.185290,0.185290,493558
2017-05-22,0.185290,0.209200,0.185290,0.197240,0.197240,10755710
2017-05-23,0.203220,0.203220,0.197240,0.197240,0.197240,1766937
2017-05-24,0.203220,0.203220,0.197240,0.197240,0.197240,1402875
2017-05-25,0.203220,0.203220,0.197240,0.203220,0.203220,3362885
2017-05-26,0.203220,0.209200,0.197240,0.209200,0.209200,2819302
2017-05-29,0.203220,0.209200,0.203220,0.203220,0.203220,3236400
2017-05-30,0.209200,0.227130,0.203220,0.215170,0.215170,17582534
2017-05-31,0.221150,0.239080,0.215170,0.239080,0.239080,24109876
2017-06-01,0.239080,0.245060,0.239080,0.245060,0.245060,7099870
2017-06-02,0.245060,0.257010,0.245060,0.257010,0.257010,16200237
2017-06-05,0.257010,0.257010,0.239080,0.239080,0.239080,23395807
2017-06-06,0.245060,0.245060,0.233100,0.233100,0.233100,3624052
2017-06-07,0.233100,0.239080,0.233100,0.233100,0.233100,4657010
2017-06-08,0.233100,0.233100,0.227130,0.227130,0.227130,3382794
2017-06-09,0.233100,0.233100,0.221150,0.221150,0.221150,4040648
2017-06-12,0.221150,0.227130,0.221150,0.221150,0.221150,804750
2017-06-13,0.221150,0.227130,0.221150,0.221150,0.221150,1457417
2017-06-14,0.221150,0.233100,0.221150,0.227130,0.227130,1958671
2017-06-15,0.227130,0.239080,0.227130,0.233100,0.233100,1424458
2017-06-16,0.233100,0.239080,0.233100,0.239080,0.239080,1735483
2017-06-19,0.221150,0.227130,0.203220,0.203220,0.203220,16078437
2017-06-20,0.197240,0.197240,0.185290,0.185290,0.185290,14558781
2017-06-21,0.185290,0.191260,0.185290,0.185290,0.185290,2768273
2017-06-22,0.185290,0.197240,0.185290,0.197240,0.197240,24345613
2017-06-23,0.203220,0.203220,0.197240,0.197240,0.197240,3579381
2017-06-26,0.197240,0.203220,0.197240,0.197240,0.197240,17427941
2017-06-27,0.203220,0.203220,0.185290,0.185290,0.185290,4355689
2017-06-28,0.191260,0.191260,0.173330,0.173330,0.173330,22221474
2017-06-29,0.190000,0.200000,0.190000,0.200000,0.200000,13569500
2017-06-30,0.210000,0.230000,0.200000,0.210000,0.210000,18804100
2017-07-03,0.210000,0.230000,0.200000,0.220000,0.220000,9749400
2017-07-04,0.220000,0.220000,0.210000,0.210000,0.210000,3405800
2017-07-05,0.220000,0.220000,0.210000,0.210000,0.210000,282200
2017-07-06,0.210000,0.260000,0.210000,0.210000,0.210000,78934600
2017-07-07,0.210000,0.230000,0.210000,0.230000,0.230000,13729500
2017-07-11,0.230000,0.250000,0.220000,0.250000,0.250000,32429300
2017-07-12,0.250000,0.310000,0.220000,0.220000,0.220000,187001500
2017-07-13,0.230000,0.230000,0.210000,0.210000,0.210000,14349700
2017-07-14,0.220000,0.220000,0.200000,0.200000,0.200000,6968900
2017-07-17,0.210000,0.210000,0.200000,0.200000,0.200000,2351300
2017-07-18,0.210000,0.210000,0.190000,0.190000,0.190000,12283300
2017-07-19,0.200000,0.210000,0.190000,0.190000,0.190000,16845300
2017-07-20,0.200000,0.200000,0.190000,0.200000,0.200000,1139600
2017-07-21,0.190000,0.210000,0.190000,0.200000,0.200000,6403200
2017-07-24,0.200000,0.210000,0.190000,0.190000,0.190000,945000
2017-07-25,0.190000,0.200000,0.190000,0.190000,0.190000,2599500
2017-07-26,0.200000,0.200000,0.190000,0.200000,0.200000,1583000
2017-07-27,0.200000,0.210000,0.190000,0.200000,0.200000,5558800
2017-07-31,0.210000,0.250000,0.200000,0.200000,0.200000,88792300
2017-08-01,0.200000,0.210000,0.200000,0.200000,0.200000,2365300
2017-08-02,0.200000,0.210000,0.200000,0.200000,0.200000,1881500
2017-08-03,0.210000,0.220000,0.200000,0.210000,0.210000,6906700
2017-08-04,0.220000,0.230000,0.200000,0.200000,0.200000,13385500
2017-08-07,0.210000,0.210000,0.200000,0.200000,0.200000,1276300
2017-08-08,0.200000,0.210000,0.190000,0.200000,0.200000,9289200
2017-08-09,0.200000,0.200000,0.180000,0.190000,0.190000,15661500
2017-08-10,0.190000,0.190000,0.180000,0.180000,0.180000,5347100
2017-08-11,0.190000,0.190000,0.180000,0.180000,0.180000,4178400
2017-08-15,0.190000,0.190000,0.170000,0.170000,0.170000,8368900
2017-08-16,0.180000,0.180000,0.170000,0.170000,0.170000,3072200
2017-08-17,0.180000,0.180000,0.170000,0.170000,0.170000,1844500
2017-08-18,0.170000,0.180000,0.160000,0.170000,0.170000,5339000
2017-08-21,0.180000,0.180000,0.160000,0.170000,0.170000,4055900
2017-08-22,0.170000,0.180000,0.160000,0.170000,0.170000,3445000
2017-08-23,0.170000,0.170000,0.150000,0.160000,0.160000,12566200
2017-08-24,0.150000,0.160000,0.150000,0.160000,0.160000,5445500
2017-08-25,0.160000,0.160000,0.150000,0.160000,0.160000,3546700
2017-08-28,0.160000,0.160000,0.160000,0.160000,0.160000,165000
2017-08-29,0.160000,0.160000,0.150000,0.160000,0.160000,3302100
