Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,7.050000,7.100000,6.950000,7.000000,6.377906,2469300
2017-01-05,7.000000,7.100000,7.000000,7.050000,6.423463,5630500
2017-01-06,7.050000,7.250000,7.000000,7.100000,6.469020,11652700
2017-01-09,7.100000,7.150000,7.050000,7.100000,6.469020,3316600
2017-01-10,7.050000,7.250000,7.050000,7.200000,6.560132,7574400
2017-01-11,7.250000,7.250000,7.050000,7.100000,6.469020,5983600
2017-01-12,7.100000,7.150000,7.000000,7.050000,6.423463,2288200
2017-01-16,7.100000,7.150000,7.100000,7.100000,6.469020,1789300
2017-01-17,7.100000,7.200000,7.000000,7.000000,6.377906,5670500
2017-01-18,7.000000,7.100000,6.950000,6.950000,6.332350,3926200
2017-01-19,6.950000,7.000000,6.850000,6.950000,6.332350,4624900
2017-01-20,6.950000,7.050000,6.900000,7.000000,6.377906,5511700
2017-01-23,7.050000,7.100000,7.000000,7.050000,6.423463,3821700
2017-01-24,7.050000,7.100000,7.000000,7.000000,6.377906,2553500
2017-01-25,7.050000,7.050000,6.950000,6.950000,6.332350,1486200
2017-01-26,6.950000,7.000000,6.900000,6.900000,6.286794,3525500
2017-01-27,6.900000,6.950000,6.900000,6.950000,6.332350,1089000
2017-01-30,6.900000,6.950000,6.850000,6.900000,6.286794,2459000
2017-01-31,6.950000,6.950000,6.850000,6.900000,6.286794,2935200
2017-02-01,6.900000,6.950000,6.850000,6.900000,6.286794,1674000
2017-02-02,6.950000,6.950000,6.800000,6.800000,6.195681,3508000
2017-02-03,6.800000,6.850000,6.800000,6.850000,6.241237,1138800
2017-02-06,6.800000,6.850000,6.750000,6.750000,6.150125,1342400
2017-02-07,6.750000,6.850000,6.600000,6.700000,6.104568,3254200
2017-02-08,6.700000,6.750000,6.650000,6.650000,6.059011,2685000
2017-02-09,6.700000,7.000000,6.700000,6.900000,6.286794,3659900
2017-02-10,6.900000,6.900000,6.800000,6.850000,6.241237,830600
2017-02-14,6.900000,6.900000,6.800000,6.800000,6.195681,911600
2017-02-15,6.800000,6.900000,6.700000,6.750000,6.150125,983000
2017-02-16,6.750000,6.850000,6.750000,6.750000,6.150125,608400
2017-02-17,6.750000,6.800000,6.700000,6.750000,6.150125,498000
2017-02-20,6.800000,6.800000,6.600000,6.700000,6.104568,1528500
2017-02-21,6.650000,6.750000,6.650000,6.700000,6.104568,1094800
2017-02-22,6.700000,6.700000,6.600000,6.650000,6.059011,1059400
2017-02-23,6.650000,6.700000,6.650000,6.700000,6.104568,399100
2017-02-24,6.700000,6.700000,6.600000,6.650000,6.059011,537300
2017-02-27,6.650000,6.650000,6.600000,6.650000,6.059011,537800
2017-02-28,6.700000,6.800000,6.700000,6.700000,6.104568,2188300
2017-03-01,6.700000,6.900000,6.700000,6.900000,6.286794,5267600
2017-03-02,6.900000,6.950000,6.850000,6.900000,6.286794,2723300
2017-03-03,6.900000,6.900000,6.700000,6.700000,6.104568,1940200
2017-03-06,6.700000,6.800000,6.700000,6.750000,6.150125,1046000
2017-03-07,6.700000,6.750000,6.650000,6.650000,6.059011,803300
2017-03-08,6.650000,6.650000,6.450000,6.500000,5.922341,2855600
2017-03-09,6.500000,6.600000,6.450000,6.600000,6.013455,602900
2017-03-10,6.650000,6.650000,6.500000,6.500000,5.922341,548000
2017-03-13,6.500000,6.550000,6.300000,6.400000,5.831229,1594300
2017-03-14,6.350000,6.350000,6.200000,6.250000,5.694559,4744000
2017-03-15,6.200000,6.400000,6.150000,6.300000,5.740116,4897900
2017-03-16,6.300000,6.400000,6.250000,6.350000,5.785672,2839000
2017-03-17,6.350000,6.350000,6.250000,6.250000,5.694559,995600
2017-03-20,6.300000,6.350000,6.250000,6.250000,5.694559,1121000
2017-03-21,6.300000,6.350000,6.250000,6.300000,5.740116,747100
2017-03-22,6.300000,6.650000,6.300000,6.600000,6.013455,8609700
2017-03-23,6.550000,6.600000,6.450000,6.450000,5.876785,1968400
2017-03-24,6.550000,6.550000,6.400000,6.500000,5.922341,1727200
2017-03-27,6.500000,6.500000,6.400000,6.400000,5.831229,932600
2017-03-28,6.450000,6.450000,6.400000,6.400000,5.831229,757200
2017-03-29,6.400000,6.550000,6.400000,6.500000,5.922341,1604200
2017-03-30,6.500000,6.500000,6.350000,6.400000,5.831229,1734300
2017-03-31,6.450000,6.550000,6.400000,6.450000,5.876785,2765800
2017-04-03,6.450000,6.500000,6.400000,6.500000,5.922341,1358200
2017-04-04,6.450000,6.550000,6.400000,6.450000,5.876785,2407200
2017-04-05,6.450000,6.500000,6.400000,6.450000,5.876785,456600
2017-04-07,6.450000,6.450000,6.350000,6.400000,5.831229,1065100
2017-04-10,6.400000,6.400000,6.300000,6.300000,5.740116,845800
2017-04-11,6.350000,6.400000,6.300000,6.300000,5.740116,613700
2017-04-12,6.300000,6.350000,6.300000,6.350000,5.785672,654000
2017-04-17,6.300000,6.300000,6.250000,6.250000,5.694559,739300
2017-04-18,6.300000,6.350000,6.250000,6.250000,5.694559,481900
2017-04-19,6.250000,6.350000,6.250000,6.250000,5.694559,1062200
