Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,5.782720,5.825870,5.782720,5.782720,5.333527,562976
2017-01-05,5.782720,5.998490,5.782720,5.955340,5.492738,6702526
2017-01-06,5.998490,6.127960,5.955340,5.955340,5.492738,10138543
2017-01-09,6.084800,6.084800,5.955340,6.084800,5.612142,6066441
2017-01-10,6.084800,6.127960,5.955340,5.955340,5.492738,2771777
2017-01-11,5.955340,6.041650,5.955340,5.955340,5.492738,3024010
2017-01-12,5.998490,6.041650,5.955340,5.955340,5.492738,2837239
2017-01-16,5.912180,5.998490,5.912180,5.955340,5.492738,1308203
2017-01-17,5.955340,6.084800,5.912180,5.955340,5.492738,6583767
2017-01-18,5.955340,5.998490,5.912180,5.912180,5.452931,1254558
2017-01-19,5.955340,6.257420,5.955340,6.257420,5.771353,22691775
2017-01-20,6.214270,6.343730,6.127960,6.300580,5.811161,10168783
2017-01-23,6.343730,6.343730,6.214270,6.257420,5.771353,4018573
2017-01-24,6.300580,6.300580,6.127960,6.127960,5.651950,4790101
2017-01-25,6.171110,6.171110,6.084800,6.084800,5.612142,1961319
2017-01-26,6.127960,6.127960,5.912180,5.998490,5.532537,4653383
2017-01-27,5.955340,6.041650,5.955340,6.041650,5.572343,555676
2017-01-30,6.041650,6.084800,5.955340,5.955340,5.492738,1873727
2017-01-31,5.998490,5.998490,5.912180,5.912180,5.452931,1229532
2017-02-01,5.912180,6.041650,5.912180,5.998490,5.532537,3825083
2017-02-02,6.041650,6.041650,5.955340,5.998490,5.532537,925857
2017-02-03,5.998490,6.171110,5.955340,6.127960,5.651950,1523939
2017-02-06,6.171110,6.645810,6.171110,6.645810,6.129574,47878068
2017-02-07,6.602660,6.775280,6.473190,6.516350,6.010170,34203751
2017-02-08,6.473190,6.688970,6.386880,6.473190,5.970362,27920878
2017-02-09,6.473190,6.602660,6.473190,6.473190,5.970362,7894867
2017-02-10,6.559500,6.559500,6.386880,6.430040,5.930564,5360955
2017-02-14,6.473190,6.516350,6.430040,6.516350,6.010170,2156084
2017-02-15,6.516350,6.645810,6.473190,6.602660,6.089776,9669416
2017-02-16,6.645810,6.688970,6.559500,6.602660,6.089776,9847844
2017-02-17,6.645810,6.645810,6.559500,6.559500,6.049968,2422684
2017-02-20,6.559500,6.602660,6.386880,6.516350,6.010170,6963680
2017-02-21,6.516350,6.516350,6.343730,6.343730,5.850959,3127938
2017-02-22,6.343730,6.430040,6.171110,6.300580,5.811161,5496398
2017-02-23,6.300580,6.300580,6.257420,6.257420,5.771353,883219
2017-02-24,6.257420,6.300580,6.214270,6.214270,5.731555,1159320
2017-02-27,6.300580,6.300580,6.171110,6.257420,5.771353,1081460
2017-02-28,6.257420,6.257420,6.127960,6.171110,5.691748,1726119
2017-03-01,6.084800,6.084800,5.739560,5.739560,5.293720,14438893
2017-03-02,5.696410,5.869030,5.696410,5.869030,5.413133,1466239
2017-03-03,5.825870,5.998490,5.825870,5.998490,5.532537,1585462
2017-03-06,5.998490,6.214270,5.955340,6.171110,5.691748,6164345
2017-03-07,6.171110,6.214270,6.041650,6.041650,5.572343,460437
2017-03-08,6.084800,6.084800,5.998490,6.041650,5.572343,955054
2017-03-09,6.041650,6.171110,6.041650,6.171110,5.691748,580818
2017-03-10,6.127960,6.257420,6.041650,6.041650,5.572343,2604472
2017-03-13,6.041650,6.041650,5.955340,5.998490,5.532537,562049
2017-03-14,5.998490,6.041650,5.955340,6.041650,5.572343,256983
2017-03-15,6.041650,6.084800,5.955340,5.955340,5.492738,264166
2017-03-16,5.955340,6.041650,5.955340,5.998490,5.532537,385011
2017-03-17,5.998490,6.041650,5.955340,5.955340,5.492738,581861
2017-03-20,5.998490,6.041650,5.955340,5.998490,5.532537,72646
2017-03-21,5.998490,6.041650,5.998490,5.998490,5.532537,255013
2017-03-22,5.998490,6.041650,5.955340,5.998490,5.532537,290235
2017-03-23,5.998490,6.041650,5.955340,5.955340,5.492738,620443
2017-03-24,6.041650,6.041650,5.955340,5.955340,5.492738,206699
2017-03-27,5.955340,5.955340,5.912180,5.955340,5.492738,510258
2017-03-28,5.955340,5.955340,5.912180,5.912180,5.452931,344227
2017-03-29,5.912180,5.955340,5.869030,5.869030,5.413133,301822
2017-03-30,5.912180,5.912180,5.869030,5.869030,5.413133,620096
2017-03-31,5.912180,5.998490,5.912180,5.912180,5.452931,238677
2017-04-03,5.998490,6.171110,5.998490,6.084800,5.612142,2287704
2017-04-04,6.084800,6.127960,6.084800,6.084800,5.612142,601558
2017-04-05,6.084800,6.084800,5.998490,6.041650,5.572343,1018431
2017-04-07,5.998490,6.041650,5.955340,5.998490,5.532537,345386
2017-04-10,5.998490,5.998490,5.912180,5.955340,5.492738,253855
2017-04-11,5.912180,5.955340,5.912180,5.955340,5.492738,142163
2017-04-12,5.955340,5.955340,5.912180,5.955340,5.492738,638054
2017-04-17,5.912180,5.912180,5.782720,5.782720,5.333527,3107778
2017-04-18,5.825870,5.869030,5.782720,5.869030,5.413133,2193392
2017-04-19,5.782720,5.825870,5.782720,5.782720,5.333527,1300440
2017-04-20,5.825870,5.955340,5.782720,5.825870,5.373325,2849868
2017-04-21,5.869030,5.869030,5.782720,5.782720,5.333527,256983
2017-04-24,5.782720,5.825870,5.782720,5.825870,5.373325,1735619
2017-04-25,5.782720,5.869030,5.739560,5.739560,5.293720,1789495
2017-04-26,5.782720,5.825870,5.739560,5.782720,5.333527,212260
2017-04-27,5.782720,5.825870,5.782720,5.825870,5.373325,86086
2017-04-28,5.782720,5.782720,5.696410,5.739560,5.293720,1854494
2017-05-02,5.739560,5.782720,5.696410,5.696410,5.253922,1057013
2017-05-03,5.739560,5.739560,5.739560,5.739560,5.293720,255708
2017-05-04,5.782720,5.825870,5.739560,5.782720,5.370958,729122
2017-05-08,5.834510,5.924270,5.834510,5.924270,5.502429,754331
2017-05-09,5.924270,6.014030,5.924270,6.014030,5.585798,977144
2017-05-11,6.014030,6.014030,5.744740,5.834510,5.419061,2946025
2017-05-12,5.789620,5.789620,5.744740,5.789620,5.377367,194292
2017-05-15,5.520340,5.520340,5.520340,5.520340,5.127262,12255
2017-05-16,5.565220,5.699860,5.565220,5.699860,5.293999,960210
2017-05-17,5.744740,5.789620,5.744740,5.744740,5.335683,526506
2017-05-18,5.744740,5.789620,5.699860,5.699860,5.293999,384463
2017-05-19,5.744740,5.789620,5.699860,5.744740,5.335683,740851
2017-05-22,5.699860,5.789620,5.699860,5.789620,5.377367,881669
2017-05-23,5.789620,5.789620,5.744740,5.744740,5.335683,505784
2017-05-24,5.789620,5.879390,5.789620,5.834510,5.419061,633901
2017-05-25,5.834510,6.014030,5.834510,6.014030,5.585798,1876414
2017-05-26,5.969150,6.014030,5.969150,6.014030,5.585798,528177
2017-05-29,6.058910,6.058910,6.014030,6.014030,5.585798,404070
2017-05-30,6.058910,6.058910,5.969150,5.969150,5.544113,222478
2017-05-31,6.014030,6.058910,5.969150,5.969150,5.544113,415879
2017-06-01,5.969150,5.969150,5.924270,5.924270,5.502429,287094
2017-06-02,5.969150,5.969150,5.924270,5.969150,5.544113,338563
2017-06-05,6.014030,6.014030,5.924270,5.924270,5.502429,456320
2017-06-06,5.924270,5.969150,5.924270,5.924270,5.502429,691832
2017-06-07,5.924270,5.969150,5.924270,5.969150,5.544113,373768
2017-06-08,5.969150,5.969150,5.924270,5.969150,5.544113,255789
2017-06-09,5.924270,5.969150,5.924270,5.924270,5.502429,184711
2017-06-12,5.924270,5.924270,5.924270,5.924270,5.502429,220584
2017-06-13,5.924270,6.014030,5.924270,6.014030,5.585798,562601
2017-06-14,5.969150,6.014030,5.969150,6.014030,5.585798,540654
2017-06-15,6.014030,6.148670,6.014030,6.058910,5.627482,2065248
2017-06-16,6.058910,6.373070,6.058910,6.328190,5.877588,6630451
2017-06-19,6.328190,6.328190,6.238430,6.283310,5.835904,3574802
2017-06-20,6.238430,6.462840,6.193550,6.462840,6.002650,3698463
2017-06-21,6.462840,6.462840,6.328190,6.417960,5.960966,681694
2017-06-22,6.417960,6.417960,6.148670,6.148670,5.710851,5067979
2017-06-23,6.193550,6.328190,6.193550,6.283310,5.835904,1412185
2017-06-26,6.328190,6.462840,6.328190,6.417960,5.960966,2411833
2017-06-27,6.417960,6.417960,6.328190,6.417960,5.960966,602262
2017-06-28,6.417960,6.417960,6.283310,6.373070,5.919272,1030284
2017-06-29,6.373070,6.373070,6.328190,6.373070,5.919272,501551
2017-06-30,6.373070,6.417960,6.328190,6.328190,5.877588,699297
2017-07-03,6.373070,6.597480,6.373070,6.597480,6.127703,8973212
2017-07-04,6.642360,6.732120,6.462840,6.462840,6.002650,10885276
2017-07-05,6.462840,6.597480,6.462840,6.462840,6.002650,2903802
2017-07-06,6.462840,6.507720,6.238430,6.283310,5.835904,4641182
2017-07-07,6.238430,6.328190,6.238430,6.283310,5.835904,772936
2017-07-11,6.283310,6.373070,6.283310,6.373070,5.919272,633010
2017-07-12,6.373070,6.462840,6.373070,6.462840,6.002650,726591
2017-07-13,6.417960,6.642360,6.417960,6.507720,6.044334,2904137
2017-07-14,6.552600,6.642360,6.507720,6.642360,6.169387,1107266
2017-07-17,6.687240,6.687240,6.507720,6.507720,6.044334,1419092
2017-07-18,6.552600,6.552600,6.462840,6.462840,6.002650,780066
2017-07-19,6.552600,6.552600,6.462840,6.462840,6.002650,556585
2017-07-20,6.462840,6.507720,6.417960,6.462840,6.002650,2417180
2017-07-21,6.462840,6.507720,6.417960,6.417960,5.960966,620532
2017-07-24,6.373070,6.417960,6.283310,6.283310,5.835904,1905714
2017-07-25,6.328190,6.417960,6.283310,6.283310,5.835904,811371
2017-07-26,6.328190,6.373070,6.283310,6.283310,5.835904,1834971
2017-07-27,6.283310,6.373070,6.283310,6.283310,5.835904,553243
2017-07-31,6.373070,6.462840,6.328190,6.328190,5.877588,1707968
2017-08-01,6.373070,6.462840,6.283310,6.328190,5.877588,884677
2017-08-02,6.328190,6.462840,6.328190,6.328190,5.877588,639694
2017-08-03,6.373070,6.373070,6.328190,6.328190,5.877588,504781
2017-08-04,6.373070,6.417960,6.328190,6.373070,5.919272,232728
2017-08-07,6.373070,6.417960,6.373070,6.373070,5.919272,313720
2017-08-08,6.373070,6.417960,6.328190,6.328190,5.877588,245316
2017-08-09,6.328190,6.328190,6.283310,6.328190,5.877588,1040422
2017-08-10,6.328190,6.328190,6.283310,6.328190,5.877588,421115
2017-08-11,6.328190,6.328190,6.103790,6.193550,5.752535,2600443
2017-08-15,6.103790,6.193550,6.103790,6.148670,5.710851,2785712
2017-08-16,6.103790,6.103790,5.969150,6.014030,5.585798,2797298
2017-08-17,5.969150,6.058910,5.969150,6.014030,5.585798,478044
2017-08-18,6.014030,6.058910,6.014030,6.014030,5.585798,410977
2017-08-21,6.014030,6.014030,6.014030,6.014030,5.585798,491747
2017-08-22,6.014030,6.058910,6.014030,6.058910,5.627482,385465
2017-08-23,6.058910,6.103790,6.014030,6.103790,5.669166,233062
2017-08-24,6.103790,6.103790,6.058910,6.058910,5.627482,96923
2017-08-25,6.058910,6.193550,6.058910,6.103790,5.669166,561264
2017-08-28,6.103790,6.103790,6.103790,6.103790,5.669166,34982
2017-08-29,6.103790,6.193550,6.103790,6.148670,5.710851,346919
2017-08-30,6.148670,6.148670,6.103790,6.103790,5.669166,261248
2017-08-31,6.103790,6.148670,6.103790,6.148670,5.710851,492750
2017-09-01,6.148670,6.148670,6.103790,6.103790,5.669166,194181
2017-09-04,6.148670,6.148670,6.103790,6.103790,5.669166,705758
2017-09-05,6.148670,6.507720,6.148670,6.417960,5.960966,4627033
2017-09-06,6.417960,6.462840,6.373070,6.373070,5.919272,482166
2017-09-07,6.417960,6.507720,6.417960,6.417960,5.960966,2023916
2017-09-08,6.462840,6.507720,6.373070,6.462840,6.002650,2024251
2017-09-11,6.507720,6.507720,6.283310,6.328190,5.877588,4010066
2017-09-12,6.283310,6.328190,6.238430,6.283310,5.835904,1104035
2017-09-13,6.283310,6.373070,6.283310,6.328190,5.877588,530628
2017-09-14,6.328190,6.373070,6.283310,6.328190,5.877588,488071
2017-09-15,6.328190,6.328190,6.238430,6.238430,5.794219,900830
2017-09-18,6.238430,6.328190,6.193550,6.238430,5.794219,2015115
2017-09-19,6.238430,6.283310,6.148670,6.148670,5.710851,1072619
2017-09-20,6.193550,6.283310,6.148670,6.148670,5.710851,1041202
2017-09-21,6.193550,6.238430,6.148670,6.238430,5.794219,689716
2017-09-22,6.193550,6.238430,6.103790,6.193550,5.752535,977701
2017-09-25,6.103790,6.193550,6.103790,6.148670,5.710851,477933
2017-09-26,6.148670,6.283310,6.148670,6.193550,5.752535,560819
2017-09-27,6.193550,6.193550,6.148670,6.148670,5.710851,605938
2017-09-28,6.148670,6.193550,6.148670,6.193550,5.752535,534527
2017-09-29,6.193550,6.373070,6.193550,6.373070,5.919272,1883322
2017-10-02,6.328190,6.552600,6.328190,6.552600,6.086019,5537445
2017-10-03,6.552600,6.732120,6.552600,6.597480,6.127703,7864052
2017-10-04,6.597480,6.642360,6.462840,6.462840,6.002650,4335929
2017-10-05,6.503230,6.597480,6.503230,6.597480,6.156280,1648706
2017-10-06,6.597480,6.644600,6.550350,6.550350,6.112302,241168
2017-10-09,6.597480,6.644600,6.503230,6.503230,6.068333,2755765
2017-10-10,6.503230,6.597480,6.456100,6.550350,6.112302,1222922
2017-10-11,6.550350,6.550350,6.503230,6.503230,6.068333,1477246
2017-10-12,6.503230,6.597480,6.503230,6.550350,6.112302,322547
2017-10-16,6.456100,6.456100,6.456100,6.456100,6.024354,111406
2017-10-17,6.456100,6.503230,6.408980,6.408980,5.980385,978571
2017-10-18,6.408980,6.503230,6.408980,6.503230,6.068333,744724
2017-10-19,6.503230,6.503230,6.408980,6.408980,5.980385,336447
2017-10-20,6.408980,6.456100,6.408980,6.408980,5.980385,334325
2017-10-24,6.456100,6.503230,6.408980,6.456100,6.024354,204139
2017-10-25,6.456100,6.503230,6.408980,6.456100,6.024354,359895
2017-10-27,6.503230,6.691730,6.456100,6.644600,6.200249,2249875
2017-10-30,6.738850,6.927350,6.738850,6.880230,6.420121,8803742
2017-10-31,6.880230,7.021600,6.785980,6.785980,6.332175,7490316
2017-11-01,6.785980,6.880230,6.597480,6.644600,6.200249,2936455
2017-11-02,6.644600,6.691730,6.550350,6.597480,6.156280,2319371
2017-11-03,6.597480,6.691730,6.597480,6.644600,6.200249,1630987
2017-11-06,6.644600,6.738850,6.644600,6.644600,6.200249,1227590
2017-11-07,6.691730,6.691730,6.550350,6.550350,6.112302,862814
2017-11-08,6.550350,6.550350,6.361850,6.408980,5.980385,4599484
2017-11-09,6.408980,6.408980,6.314730,6.361850,5.936408,1993216
2017-11-10,6.361850,6.456100,6.314730,6.361850,5.936408,1124566
2017-11-13,6.314730,6.314730,6.079110,6.126230,5.716544,5293386
2017-11-14,6.126230,6.220480,5.984860,5.984860,5.584628,3259427
2017-11-15,6.173360,6.173360,5.749230,5.796360,5.408734,6809146
2017-11-16,5.890610,5.984860,5.749230,5.796360,5.408734,3112052
2017-11-17,5.843480,5.984860,5.843480,5.984860,5.584628,1232365
2017-11-20,5.984860,5.984860,5.890610,5.937730,5.540650,1101966
2017-11-21,5.937730,5.937730,5.937730,5.937730,5.540650,457614
2017-11-22,5.937730,5.937730,5.890610,5.937730,5.540650,306632
2017-11-23,5.937730,5.937730,5.843480,5.843480,5.452703,399471
2017-11-24,5.796360,5.843480,5.702110,5.749230,5.364756,1182709
2017-11-27,5.749230,5.796360,5.702110,5.702110,5.320787,43183
2017-11-28,5.702110,5.749230,5.654980,5.654980,5.276809,1506742
2017-11-29,5.654980,5.654980,5.607860,5.654980,5.276809,558092
2017-11-30,5.654980,5.702110,5.466480,5.513610,5.144893,2153535
2017-12-01,5.513610,5.560730,5.466480,5.513610,5.144893,245836
2017-12-04,5.513610,5.513610,5.466480,5.513610,5.144893,633318
2017-12-06,5.513610,5.513610,5.419360,5.419360,5.056946,449126
2017-12-07,5.466480,5.466480,5.419360,5.466480,5.100914,569869
2017-12-08,5.466480,5.513610,5.419360,5.419360,5.056946,413688
2017-12-12,5.419360,5.513610,5.419360,5.466480,5.100914,349073
2017-12-13,5.419360,5.419360,5.419360,5.419360,5.056946,118197
2017-12-14,5.419360,5.466480,5.419360,5.466480,5.100914,163926
2017-12-15,5.419360,5.419360,5.419360,5.419360,5.056946,147268
2017-12-18,5.466480,5.607860,5.419360,5.419360,5.056946,3854548
2017-12-19,5.419360,5.419360,5.042360,5.089480,4.749126,4452640
2017-12-20,5.089480,5.089480,4.995230,5.089480,4.749126,1553215
2017-12-21,5.089480,5.089480,5.042360,5.089480,4.749126,844247
2017-12-22,5.089480,5.089480,5.042360,5.042360,4.705157,283714
2017-12-25,5.089480,5.089480,5.042360,5.042360,4.705157,275651
2017-12-26,5.089480,5.136610,5.042360,5.136610,4.793105,949923
2017-12-27,5.136610,5.136610,5.089480,5.089480,4.749126,397349
2017-12-28,5.089480,5.136610,5.089480,5.136610,4.793105,36287
2017-12-29,5.089480,5.183730,5.089480,5.183730,4.837073,141433
2018-01-03,5.089480,5.183730,5.042360,5.136610,4.793105,89337
2018-01-04,5.136610,5.136610,5.089480,5.136610,4.793105,97613
