Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,4.480000,4.520000,4.440000,4.460000,4.297352,7406500
2017-01-05,4.440000,4.480000,4.420000,4.460000,4.297352,6688000
2017-01-06,4.480000,4.480000,4.420000,4.440000,4.278081,8136500
2017-01-09,4.440000,4.440000,4.400000,4.420000,4.258811,9342300
2017-01-10,4.420000,4.480000,4.400000,4.400000,4.239541,13470700
2017-01-11,4.440000,4.480000,4.420000,4.480000,4.316623,8781100
2017-01-12,4.480000,4.500000,4.440000,4.480000,4.316623,6441500
2017-01-16,4.520000,4.520000,4.460000,4.460000,4.297352,5314200
2017-01-17,4.460000,4.480000,4.440000,4.440000,4.278081,2680400
2017-01-18,4.440000,4.460000,4.420000,4.440000,4.278081,4957100
2017-01-19,4.440000,4.460000,4.400000,4.420000,4.258811,4462700
2017-01-20,4.420000,4.480000,4.400000,4.460000,4.297352,6101700
2017-01-23,4.500000,4.560000,4.480000,4.540000,4.374434,17903600
2017-01-24,4.560000,4.600000,4.520000,4.560000,4.393706,13673100
2017-01-25,4.580000,4.580000,4.520000,4.560000,4.393706,5524200
2017-01-26,4.580000,4.580000,4.520000,4.520000,4.355164,6604400
2017-01-27,4.520000,4.540000,4.460000,4.500000,4.335893,2304800
2017-01-30,4.460000,4.460000,4.400000,4.400000,4.239541,16428800
2017-01-31,4.400000,4.460000,4.400000,4.440000,4.278081,6440100
2017-02-01,4.420000,4.460000,4.400000,4.420000,4.258811,7212100
2017-02-02,4.440000,4.480000,4.400000,4.420000,4.258811,7179700
2017-02-03,4.420000,4.500000,4.420000,4.500000,4.335893,12335100
2017-02-06,4.520000,4.520000,4.480000,4.500000,4.335893,3965000
2017-02-07,4.500000,4.520000,4.460000,4.480000,4.316623,3587800
2017-02-08,4.500000,4.520000,4.480000,4.480000,4.316623,6138200
2017-02-09,4.500000,4.500000,4.420000,4.460000,4.297352,8713800
2017-02-10,4.480000,4.500000,4.460000,4.460000,4.297352,1756600
2017-02-14,4.460000,4.480000,4.440000,4.460000,4.297352,1925600
2017-02-15,4.460000,4.480000,4.420000,4.460000,4.297352,2328800
2017-02-16,4.460000,4.460000,4.420000,4.420000,4.258811,2665800
2017-02-17,4.440000,4.440000,4.400000,4.440000,4.278081,2734600
2017-02-20,4.440000,4.460000,4.400000,4.400000,4.239541,2982200
2017-02-21,4.420000,4.440000,4.400000,4.440000,4.278081,5480300
2017-02-22,4.480000,4.520000,4.460000,4.500000,4.335893,8451600
2017-02-23,4.500000,4.500000,4.420000,4.420000,4.258811,5932700
2017-02-24,4.440000,4.460000,4.420000,4.440000,4.278081,6681500
2017-02-27,4.440000,4.620000,4.400000,4.620000,4.451517,22035700
2017-02-28,4.660000,4.660000,4.600000,4.640000,4.470788,8753100
2017-03-01,4.640000,4.640000,4.600000,4.620000,4.451517,3343500
2017-03-02,4.620000,4.660000,4.580000,4.620000,4.451517,8289100
2017-03-03,4.580000,4.580000,4.540000,4.580000,4.471041,3171900
2017-03-06,4.560000,4.580000,4.500000,4.540000,4.431993,3750600
2017-03-07,4.520000,4.520000,4.460000,4.480000,4.373421,4647600
2017-03-08,4.500000,4.500000,4.400000,4.480000,4.373421,6222900
2017-03-09,4.480000,4.560000,4.460000,4.480000,4.373421,6425200
2017-03-10,4.520000,4.540000,4.460000,4.460000,4.353897,3910600
2017-03-13,4.460000,4.460000,4.420000,4.440000,4.334372,4178900
2017-03-14,4.440000,4.500000,4.420000,4.460000,4.353897,5191300
2017-03-15,4.440000,4.480000,4.420000,4.480000,4.373421,3871500
2017-03-16,4.480000,4.540000,4.460000,4.540000,4.431993,5547100
2017-03-17,4.540000,4.540000,4.460000,4.500000,4.392944,3642800
2017-03-20,4.520000,4.520000,4.480000,4.500000,4.392944,1156800
2017-03-21,4.520000,4.520000,4.460000,4.500000,4.392944,839800
2017-03-22,4.480000,4.520000,4.480000,4.500000,4.392944,1852600
2017-03-23,4.500000,4.520000,4.460000,4.460000,4.353897,6202700
2017-03-24,4.460000,4.480000,4.460000,4.460000,4.353897,1779100
2017-03-27,4.500000,4.500000,4.480000,4.500000,4.392944,4041800
2017-03-28,4.520000,4.560000,4.500000,4.540000,4.431993,5969000
2017-03-29,4.560000,4.560000,4.500000,4.500000,4.392944,2680700
2017-03-30,4.500000,4.620000,4.500000,4.620000,4.510090,10314600
2017-03-31,4.640000,4.640000,4.560000,4.560000,4.451518,10923500
2017-04-03,4.600000,4.640000,4.580000,4.620000,4.510090,10259900
2017-04-04,4.620000,4.760000,4.600000,4.760000,4.646760,15580300
2017-04-05,4.800000,4.880000,4.740000,4.780000,4.666284,16726800
2017-04-07,4.700000,4.760000,4.680000,4.700000,4.588187,4888400
2017-04-10,4.700000,4.700000,4.600000,4.620000,4.510090,3434700
2017-04-11,4.640000,4.900000,4.640000,4.860000,4.744380,28683900
2017-04-12,4.860000,4.880000,4.800000,4.840000,4.724856,6967400
2017-04-17,4.840000,4.900000,4.760000,4.860000,4.744380,9969800
2017-04-18,4.900000,4.940000,4.840000,4.840000,4.724856,10511600
2017-04-19,4.800000,4.880000,4.800000,4.820000,4.705332,6865300
2017-04-20,4.820000,4.860000,4.800000,4.820000,4.705332,3710500
2017-04-21,4.820000,4.840000,4.760000,4.820000,4.705332,3779400
2017-04-24,4.820000,4.820000,4.760000,4.780000,4.666284,1588300
2017-04-25,4.800000,4.800000,4.640000,4.700000,4.588187,4313500
2017-04-26,4.720000,4.900000,4.720000,4.900000,4.783429,8546400
2017-04-27,4.860000,4.880000,4.840000,4.860000,4.744380,1925000
2017-04-28,4.880000,4.880000,4.760000,4.820000,4.705332,2730000
2017-05-02,4.820000,4.820000,4.760000,4.760000,4.646760,2163100
2017-05-03,4.760000,4.760000,4.680000,4.720000,4.607711,4897200
2017-05-04,4.760000,4.780000,4.700000,4.720000,4.607711,3163300
2017-05-08,4.700000,4.760000,4.700000,4.740000,4.627235,1827400
2017-05-09,4.760000,4.760000,4.660000,4.660000,4.549139,5625800
