Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,5.100000,5.100000,5.050000,5.100000,4.223377,91300
2017-01-05,5.150000,5.150000,5.000000,5.000000,4.140565,170800
2017-01-06,5.050000,5.600000,5.050000,5.250000,4.347594,2053700
2017-01-09,5.450000,5.750000,5.250000,5.350000,4.430406,1803600
2017-01-10,5.500000,5.500000,5.350000,5.450000,4.513216,272800
2017-01-11,5.450000,5.500000,5.300000,5.350000,4.430406,271800
2017-01-12,5.450000,5.450000,5.350000,5.350000,4.430406,253500
2017-01-16,5.450000,5.550000,5.450000,5.450000,4.513216,287700
2017-01-17,5.400000,5.500000,5.350000,5.500000,4.554622,195500
2017-01-18,5.400000,5.500000,5.400000,5.500000,4.554622,164800
2017-01-19,5.450000,5.600000,5.400000,5.550000,4.596028,539400
2017-01-20,5.500000,6.050000,5.500000,5.850000,4.844462,5355600
2017-01-23,6.000000,6.000000,5.750000,5.750000,4.761651,1566600
2017-01-24,5.750000,5.800000,5.700000,5.700000,4.720244,203700
2017-01-25,5.750000,5.850000,5.700000,5.800000,4.803057,332200
2017-01-26,5.800000,6.450000,5.800000,6.150000,5.092896,11224500
2017-01-27,6.200000,6.300000,5.850000,6.100000,5.051490,2651600
2017-01-30,6.100000,6.150000,5.900000,5.900000,4.885868,882800
2017-01-31,5.950000,6.250000,5.800000,6.250000,5.175707,2354600
2017-02-01,6.250000,6.450000,6.100000,6.100000,5.051490,3519800
2017-02-02,6.100000,6.150000,6.050000,6.050000,5.010085,168700
2017-02-03,6.100000,6.100000,5.950000,5.950000,4.927273,320300
2017-02-06,5.950000,6.050000,5.950000,6.050000,5.010085,203500
2017-02-07,6.050000,6.050000,5.900000,5.900000,4.885868,207300
2017-02-08,5.900000,5.900000,5.800000,5.850000,4.844462,483300
2017-02-09,5.800000,5.950000,5.800000,5.900000,4.885868,119100
2017-02-10,5.850000,5.900000,5.800000,5.800000,4.803057,288800
2017-02-14,5.900000,5.900000,5.750000,5.750000,4.761651,440900
2017-02-15,5.750000,5.800000,5.650000,5.700000,4.720244,349900
2017-02-16,5.700000,5.950000,5.700000,5.750000,4.761651,90400
2017-02-17,5.800000,5.950000,5.800000,5.950000,4.927273,149600
2017-02-20,5.850000,6.000000,5.850000,6.000000,4.968679,322100
2017-02-21,6.000000,6.050000,5.850000,6.000000,4.968679,342600
2017-02-22,6.000000,6.000000,5.750000,5.900000,4.885868,319200
2017-02-23,5.800000,5.950000,5.700000,5.900000,4.885868,150800
2017-02-24,5.850000,5.850000,5.600000,5.700000,4.720244,546300
2017-02-27,5.600000,5.700000,5.550000,5.650000,4.678839,264800
2017-02-28,5.700000,5.750000,5.600000,5.600000,4.637434,135200
2017-03-01,5.550000,5.700000,5.500000,5.700000,4.720244,110200
2017-03-02,5.700000,5.800000,5.650000,5.800000,4.803057,138700
