Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,6.500000,6.550000,6.450000,6.500000,5.785102,535300
2017-01-05,6.500000,6.500000,6.500000,6.500000,5.785102,358000
2017-01-06,6.600000,6.600000,6.500000,6.500000,5.785102,397900
2017-01-09,6.500000,6.700000,6.500000,6.650000,5.918604,900800
2017-01-10,6.650000,6.800000,6.650000,6.750000,6.007606,1150200
2017-01-11,6.750000,8.450000,6.750000,7.550000,6.719618,43529600
2017-01-12,7.650000,7.700000,7.400000,7.450000,6.630617,12331900
2017-01-16,7.600000,7.900000,7.500000,7.850000,6.986622,12329200
2017-01-17,7.850000,8.000000,7.550000,7.550000,6.719618,7091600
2017-01-18,7.550000,7.650000,7.400000,7.450000,6.630617,1562600
2017-01-19,7.450000,7.500000,7.250000,7.300000,6.497114,1775400
2017-01-20,7.300000,7.650000,7.250000,7.600000,6.764119,2514500
2017-01-23,7.750000,7.750000,7.600000,7.700000,6.853120,1770700
2017-01-24,7.700000,7.700000,7.550000,7.550000,6.719618,1518500
2017-01-25,7.600000,7.700000,7.450000,7.450000,6.630617,1811900
2017-01-26,7.450000,7.600000,7.400000,7.550000,6.719618,1759500
2017-01-27,7.650000,7.650000,7.500000,7.600000,6.764119,786100
2017-01-30,7.650000,7.950000,7.650000,7.650000,6.808620,10848300
2017-01-31,7.600000,7.700000,7.500000,7.600000,6.764119,1916600
2017-02-01,7.600000,7.850000,7.500000,7.600000,6.764119,3059000
2017-02-02,7.550000,7.650000,7.350000,7.450000,6.630617,2193300
2017-02-03,7.500000,7.550000,7.400000,7.450000,6.630617,931100
2017-02-06,7.500000,7.700000,7.450000,7.600000,6.764119,3089700
2017-02-07,7.700000,7.750000,7.550000,7.550000,6.719618,1650000
2017-02-08,7.600000,7.650000,7.550000,7.600000,6.764119,639100
2017-02-09,7.700000,8.000000,7.700000,8.000000,7.120125,9410200
2017-02-10,7.950000,8.000000,7.850000,7.950000,7.075624,7497900
2017-02-14,8.000000,8.200000,8.000000,8.100000,7.209127,11063800
2017-02-15,8.150000,8.150000,7.800000,7.900000,7.031124,4900700
2017-02-16,7.950000,8.000000,7.850000,8.000000,7.120125,1312600
2017-02-17,8.000000,8.000000,7.900000,8.000000,7.120125,1015300
2017-02-20,8.000000,8.100000,7.900000,7.950000,7.075624,4789500
2017-02-21,8.000000,8.000000,7.650000,7.650000,6.808620,3919700
2017-02-22,7.650000,7.700000,7.600000,7.650000,6.808620,1072500
2017-02-23,7.750000,7.750000,7.600000,7.650000,6.808620,2330100
2017-02-24,7.650000,7.750000,7.600000,7.600000,6.764119,1359100
2017-02-27,7.600000,7.600000,7.350000,7.450000,6.630617,1935900
2017-02-28,7.400000,7.500000,7.400000,7.450000,6.630617,707000
2017-03-01,7.500000,7.650000,7.450000,7.550000,6.719618,904900
2017-03-02,7.650000,7.650000,7.550000,7.600000,6.764119,436100
2017-03-03,7.600000,7.650000,7.600000,7.600000,6.764119,641800
2017-03-06,7.600000,7.600000,7.500000,7.500000,6.675117,2090500
2017-03-07,7.300000,7.350000,7.250000,7.250000,6.656754,866200
2017-03-08,7.250000,7.250000,6.900000,7.150000,6.564937,1565400
2017-03-09,7.100000,7.150000,7.050000,7.050000,6.473120,173200
2017-03-10,7.150000,7.150000,7.000000,7.000000,6.427211,477600
2017-03-13,7.000000,7.050000,6.500000,6.600000,6.059942,3376300
2017-03-14,6.550000,6.850000,6.550000,6.850000,6.289485,1958400
2017-03-15,6.850000,6.850000,6.700000,6.700000,6.151759,677200
2017-03-16,6.750000,6.900000,6.750000,6.800000,6.243577,619500
2017-03-17,6.850000,6.900000,6.750000,6.800000,6.243577,787800
2017-03-20,6.800000,6.850000,6.800000,6.850000,6.289485,344800
2017-03-21,6.800000,6.900000,6.800000,6.900000,6.335393,534300
2017-03-22,6.800000,6.900000,6.800000,6.800000,6.243577,238200
2017-03-23,6.800000,6.900000,6.800000,6.800000,6.243577,271500
2017-03-24,6.800000,6.850000,6.700000,6.700000,6.151759,427200
2017-03-27,6.750000,6.750000,6.600000,6.650000,6.105850,981000
2017-03-28,6.700000,6.800000,6.600000,6.700000,6.151759,884100
2017-03-29,6.700000,6.900000,6.700000,6.850000,6.289485,1637900
2017-03-30,6.900000,6.900000,6.800000,6.800000,6.243577,668200
2017-03-31,6.800000,6.850000,6.800000,6.800000,6.243577,497900
2017-04-03,6.850000,6.900000,6.800000,6.850000,6.289485,220300
2017-04-04,6.900000,6.950000,6.900000,6.900000,6.335393,607300
2017-04-05,6.950000,7.150000,6.950000,7.050000,6.473120,1494800
2017-04-07,7.050000,7.250000,7.050000,7.250000,6.656754,1346000
2017-04-10,7.300000,7.350000,7.150000,7.250000,6.656754,1398700
2017-04-11,7.300000,7.300000,7.200000,7.250000,6.656754,1057500
2017-04-12,7.250000,7.300000,7.150000,7.250000,6.656754,840600
2017-04-17,7.350000,7.350000,7.150000,7.150000,6.564937,1257500
2017-04-18,7.200000,7.250000,7.150000,7.150000,6.564937,634700
2017-04-19,7.100000,7.150000,7.100000,7.100000,6.519028,416600
2017-04-20,7.200000,7.200000,7.150000,7.200000,6.610845,293400
2017-04-21,7.200000,7.250000,7.150000,7.150000,6.564937,463400
2017-04-24,7.150000,7.150000,7.100000,7.150000,6.564937,949300
2017-04-25,7.200000,7.200000,7.000000,7.100000,6.519028,1081100
2017-04-26,7.150000,7.150000,7.050000,7.100000,6.519028,627500
2017-04-27,7.100000,7.150000,7.000000,7.050000,6.473120,830700
2017-04-28,7.050000,7.150000,7.050000,7.050000,6.473120,501500
2017-05-02,7.050000,7.100000,7.000000,7.100000,6.519028,881700
2017-05-03,7.150000,7.150000,7.150000,7.150000,6.564937,296200
2017-05-04,7.200000,7.300000,7.150000,7.300000,6.702662,959600
2017-05-08,7.350000,7.450000,7.300000,7.300000,6.702662,658600
2017-05-09,7.300000,7.300000,7.150000,7.150000,6.564937,699200
2017-05-11,7.150000,7.300000,7.050000,7.050000,6.473120,720400
2017-05-12,6.950000,7.100000,6.950000,7.000000,6.427211,404100
2017-05-15,7.050000,7.050000,7.050000,7.050000,6.473120,67400
2017-05-16,7.050000,7.150000,7.050000,7.100000,6.519028,311300
2017-05-17,7.150000,7.200000,7.100000,7.150000,6.564937,689600
2017-05-18,7.150000,7.350000,7.150000,7.350000,6.748571,1227400
2017-05-19,7.450000,7.600000,7.450000,7.500000,6.886297,4558000
2017-05-22,7.600000,7.700000,7.450000,7.500000,6.886297,1431300
2017-05-23,7.500000,7.900000,7.500000,7.800000,7.161749,9895500
2017-05-24,7.750000,7.900000,7.750000,7.850000,7.207657,1440300
2017-05-25,7.850000,7.950000,7.700000,7.700000,7.069932,2106500
2017-05-26,7.700000,7.750000,7.550000,7.550000,6.932206,1107400
2017-05-29,7.600000,7.600000,7.500000,7.500000,6.886297,535800
