Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,3.660000,3.820000,3.100000,3.160000,3.009045,341153000
2017-12-04,3.240000,3.400000,3.220000,3.340000,3.180446,59186700
2017-12-06,3.400000,3.620000,3.400000,3.520000,3.351847,68509200
2017-12-07,3.580000,3.620000,3.460000,3.460000,3.294713,25135900
2017-12-08,3.440000,3.480000,3.340000,3.340000,3.180446,11689300
2017-12-12,3.360000,3.420000,3.260000,3.260000,3.104268,7102100
2017-12-13,3.280000,3.360000,3.220000,3.220000,3.066178,6461000
2017-12-14,3.220000,3.300000,3.140000,3.140000,2.990000,5137900
2017-12-15,3.160000,3.240000,3.140000,3.180000,3.028089,3545600
2017-12-18,3.180000,3.200000,3.140000,3.160000,3.009045,958900
2017-12-19,3.160000,3.160000,3.060000,3.080000,2.932866,2709800
2017-12-20,3.060000,3.080000,3.000000,3.060000,2.913822,3048200
2017-12-21,3.060000,3.080000,3.040000,3.040000,2.894777,747400
2017-12-22,3.060000,3.100000,3.000000,3.000000,2.856688,1360400
2017-12-25,3.000000,3.020000,2.800000,2.800000,2.666242,7394400
2017-12-26,2.860000,3.020000,2.860000,3.020000,2.875732,15740600
2017-12-27,2.980000,3.000000,2.920000,2.940000,2.799554,3546500
2017-12-28,2.940000,2.960000,2.880000,2.880000,2.742420,2338100
2017-12-29,2.900000,2.920000,2.880000,2.880000,2.742420,2311900
2018-01-03,2.920000,2.940000,2.880000,2.900000,2.761465,1228000
2018-01-04,2.940000,2.940000,2.840000,2.840000,2.704331,1517900
2018-01-05,2.840000,2.880000,2.820000,2.840000,2.704331,1190500
2018-01-08,2.860000,2.880000,2.740000,2.740000,2.609108,2212300
2018-01-09,2.680000,2.680000,2.680000,2.680000,2.551975,51200
2018-01-10,2.680000,2.700000,2.640000,2.640000,2.513885,1258000
2018-01-11,2.640000,2.720000,2.640000,2.680000,2.551975,1168800
2018-01-12,2.680000,2.760000,2.680000,2.700000,2.571019,1147000
2018-01-15,2.740000,2.740000,2.660000,2.660000,2.532930,888200
2018-01-16,2.660000,2.880000,2.660000,2.800000,2.666242,8140100
2018-01-17,2.800000,2.800000,2.740000,2.760000,2.628153,1608500
2018-01-18,2.760000,2.780000,2.660000,2.660000,2.532930,1427700
2018-01-19,2.680000,2.740000,2.660000,2.740000,2.609108,1543200
2018-01-22,2.800000,3.200000,2.800000,2.980000,2.837643,23961200
2018-01-23,3.020000,3.080000,2.920000,3.020000,2.875732,10165000
2018-01-24,3.040000,3.180000,3.020000,3.100000,2.951911,19516200
2018-01-25,3.080000,3.100000,2.960000,2.980000,2.837643,5366600
2018-01-26,3.040000,3.280000,2.960000,3.100000,2.951911,26585300
2018-01-29,3.160000,3.240000,3.120000,3.240000,3.085223,12604000
2018-01-30,3.240000,3.280000,3.180000,3.200000,3.047134,10235900
2018-01-31,3.200000,3.260000,3.200000,3.220000,3.066178,5597500
2018-02-01,3.220000,3.360000,3.220000,3.280000,3.123312,15558400
2018-02-02,3.320000,3.420000,3.300000,3.360000,3.199490,29932200
2018-02-05,3.240000,3.320000,3.240000,3.240000,3.085223,6587100
2018-02-06,3.160000,3.240000,3.080000,3.160000,3.009045,7180800
2018-02-07,3.220000,3.240000,3.160000,3.180000,3.028089,3641900
2018-02-08,3.240000,3.400000,3.240000,3.380000,3.218535,12546900
2018-02-09,3.300000,3.360000,3.280000,3.340000,3.180446,5024000
2018-02-12,3.340000,3.560000,3.340000,3.500000,3.332803,17532500
2018-02-13,3.480000,3.520000,3.440000,3.500000,3.332803,5742800
2018-02-14,3.560000,3.760000,3.340000,3.360000,3.199490,54979200
2018-02-15,3.360000,3.400000,3.340000,3.360000,3.199490,3128000
2018-02-16,3.400000,3.480000,3.380000,3.420000,3.256624,4119400
2018-02-19,3.420000,3.440000,3.340000,3.340000,3.180446,1624200
2018-02-20,3.360000,3.360000,3.220000,3.240000,3.085223,4422100
2018-02-21,3.220000,3.340000,3.200000,3.220000,3.066178,4120400
2018-02-22,3.220000,3.280000,3.200000,3.200000,3.047134,1468600
2018-02-23,3.200000,3.240000,3.140000,3.240000,3.085223,3423500
2018-02-26,3.300000,3.300000,3.180000,3.220000,3.066178,3521600
2018-02-27,3.180000,3.220000,3.180000,3.200000,3.047134,1181100
2018-02-28,3.200000,3.260000,3.180000,3.240000,3.085223,2056300
2018-03-02,3.220000,3.220000,3.160000,3.200000,3.047134,2490800
2018-03-05,3.200000,3.240000,3.180000,3.180000,3.028089,1974600
2018-03-06,3.140000,3.140000,3.140000,3.140000,2.990000,168500
2018-03-07,3.140000,3.180000,3.140000,3.140000,2.990000,511200
2018-03-08,3.160000,3.160000,3.000000,3.060000,2.913822,1140000
2018-03-09,3.060000,3.120000,3.040000,3.120000,2.970955,896200
2018-03-12,3.120000,3.300000,3.120000,3.180000,3.028089,3990100
2018-03-13,3.200000,3.240000,3.160000,3.220000,3.066178,981700
2018-03-14,3.200000,3.240000,3.200000,3.220000,3.066178,490800
2018-03-15,3.240000,3.380000,3.240000,3.360000,3.199490,4905900
2018-03-16,3.380000,3.420000,3.340000,3.380000,3.218535,2525500
2018-03-19,3.380000,3.400000,3.320000,3.340000,3.180446,1599000
2018-03-20,3.340000,3.360000,3.320000,3.320000,3.161401,517000
2018-03-21,3.320000,3.460000,3.220000,3.300000,3.142357,6839500
2018-03-22,3.340000,3.340000,3.280000,3.300000,3.142357,997500
2018-03-23,3.280000,3.380000,3.240000,3.320000,3.161401,1089500
2018-03-26,3.360000,3.460000,3.320000,3.440000,3.275669,6798600
2018-03-27,3.440000,3.520000,3.380000,3.380000,3.218535,11837300
2018-03-28,3.380000,3.380000,3.280000,3.280000,3.123312,3565000
2018-03-29,3.300000,3.340000,3.240000,3.280000,3.123312,1647000
2018-03-30,3.300000,3.340000,3.240000,3.260000,3.104268,660000
2018-04-02,3.260000,3.260000,3.240000,3.240000,3.085223,403800
2018-04-03,3.240000,3.240000,3.140000,3.160000,3.009045,1158300
2018-04-04,3.180000,3.180000,2.920000,3.000000,2.856688,2776700
2018-04-05,3.000000,3.020000,2.860000,3.000000,2.856688,1886500
2018-04-09,3.000000,3.060000,3.000000,3.060000,2.913822,277800
2018-04-10,3.100000,3.100000,3.020000,3.040000,2.894777,179100
2018-04-11,3.060000,3.100000,3.060000,3.100000,2.951911,156200
2018-04-12,3.100000,3.120000,3.080000,3.120000,2.970955,202700
2018-04-17,3.100000,3.120000,3.000000,3.020000,2.875732,1073600
2018-04-18,3.060000,3.080000,3.060000,3.080000,2.932866,296600
2018-04-19,3.080000,3.100000,3.080000,3.100000,2.951911,436900
2018-04-20,3.100000,3.100000,3.040000,3.040000,2.894777,110700
2018-04-23,3.020000,3.040000,3.000000,3.040000,2.894777,841000
2018-04-24,3.060000,3.060000,3.020000,3.040000,2.894777,325100
2018-04-25,3.020000,3.040000,3.020000,3.040000,2.894777,180300
2018-04-26,3.020000,3.040000,3.000000,3.000000,2.856688,335600
