Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,4.885710,4.971430,4.800000,4.842860,4.718870,18016833
2017-01-05,4.842860,4.928570,4.800000,4.842860,4.718870,12247550
2017-01-06,4.885710,4.885710,4.800000,4.800000,4.677108,11793833
2017-01-09,4.842860,4.928570,4.842860,4.885710,4.760623,13227083
2017-01-10,4.885710,5.314290,4.885710,5.314290,5.178231,147211867
2017-01-11,5.485710,5.614290,5.185710,5.185710,5.052942,225578850
2017-01-12,5.228570,5.357140,5.014290,5.228570,5.094705,106667633
2017-01-16,5.314290,5.485710,5.314290,5.357140,5.219984,44274767
2017-01-17,5.357140,5.400000,5.228570,5.228570,5.094705,23744000
2017-01-18,5.314290,5.485710,5.271430,5.485710,5.345262,52729017
2017-01-19,5.528570,5.657140,5.314290,5.357140,5.219984,130303600
2017-01-20,5.357140,5.485710,5.314290,5.400000,5.261746,32042033
2017-01-23,5.357140,5.357140,5.014290,5.057140,4.927664,140503300
2017-01-24,5.100000,5.142860,4.928570,4.971430,4.844148,59436533
2017-01-25,4.971430,5.057140,4.928570,5.014290,4.885911,22429633
2017-01-26,5.014290,5.057140,4.757140,4.800000,4.677108,48639500
2017-01-27,4.757140,4.885710,4.757140,4.800000,4.677108,10782100
2017-01-30,4.800000,4.885710,4.800000,4.842860,4.718870,7715283
2017-01-31,4.800000,4.842860,4.542860,4.585710,4.468304,53539033
2017-02-01,4.585710,4.842860,4.585710,4.757140,4.635345,42151433
2017-02-02,4.800000,4.885710,4.757140,4.757140,4.635345,23816217
2017-02-03,4.800000,4.928570,4.757140,4.757140,4.635345,29317283
2017-02-06,4.757140,4.800000,4.542860,4.628570,4.510067,20253683
2017-02-07,4.628570,4.671430,4.542860,4.628570,4.510067,8667283
2017-02-08,4.671430,4.671430,4.585710,4.628570,4.510067,4650450
2017-02-09,4.671430,4.671430,4.585710,4.671430,4.551830,13382717
2017-02-10,4.800000,4.800000,4.628570,4.628570,4.510067,29997683
2017-02-14,4.628570,4.671430,4.457140,4.542860,4.426551,18010067
2017-02-15,4.542860,4.585710,4.328570,4.457140,4.343026,28607250
2017-02-16,4.500000,4.500000,4.371430,4.414290,4.301273,9301600
2017-02-17,4.414290,4.500000,4.414290,4.414290,4.301273,5687383
2017-02-20,4.414290,4.457140,4.371430,4.371430,4.259510,6720700
2017-02-21,4.414290,4.414290,4.328570,4.371430,4.259510,4103867
2017-02-22,4.371430,4.414290,4.328570,4.414290,4.301273,4183083
2017-02-23,4.371430,4.414290,4.328570,4.371430,4.259510,4832333
2017-02-24,4.414290,4.414290,4.251430,4.268570,4.159284,15585617
2017-02-27,4.268570,4.328570,4.268570,4.328570,4.217747,3808700
2017-02-28,4.328570,4.371430,4.285710,4.371430,4.259510,7787733
2017-03-01,4.371430,4.457140,4.328570,4.414290,4.301273,8337117
2017-03-02,4.457140,4.457140,4.371430,4.414290,4.301273,5577017
2017-03-03,4.414290,4.414290,4.285710,4.328570,4.217747,10782333
2017-03-06,4.371430,4.371430,4.268570,4.285710,4.175985,12960150
2017-03-07,4.285710,4.328570,4.268570,4.268570,4.159284,3490667
2017-03-08,4.285710,4.328570,4.217140,4.251430,4.142582,6214017
2017-03-09,4.268570,4.285710,4.251430,4.251430,4.142582,2589417
2017-03-10,4.268570,4.268570,4.251430,4.251430,4.142582,4020683
