Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,10.000000,10.100000,10.000000,10.100000,9.356824,586000
2017-01-05,10.100000,10.100000,10.000000,10.000000,9.264182,721600
2017-01-06,10.000000,10.000000,10.000000,10.000000,9.264182,140500
2017-01-09,10.000000,10.000000,10.000000,10.000000,9.264182,19300
2017-01-10,10.000000,10.000000,9.950000,10.000000,9.264182,54100
2017-01-11,9.950000,10.000000,9.950000,10.000000,9.264182,267900
2017-01-12,9.950000,10.000000,9.950000,10.000000,9.264182,1175400
2017-01-16,10.000000,10.000000,10.000000,10.000000,9.264182,6200
2017-01-17,10.000000,10.000000,10.000000,10.000000,9.264182,23600
2017-01-18,9.950000,10.000000,9.950000,10.000000,9.264182,13400
2017-01-19,10.000000,10.000000,10.000000,10.000000,9.264182,36900
2017-01-20,9.950000,10.000000,9.950000,10.000000,9.264182,134000
2017-01-23,10.000000,10.000000,9.950000,10.000000,9.264182,325200
2017-01-24,9.950000,10.000000,9.950000,10.000000,9.264182,262200
2017-01-25,9.950000,10.000000,9.950000,10.000000,9.264182,142400
2017-01-26,9.950000,10.000000,9.950000,9.950000,9.217861,172300
2017-01-27,9.950000,9.950000,9.950000,9.950000,9.217861,24700
2017-01-30,9.950000,10.000000,9.950000,10.000000,9.264182,107100
2017-01-31,9.950000,10.000000,9.950000,10.000000,9.264182,52400
2017-02-01,9.950000,9.950000,9.850000,9.950000,9.217861,709900
2017-02-02,9.900000,10.000000,9.900000,10.000000,9.264182,313100
2017-02-03,9.950000,10.000000,9.950000,10.000000,9.264182,41700
2017-02-06,10.000000,10.000000,9.950000,9.950000,9.217861,38800
2017-02-07,9.950000,9.950000,9.950000,9.950000,9.217861,38600
2017-02-08,10.000000,10.000000,9.850000,9.850000,9.125219,450400
2017-02-09,9.850000,9.950000,9.850000,9.950000,9.217861,9100
2017-02-10,9.950000,9.950000,9.950000,9.950000,9.217861,22100
2017-02-14,9.950000,9.950000,9.950000,9.950000,9.217861,65400
2017-02-15,9.950000,9.950000,9.900000,9.900000,9.171540,280000
2017-02-16,9.950000,9.950000,9.900000,9.950000,9.217861,2600
2017-02-17,9.950000,9.950000,9.900000,9.950000,9.217861,13100
2017-02-20,9.950000,9.950000,9.950000,9.950000,9.217861,7300
2017-02-21,9.900000,9.900000,9.900000,9.900000,9.171540,5000
2017-02-22,9.900000,9.950000,9.900000,9.950000,9.217861,40600
2017-02-23,9.900000,9.950000,9.900000,9.950000,9.217861,149500
2017-02-24,9.900000,9.900000,9.850000,9.850000,9.125219,87200
2017-02-27,9.850000,9.900000,9.800000,9.850000,9.125219,407500
2017-02-28,9.850000,10.000000,9.850000,10.000000,9.264182,848000
2017-03-01,9.950000,9.950000,9.900000,9.900000,9.171540,90700
2017-03-02,9.900000,9.900000,9.900000,9.900000,9.171540,16500
2017-03-03,9.950000,9.950000,9.900000,9.900000,9.171540,20100
2017-03-06,9.950000,9.950000,9.900000,9.950000,9.217861,226100
2017-03-07,9.950000,9.950000,9.900000,9.900000,9.171540,29600
2017-03-08,9.950000,9.950000,9.950000,9.950000,9.217861,10000
2017-03-09,9.950000,9.950000,9.850000,9.850000,9.125219,41300
2017-03-10,9.950000,9.950000,9.950000,9.950000,9.217861,10200
2017-03-13,9.950000,9.950000,9.900000,9.950000,9.217861,110600
2017-03-14,9.950000,9.950000,9.900000,9.900000,9.171540,98000
2017-03-15,9.900000,9.900000,9.900000,9.900000,9.171540,55300
2017-03-16,9.900000,9.900000,9.900000,9.900000,9.171540,16700
2017-03-17,9.900000,9.900000,9.800000,9.850000,9.125219,163000
2017-03-20,9.800000,9.850000,9.800000,9.850000,9.125219,49000
2017-03-21,9.850000,9.850000,9.850000,9.850000,9.125219,46700
2017-03-22,9.850000,9.850000,9.800000,9.850000,9.125219,239300
2017-03-23,9.850000,9.850000,9.850000,9.850000,9.125219,29000
2017-03-24,9.850000,9.850000,9.800000,9.850000,9.125219,135700
2017-03-27,9.900000,9.900000,9.800000,9.800000,9.078898,10700
2017-03-28,9.900000,9.900000,9.800000,9.800000,9.078898,372100
2017-03-29,9.850000,9.850000,9.750000,9.800000,9.078898,107600
2017-03-30,9.800000,9.800000,9.700000,9.750000,9.032578,696100
2017-03-31,9.800000,9.800000,9.700000,9.750000,9.032578,45200
2017-04-03,9.800000,9.800000,9.750000,9.750000,9.032578,10100
2017-04-04,9.800000,9.800000,9.750000,9.750000,9.032578,65600
2017-04-05,9.750000,9.750000,9.700000,9.700000,8.986257,190800
2017-04-07,9.700000,9.750000,9.700000,9.750000,9.032578,83000
2017-04-10,9.750000,9.750000,9.750000,9.750000,9.032578,186000
2017-04-11,9.750000,9.750000,9.750000,9.750000,9.032578,135300
2017-04-12,9.800000,9.800000,9.750000,9.750000,9.032578,123900
2017-04-17,9.700000,9.750000,9.700000,9.700000,8.986257,66200
2017-04-18,9.750000,9.800000,9.700000,9.750000,9.032578,13800
2017-04-19,9.750000,9.750000,9.700000,9.700000,8.986257,7000
2017-04-20,9.700000,9.750000,9.700000,9.700000,8.986257,61800
2017-04-21,9.700000,9.750000,9.700000,9.750000,9.032578,17000
2017-04-24,9.750000,9.750000,9.700000,9.700000,8.986257,112700
2017-04-25,9.750000,9.750000,9.650000,9.700000,8.986257,105400
2017-04-26,9.700000,9.700000,9.700000,9.700000,8.986257,41200
2017-04-27,9.700000,9.700000,9.650000,9.700000,8.986257,110700
2017-04-28,9.700000,9.700000,9.650000,9.650000,8.939936,72000
2017-05-02,9.650000,9.650000,9.600000,9.600000,8.893615,402400
2017-05-03,9.600000,9.600000,9.200000,9.300000,8.615689,1443200
2017-05-04,9.300000,9.350000,9.300000,9.300000,8.615689,111200
2017-05-08,9.250000,9.500000,9.200000,9.400000,8.708331,709200
2017-05-09,9.450000,9.750000,9.450000,9.600000,8.893615,624100
2017-05-11,9.650000,9.650000,9.450000,9.500000,8.800973,688300
2017-05-12,9.500000,9.550000,9.500000,9.550000,8.847294,236400
2017-05-15,9.550000,9.550000,9.550000,9.550000,8.847294,1000
2017-05-16,9.600000,9.600000,9.500000,9.550000,8.847294,357800
2017-05-17,9.550000,9.550000,9.500000,9.500000,8.800973,472600
2017-05-18,9.250000,9.250000,9.200000,9.250000,8.814981,508300
2017-05-19,9.250000,9.250000,9.250000,9.250000,8.814981,560400
2017-05-22,9.200000,9.200000,9.000000,9.000000,8.576738,2007700
2017-05-23,9.000000,9.000000,8.800000,8.950000,8.529090,2647800
2017-05-24,8.900000,9.000000,8.900000,8.950000,8.529090,662600
2017-05-25,8.950000,8.950000,8.950000,8.950000,8.529090,1047400
2017-05-26,8.950000,8.950000,8.900000,8.900000,8.481441,856100
2017-05-29,8.900000,8.900000,8.850000,8.900000,8.481441,490200
2017-05-30,8.850000,8.850000,8.650000,8.700000,8.290847,2922400
2017-05-31,8.650000,8.700000,8.500000,8.500000,8.100253,1971900
2017-06-01,8.500000,8.600000,8.500000,8.550000,8.147902,843800
2017-06-02,8.550000,8.650000,8.450000,8.600000,8.195551,1182000
2017-06-05,8.600000,8.600000,8.350000,8.350000,7.957308,2247800
2017-06-06,8.350000,8.400000,8.300000,8.400000,8.004956,1195800
2017-06-07,8.400000,8.500000,8.400000,8.400000,8.004956,998900
2017-06-08,8.500000,8.600000,8.450000,8.450000,8.052605,434600
2017-06-09,8.500000,8.500000,8.500000,8.500000,8.100253,654000
2017-06-12,8.550000,8.600000,8.500000,8.500000,8.100253,283300
2017-06-13,8.450000,8.500000,8.450000,8.450000,8.052605,282800
2017-06-14,8.450000,8.500000,8.450000,8.450000,8.052605,349100
2017-06-15,8.450000,8.500000,8.450000,8.500000,8.100253,377900
2017-06-16,8.500000,8.500000,8.350000,8.450000,8.052605,1509600
2017-06-19,8.400000,8.400000,8.150000,8.250000,7.862010,2354700
2017-06-20,8.250000,8.250000,8.100000,8.150000,7.766713,2181400
2017-06-21,8.200000,8.250000,8.000000,8.050000,7.671417,2346600
2017-06-22,8.100000,8.250000,8.100000,8.100000,7.719066,676600
2017-06-23,8.100000,8.250000,8.100000,8.150000,7.766713,1616400
2017-06-26,8.100000,8.250000,8.100000,8.200000,7.814362,1605700
2017-06-27,8.250000,8.250000,8.100000,8.150000,7.766713,1485500
2017-06-28,8.150000,8.150000,8.100000,8.100000,7.719066,848700
2017-06-29,8.050000,8.100000,7.700000,7.750000,7.385525,7391400
2017-06-30,7.800000,7.800000,7.600000,7.650000,7.290228,1660600
2017-07-03,7.700000,7.700000,7.600000,7.650000,7.290228,1926300
2017-07-04,7.600000,7.750000,7.600000,7.650000,7.290228,1743500
2017-07-05,7.650000,7.650000,7.650000,7.650000,7.290228,983300
2017-07-06,7.650000,7.650000,7.600000,7.650000,7.290228,336600
2017-07-07,7.650000,7.800000,7.600000,7.800000,7.433174,948800
2017-07-11,7.750000,7.800000,7.650000,7.750000,7.385525,664000
2017-07-12,7.750000,7.750000,7.650000,7.650000,7.290228,599900
2017-07-13,7.700000,7.700000,7.600000,7.650000,7.290228,760100
2017-07-14,7.600000,7.650000,7.600000,7.650000,7.290228,657600
2017-07-17,7.600000,7.600000,7.500000,7.550000,7.194931,1230500
2017-07-18,7.600000,7.650000,7.550000,7.550000,7.194931,440300
2017-07-19,7.650000,7.650000,7.600000,7.600000,7.242579,344100
2017-07-20,7.600000,7.650000,7.600000,7.600000,7.242579,607900
2017-07-21,7.600000,7.600000,7.550000,7.600000,7.242579,389200
2017-07-24,7.600000,7.650000,7.600000,7.600000,7.242579,390100
2017-07-25,7.650000,7.700000,7.600000,7.650000,7.290228,543000
2017-07-26,7.650000,7.650000,7.550000,7.600000,7.242579,722100
2017-07-27,7.600000,7.650000,7.550000,7.650000,7.290228,452800
2017-07-31,7.650000,7.650000,7.650000,7.650000,7.290228,208700
2017-08-01,7.700000,7.750000,7.650000,7.650000,7.290228,1047800
2017-08-02,7.700000,7.750000,7.700000,7.750000,7.385525,301000
2017-08-03,7.750000,8.100000,7.750000,8.050000,7.671417,1361700
2017-08-04,8.050000,8.350000,8.050000,8.200000,7.814362,1919500
2017-08-07,8.200000,8.300000,8.150000,8.200000,7.814362,452700
2017-08-08,8.150000,8.150000,8.100000,8.100000,7.719066,586100
2017-08-09,7.900000,7.900000,7.750000,7.800000,7.433174,3151200
2017-08-10,7.850000,7.950000,7.850000,7.900000,7.528471,585800
2017-08-11,7.950000,7.950000,7.850000,7.950000,7.576119,463600
2017-08-15,7.900000,7.950000,7.900000,7.950000,7.576119,650400
