Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,5.450000,5.550000,5.100000,5.250000,4.848536,9434000
2017-01-05,5.250000,5.350000,5.150000,5.150000,4.756184,3397400
2017-01-06,5.200000,5.400000,5.100000,5.200000,4.802359,5606400
2017-01-09,5.250000,5.400000,5.150000,5.350000,4.940889,3067600
2017-01-10,5.350000,5.450000,5.300000,5.350000,4.940889,2116500
2017-01-11,5.400000,5.500000,5.200000,5.250000,4.848536,5080800
2017-01-12,5.250000,5.350000,5.200000,5.200000,4.802359,3032400
2017-01-16,5.150000,5.250000,5.150000,5.250000,4.848536,1584700
2017-01-17,5.250000,5.550000,5.200000,5.450000,5.033242,8362500
2017-01-18,5.650000,6.000000,5.600000,6.000000,5.541184,61382100
2017-01-19,6.050000,6.050000,5.700000,5.900000,5.448831,23462500
2017-01-20,6.000000,6.250000,5.900000,6.000000,5.541184,26935200
2017-01-23,6.050000,6.200000,5.900000,6.100000,5.633537,9102300
2017-01-24,6.200000,6.450000,6.100000,6.350000,5.864420,22817000
2017-01-25,6.400000,6.450000,6.100000,6.150000,5.679714,7815000
2017-01-26,6.150000,6.350000,6.100000,6.100000,5.633537,3773200
2017-01-27,6.050000,6.100000,5.900000,6.100000,5.633537,3578400
2017-01-30,6.100000,6.150000,6.000000,6.100000,5.633537,1900600
2017-01-31,6.100000,6.650000,6.100000,6.550000,6.049126,19368100
2017-02-01,6.550000,6.700000,6.350000,6.500000,6.002949,15299800
2017-02-02,6.500000,6.500000,6.250000,6.350000,5.864420,4209000
2017-02-03,6.400000,6.400000,6.250000,6.300000,5.818244,1769000
2017-02-06,6.300000,6.550000,6.250000,6.550000,6.049126,9809400
2017-02-07,6.650000,6.650000,6.300000,6.300000,5.818244,6097800
2017-02-08,6.200000,6.200000,5.700000,5.750000,5.310301,19230600
2017-02-09,5.700000,5.950000,5.700000,5.800000,5.356478,6279700
2017-02-10,5.800000,5.800000,5.450000,5.450000,5.033242,6827300
2017-02-14,5.350000,5.450000,5.300000,5.300000,4.894713,5493900
2017-02-15,5.350000,5.600000,5.350000,5.600000,5.171772,5666700
2017-02-16,5.550000,5.550000,5.400000,5.450000,5.033242,2430500
2017-02-17,5.500000,5.550000,5.300000,5.350000,4.940889,2430800
2017-02-20,5.300000,5.550000,5.300000,5.500000,5.079419,1685000
