Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,4.600000,4.600000,4.500000,4.540000,4.540000,932200
2019-06-06,4.560000,4.900000,4.560000,4.840000,4.840000,14029400
2019-06-07,4.840000,5.050000,4.760000,5.000000,5.000000,7144200
2019-06-10,5.050000,5.150000,4.920000,4.920000,4.920000,3382600
2019-06-11,4.960000,5.050000,4.920000,4.940000,4.940000,2177600
2019-06-12,4.920000,4.960000,4.860000,4.860000,4.860000,1571100
2019-06-13,4.880000,5.050000,4.880000,4.980000,4.980000,4090000
2019-06-14,5.000000,5.200000,5.000000,5.150000,5.150000,4701800
2019-06-17,5.300000,5.350000,5.150000,5.200000,5.200000,3255200
2019-06-18,5.200000,5.300000,5.000000,5.250000,5.250000,2606900
2019-06-19,5.250000,5.300000,5.150000,5.200000,5.200000,2781400
2019-06-20,5.250000,5.850000,5.200000,5.650000,5.650000,7549500
2019-06-21,5.800000,5.850000,5.600000,5.700000,5.700000,4157100
2019-06-24,5.650000,6.100000,5.650000,5.900000,5.900000,7933800
2019-06-25,5.900000,5.900000,5.650000,5.800000,5.800000,2009900
2019-06-26,5.800000,6.000000,5.800000,5.950000,5.950000,3049100
2019-06-27,5.950000,5.950000,5.850000,5.850000,5.850000,1214400
2019-06-28,5.900000,5.950000,5.800000,5.850000,5.850000,1091600
