Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,7.300000,7.550000,7.300000,7.550000,7.069014,2793700
2017-01-05,7.550000,7.600000,7.450000,7.450000,6.975384,1605500
2017-01-06,7.450000,7.450000,7.350000,7.400000,6.928569,516000
2017-01-09,7.400000,7.400000,7.200000,7.200000,6.741311,765600
2017-01-10,7.200000,7.300000,7.200000,7.250000,6.788126,719800
2017-01-11,7.350000,7.350000,7.200000,7.200000,6.741311,327600
2017-01-12,7.350000,7.400000,7.200000,7.250000,6.788126,449500
2017-01-16,7.450000,7.450000,7.350000,7.350000,6.881754,253100
2017-01-17,7.450000,7.450000,7.300000,7.350000,6.881754,728700
2017-01-18,7.300000,7.300000,7.150000,7.150000,6.694496,668100
2017-01-19,7.100000,7.150000,7.050000,7.100000,6.647681,394300
2017-01-20,7.100000,7.150000,7.100000,7.100000,6.647681,174100
2017-01-23,7.300000,7.300000,7.150000,7.200000,6.741311,50900
2017-01-24,7.250000,7.300000,7.250000,7.250000,6.788126,259700
2017-01-25,7.300000,7.300000,7.150000,7.150000,6.694496,185900
2017-01-26,7.150000,7.400000,7.150000,7.150000,6.694496,955300
2017-01-27,7.200000,7.300000,7.200000,7.250000,6.788126,57800
2017-01-30,7.250000,7.250000,7.150000,7.200000,6.741311,121200
2017-01-31,7.200000,7.200000,7.100000,7.150000,6.694496,242000
2017-02-01,7.150000,7.200000,7.100000,7.100000,6.647681,294100
2017-02-02,7.150000,7.250000,7.100000,7.250000,6.788126,608200
2017-02-03,7.250000,7.450000,7.150000,7.300000,6.834940,732400
2017-02-06,7.400000,7.400000,7.200000,7.200000,6.741311,563800
2017-02-07,7.200000,7.300000,7.150000,7.200000,6.741311,231800
2017-02-08,7.200000,7.250000,7.150000,7.150000,6.694496,117400
2017-02-09,7.200000,7.200000,7.100000,7.100000,6.647681,237000
2017-02-10,7.100000,7.200000,7.100000,7.100000,6.647681,78300
2017-02-14,7.050000,7.100000,6.900000,6.950000,6.507237,664100
2017-02-15,6.950000,7.000000,6.950000,7.000000,6.554052,442500
2017-02-16,7.000000,7.050000,7.000000,7.050000,6.600867,33400
2017-02-17,7.050000,7.050000,6.950000,7.050000,6.600867,115900
2017-02-20,7.050000,7.050000,7.000000,7.000000,6.554052,114300
2017-02-21,7.050000,7.100000,7.000000,7.000000,6.554052,92300
2017-02-22,7.000000,7.000000,6.900000,6.900000,6.460423,170300
2017-02-23,6.900000,7.000000,6.900000,6.950000,6.507237,98800
2017-02-24,6.950000,6.950000,6.900000,6.950000,6.507237,49200
2017-02-27,6.850000,6.900000,6.700000,6.800000,6.366794,324200
2017-02-28,6.800000,6.950000,6.800000,6.950000,6.507237,422700
2017-03-01,6.950000,7.050000,6.950000,7.000000,6.554052,946400
2017-03-02,7.000000,7.050000,7.000000,7.050000,6.600867,137700
2017-03-03,7.050000,7.100000,7.050000,7.100000,6.647681,228900
2017-03-06,7.050000,7.050000,7.050000,7.050000,6.600867,117700
2017-03-07,7.050000,7.050000,7.000000,7.000000,6.554052,157700
2017-03-08,7.050000,7.050000,6.850000,6.900000,6.460423,545700
2017-03-09,6.900000,7.000000,6.900000,7.000000,6.554052,10500
2017-03-10,7.050000,7.050000,6.900000,6.900000,6.460423,312900
2017-03-13,6.900000,6.950000,6.850000,6.900000,6.460423,81900
2017-03-14,6.950000,6.950000,6.850000,6.900000,6.460423,146500
2017-03-15,6.850000,6.900000,6.850000,6.900000,6.460423,105200
2017-03-16,6.900000,7.000000,6.900000,6.950000,6.507237,185500
2017-03-17,7.000000,7.000000,6.950000,7.000000,6.554052,67400
2017-03-20,7.050000,7.050000,6.950000,7.000000,6.554052,32900
2017-03-21,6.950000,6.950000,6.900000,6.950000,6.507237,254900
2017-03-22,6.950000,6.950000,6.850000,6.900000,6.460423,123800
2017-03-23,6.950000,7.000000,6.900000,7.000000,6.554052,64500
2017-03-24,6.950000,7.000000,6.900000,6.900000,6.460423,40700
2017-03-27,6.950000,7.000000,6.850000,6.950000,6.507237,151500
2017-03-28,6.900000,6.950000,6.850000,6.900000,6.460423,63000
2017-03-29,6.900000,6.900000,6.850000,6.900000,6.460423,108300
2017-03-30,6.950000,6.950000,6.900000,6.900000,6.460423,80100
2017-03-31,6.900000,6.900000,6.850000,6.900000,6.460423,52200
2017-04-03,6.900000,7.000000,6.900000,6.900000,6.460423,25400
2017-04-04,6.900000,6.950000,6.850000,6.900000,6.460423,35500
2017-04-05,6.950000,6.950000,6.900000,6.900000,6.460423,15800
2017-04-07,6.900000,7.000000,6.900000,7.000000,6.554052,141800
2017-04-10,7.000000,7.000000,6.950000,6.950000,6.507237,166200
2017-04-11,6.950000,6.950000,6.950000,6.950000,6.507237,39300
2017-04-12,6.950000,7.000000,6.900000,6.950000,6.507237,47600
2017-04-17,7.000000,7.000000,6.950000,6.950000,6.507237,6500
2017-04-18,6.900000,6.950000,6.900000,6.900000,6.460423,95100
2017-04-19,6.900000,6.900000,6.900000,6.900000,6.460423,24100
2017-04-20,6.900000,6.950000,6.850000,6.900000,6.460423,109300
2017-04-21,6.950000,6.950000,6.850000,6.900000,6.460423,175000
2017-04-24,6.900000,6.950000,6.850000,6.950000,6.507237,478500
2017-04-25,6.950000,6.950000,6.900000,6.950000,6.507237,102500
2017-04-26,6.900000,6.950000,6.900000,6.950000,6.507237,54300
2017-04-27,6.950000,6.950000,6.950000,6.950000,6.507237,79100
2017-04-28,6.950000,7.100000,6.950000,7.100000,6.647681,249800
2017-05-02,7.200000,7.200000,6.950000,7.000000,6.647682,671700
2017-05-03,7.100000,7.100000,6.950000,7.050000,6.695165,77700
2017-05-04,7.100000,7.100000,6.950000,7.000000,6.647682,56600
2017-05-08,7.000000,7.050000,7.000000,7.050000,6.695165,60100
2017-05-09,7.100000,7.150000,6.950000,6.950000,6.600198,386900
2017-05-11,6.950000,7.000000,6.850000,6.850000,6.505231,209300
2017-05-12,6.800000,6.900000,6.750000,6.850000,6.505231,476200
2017-05-15,6.950000,6.950000,6.950000,6.950000,6.600198,3000
2017-05-16,7.000000,7.050000,6.950000,6.950000,6.600198,484000
2017-05-17,7.000000,7.050000,6.950000,6.950000,6.600198,184300
2017-05-18,7.000000,7.000000,6.950000,6.950000,6.600198,152500
2017-05-19,7.000000,7.050000,7.000000,7.000000,6.647682,156800
2017-05-22,7.100000,7.100000,6.950000,7.100000,6.742649,175800
2017-05-23,7.050000,7.250000,7.050000,7.200000,6.837615,543500
2017-05-24,7.200000,7.400000,7.200000,7.250000,6.885098,881200
2017-05-25,7.250000,7.350000,7.150000,7.200000,6.837615,383100
