Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,4.102700,4.120540,4.084860,4.102700,3.617140,180515
2017-01-05,4.084860,4.174050,4.084860,4.174050,3.680046,390406
2017-01-06,4.209730,4.316760,4.102700,4.102700,3.617140,4537658
2017-01-09,4.156220,4.245410,4.120540,4.245410,3.742960,1804142
2017-01-10,4.263240,4.263240,4.209730,4.245410,3.742960,644136
2017-01-11,4.227570,4.263240,4.227570,4.227570,3.727231,374036
2017-01-12,4.263240,4.263240,4.191890,4.191890,3.695774,203164
2017-01-16,4.209730,4.227570,4.209730,4.209730,3.711503,120642
2017-01-17,4.209730,4.370270,4.209730,4.352430,3.837314,1368776
2017-01-18,4.388110,4.405950,4.263240,4.298920,3.790137,403412
2017-01-19,4.245410,4.298920,4.245410,4.298920,3.790137,203836
2017-01-20,4.281080,4.281080,4.245410,4.245410,3.742960,378858
2017-01-23,4.245410,4.245410,4.191890,4.209730,3.711503,1468452
2017-01-24,4.227570,4.263240,4.227570,4.263240,3.758679,378297
2017-01-25,4.281080,4.298920,4.245410,4.298920,3.790137,294206
2017-01-26,4.298920,4.316760,4.298920,4.298920,3.790137,225252
2017-01-27,4.263240,4.316760,4.263240,4.281080,3.774408,260121
2017-01-30,4.281080,4.334590,4.281080,4.316760,3.805866,426733
2017-01-31,4.316760,4.334590,4.245410,4.245410,3.742960,211236
2017-02-01,4.245410,4.281080,4.227570,4.263240,3.758679,83530
2017-02-02,4.281080,4.298920,4.263240,4.298920,3.790137,151364
2017-02-03,4.316760,4.316760,4.245410,4.245410,3.742960,150018
2017-02-06,4.263240,4.281080,4.263240,4.281080,3.774408,284227
2017-02-07,4.263240,4.281080,4.227570,4.245410,3.742960,1404430
2017-02-08,4.245410,4.245410,4.156220,4.245410,3.742960,876003
2017-02-09,4.191890,4.227570,4.174050,4.227570,3.727231,380539
2017-02-10,4.174050,4.209730,4.174050,4.209730,3.711503,106852
2017-02-14,4.174050,4.209730,4.156220,4.156220,3.664326,254627
2017-02-15,4.156220,4.209730,4.138380,4.191890,3.695774,438955
2017-02-16,4.174050,4.245410,4.174050,4.245410,3.742960,124903
2017-02-17,4.245410,4.298920,4.245410,4.298920,3.790137,588748
2017-02-20,4.334590,4.504050,4.316760,4.405950,3.884500,2376073
2017-02-21,4.504050,4.504050,4.191890,4.352430,3.837314,1624524
2017-02-22,4.388110,4.388110,4.245410,4.263240,3.758679,332888
2017-02-23,4.334590,4.334590,4.227570,4.263240,3.758679,173227
2017-02-24,4.245410,4.263240,4.209730,4.209730,3.711503,429424
2017-02-27,4.227570,4.245410,4.191890,4.209730,3.711503,1558597
2017-02-28,4.227570,4.227570,4.156220,4.174050,3.680046,1048445
2017-03-01,4.156220,4.191890,4.084860,4.120540,3.632869,1258224
2017-03-02,4.102700,4.120540,4.084860,4.120540,3.632869,1120539
2017-03-03,4.156220,4.174050,4.120540,4.174050,3.680046,80391
2017-03-06,4.174050,4.209730,4.102700,4.138380,3.648597,1392770
2017-03-07,4.138380,4.174050,4.049190,4.102700,3.617140,1869397
2017-03-08,4.102700,4.102700,4.013510,4.067030,3.585691,984312
2017-03-09,4.049190,4.102700,4.031350,4.049190,3.569963,262139
2017-03-10,4.067030,4.138380,4.031350,4.031350,3.554235,577312
2017-03-13,4.031350,4.138380,4.013510,4.049190,3.569963,305306
2017-03-14,4.380000,4.380000,4.280000,4.300000,3.802396,864800
2017-03-15,4.300000,4.300000,4.260000,4.280000,3.784711,77200
2017-03-16,4.280000,4.300000,4.260000,4.300000,3.802396,74800
2017-03-17,4.300000,4.320000,4.260000,4.320000,3.820082,263500
2017-03-20,4.300000,4.300000,4.260000,4.280000,3.784711,22400
2017-03-21,4.260000,4.280000,4.260000,4.280000,3.784711,62900
2017-03-22,4.240000,4.280000,4.220000,4.220000,3.731654,312000
2017-03-23,4.260000,4.280000,4.240000,4.240000,3.749340,89800
2017-03-24,4.260000,4.260000,4.240000,4.260000,3.767025,28400
2017-03-27,4.260000,4.260000,4.220000,4.260000,3.767025,173600
2017-03-28,4.260000,4.280000,4.240000,4.280000,3.784711,61800
2017-03-29,4.280000,4.280000,4.260000,4.280000,3.784711,30600
2017-03-30,4.280000,4.300000,4.260000,4.300000,3.802396,46500
2017-03-31,4.280000,4.300000,4.240000,4.300000,3.802396,176800
2017-04-03,4.280000,4.360000,4.280000,4.360000,3.855453,436200
2017-04-04,4.360000,4.360000,4.320000,4.340000,3.837768,77700
2017-04-05,4.340000,4.400000,4.340000,4.400000,3.890824,57300
2017-04-07,4.380000,4.400000,4.360000,4.380000,3.873138,28600
2017-04-10,4.380000,4.400000,4.340000,4.340000,3.837768,91800
2017-04-11,4.340000,4.360000,4.320000,4.360000,3.855453,130500
2017-04-12,4.340000,4.340000,4.300000,4.320000,3.820082,85600
2017-04-17,4.300000,4.340000,4.300000,4.320000,3.820082,77000
2017-04-18,4.320000,4.500000,4.320000,4.340000,3.837768,3683500
2017-04-19,4.360000,4.420000,4.300000,4.300000,3.802396,281300
2017-04-20,4.300000,4.380000,4.300000,4.380000,3.873138,107700
2017-04-21,4.400000,4.400000,4.340000,4.380000,3.873138,65900
2017-04-24,4.400000,4.400000,4.340000,4.380000,3.873138,17000
2017-04-25,4.380000,4.380000,4.280000,4.320000,3.820082,158800
2017-04-26,4.320000,4.360000,4.320000,4.340000,3.837768,37600
2017-04-27,4.360000,4.360000,4.320000,4.340000,3.837768,61800
2017-04-28,4.340000,4.380000,4.300000,4.340000,3.837768,147300
