Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,9.050000,9.100000,9.000000,9.100000,9.100000,26000
2017-01-05,9.000000,9.100000,9.000000,9.100000,9.100000,16000
2017-01-06,9.100000,9.150000,9.100000,9.150000,9.150000,116100
2017-01-09,9.100000,9.100000,9.050000,9.100000,9.100000,60600
2017-01-10,9.000000,9.150000,9.000000,9.150000,9.150000,58800
2017-01-11,9.100000,9.150000,9.100000,9.150000,9.150000,2400
2017-01-12,9.150000,9.150000,9.150000,9.150000,9.150000,167300
2017-01-16,9.150000,9.200000,9.100000,9.200000,9.200000,151000
2017-01-17,9.200000,9.200000,9.150000,9.200000,9.200000,34100
2017-01-18,9.150000,9.200000,9.100000,9.200000,9.200000,80500
2017-01-19,9.200000,9.200000,9.150000,9.150000,9.150000,11600
2017-01-20,9.150000,9.150000,9.150000,9.150000,9.150000,22400
2017-01-23,9.150000,9.150000,9.100000,9.150000,9.150000,144500
2017-01-24,9.150000,9.150000,9.100000,9.150000,9.150000,19800
2017-01-25,9.150000,9.150000,9.150000,9.150000,9.150000,71000
2017-01-26,9.100000,9.250000,9.100000,9.200000,9.200000,325200
2017-01-27,9.200000,9.200000,9.200000,9.200000,9.200000,1000
2017-01-30,9.200000,9.200000,9.200000,9.200000,9.200000,400
2017-01-31,9.150000,9.150000,9.150000,9.150000,9.150000,31600
2017-02-01,9.200000,9.200000,9.100000,9.100000,9.100000,68200
2017-02-02,9.100000,9.150000,9.100000,9.150000,9.150000,21500
2017-02-03,9.150000,9.200000,9.150000,9.200000,9.200000,29000
2017-02-06,9.200000,9.200000,9.200000,9.200000,9.200000,8400
2017-02-07,9.150000,9.200000,9.150000,9.200000,9.200000,3000
2017-02-08,9.150000,9.200000,9.100000,9.200000,9.200000,14600
2017-02-09,9.200000,9.200000,9.200000,9.200000,9.200000,15000
2017-02-10,9.200000,9.200000,9.200000,9.200000,9.200000,48200
2017-02-14,9.200000,9.200000,9.150000,9.200000,9.200000,87100
2017-02-15,9.150000,9.200000,9.150000,9.200000,9.200000,60900
2017-02-16,9.200000,9.200000,9.150000,9.200000,9.200000,106100
2017-02-17,9.150000,9.200000,9.150000,9.200000,9.200000,338500
2017-02-20,9.200000,9.200000,9.150000,9.200000,9.200000,22400
2017-02-21,9.200000,9.200000,9.150000,9.150000,9.150000,240100
2017-02-22,9.200000,9.200000,9.150000,9.150000,9.150000,159100
2017-02-23,9.200000,9.200000,9.150000,9.200000,9.200000,25900
2017-02-24,9.150000,9.200000,9.150000,9.150000,9.150000,52800
2017-02-27,9.150000,9.200000,9.150000,9.150000,9.150000,113400
2017-02-28,9.150000,9.200000,9.150000,9.150000,9.150000,31500
2017-03-01,9.150000,9.150000,9.100000,9.150000,9.150000,172200
2017-03-02,9.150000,9.150000,9.150000,9.150000,9.150000,101800
2017-03-03,9.150000,9.150000,9.100000,9.150000,9.150000,41500
2017-03-06,9.150000,9.150000,9.150000,9.150000,9.150000,22500
2017-03-07,9.100000,9.150000,9.100000,9.100000,9.100000,73900
2017-03-08,9.050000,9.050000,9.000000,9.050000,9.050000,98900
2017-03-09,9.050000,9.050000,9.000000,9.000000,9.000000,51100
2017-03-10,9.000000,9.000000,9.000000,9.000000,9.000000,68000
2017-03-13,8.950000,9.000000,8.950000,8.950000,8.950000,44900
2017-03-14,9.000000,9.000000,8.950000,8.950000,8.950000,245700
2017-03-15,8.950000,9.000000,8.950000,9.000000,9.000000,4300
2017-03-16,9.000000,9.000000,8.950000,8.950000,8.950000,160400
2017-03-17,8.950000,8.950000,8.900000,8.950000,8.950000,177600
2017-03-20,9.000000,9.050000,9.000000,9.050000,9.050000,173500
2017-03-21,9.000000,9.000000,8.950000,8.950000,8.950000,109100
2017-03-22,9.000000,9.000000,8.900000,8.900000,8.900000,329500
2017-03-23,8.900000,8.950000,8.900000,8.950000,8.950000,89400
2017-03-24,8.900000,9.000000,8.900000,8.950000,8.950000,28800
2017-03-27,8.950000,8.950000,8.950000,8.950000,8.950000,10900
2017-03-28,8.950000,9.000000,8.950000,9.000000,9.000000,141700
2017-03-29,9.000000,9.050000,9.000000,9.050000,9.050000,159500
2017-03-30,9.050000,9.050000,8.950000,8.950000,8.950000,110500
2017-03-31,9.000000,9.000000,9.000000,9.000000,9.000000,185600
2017-04-03,9.000000,9.000000,9.000000,9.000000,9.000000,46800
2017-04-04,9.000000,9.050000,9.000000,9.050000,9.050000,124200
2017-04-05,9.000000,9.050000,9.000000,9.050000,9.050000,10100
2017-04-07,9.050000,9.050000,9.000000,9.050000,9.050000,75300
2017-04-10,9.050000,9.050000,9.050000,9.050000,9.050000,6100
2017-04-11,9.050000,9.050000,9.000000,9.050000,9.050000,6900
2017-04-12,9.050000,9.100000,9.050000,9.050000,9.050000,109700
2017-04-17,9.050000,9.050000,9.050000,9.050000,9.050000,11100
2017-04-18,9.050000,9.050000,9.050000,9.050000,9.050000,30000
2017-04-19,9.150000,9.150000,9.050000,9.050000,9.050000,111100
2017-04-20,9.050000,9.100000,9.050000,9.100000,9.100000,14300
2017-04-21,9.050000,9.050000,9.050000,9.050000,9.050000,200000
2017-04-24,null,null,null,null,null,null
2017-04-25,9.050000,9.100000,9.050000,9.050000,9.050000,167300
2017-04-26,9.100000,9.100000,9.050000,9.050000,9.050000,10500
2017-04-27,9.050000,9.050000,9.050000,9.050000,9.050000,116200
2017-04-28,9.050000,9.050000,9.050000,9.050000,9.050000,53000
2017-05-02,9.050000,9.050000,8.950000,8.950000,8.950000,443700
2017-05-03,8.950000,9.050000,8.950000,8.950000,8.950000,146900
2017-05-04,9.050000,9.100000,9.050000,9.100000,9.100000,123000
2017-05-08,9.100000,9.100000,9.050000,9.100000,9.100000,113500
2017-05-09,9.000000,9.000000,9.000000,9.000000,9.000000,32100
2017-05-11,9.050000,9.050000,8.950000,9.000000,9.000000,67100
2017-05-12,8.900000,9.000000,8.900000,9.000000,9.000000,16800
2017-05-15,8.950000,8.950000,8.950000,8.950000,8.950000,700
2017-05-16,9.000000,9.000000,9.000000,9.000000,9.000000,219100
2017-05-17,9.000000,9.000000,8.950000,9.000000,9.000000,43500
2017-05-18,8.950000,9.000000,8.950000,9.000000,9.000000,106900
2017-05-19,8.950000,9.000000,8.950000,9.000000,9.000000,14300
2017-05-22,8.900000,9.000000,8.850000,8.950000,8.950000,73600
2017-05-23,8.950000,8.950000,8.900000,8.950000,8.950000,234900
2017-05-24,8.950000,9.000000,8.950000,9.000000,9.000000,3500
2017-05-25,8.850000,9.000000,8.850000,8.950000,8.950000,48000
2017-05-26,null,null,null,null,null,null
2017-05-29,8.900000,8.950000,8.900000,8.950000,8.950000,74400
2017-05-30,8.900000,8.950000,8.900000,8.950000,8.950000,34400
2017-05-31,8.950000,8.950000,8.900000,8.900000,8.900000,24800
2017-06-01,8.900000,8.950000,8.900000,8.950000,8.950000,26800
2017-06-02,8.950000,9.000000,8.950000,9.000000,9.000000,21500
2017-06-05,8.950000,8.950000,8.950000,8.950000,8.950000,103000
2017-06-06,8.950000,9.000000,8.950000,9.000000,9.000000,16100
2017-06-07,8.950000,9.000000,8.950000,9.000000,9.000000,71400
2017-06-08,9.000000,9.000000,9.000000,9.000000,9.000000,11800
2017-06-09,9.000000,9.000000,8.950000,9.000000,9.000000,55500
2017-06-12,9.000000,9.000000,8.950000,8.950000,8.950000,19900
2017-06-13,8.950000,8.950000,8.900000,8.950000,8.950000,190200
2017-06-14,8.950000,8.950000,8.950000,8.950000,8.950000,8000
2017-06-15,8.950000,9.000000,8.950000,9.000000,9.000000,84600
2017-06-16,8.950000,8.950000,8.950000,8.950000,8.950000,20000
2017-06-19,9.000000,9.000000,9.000000,9.000000,9.000000,100
2017-06-20,8.950000,9.000000,8.950000,9.000000,9.000000,20400
2017-06-21,9.000000,9.050000,8.950000,8.950000,8.950000,24900
2017-06-22,9.000000,9.000000,8.950000,9.000000,9.000000,37200
2017-06-23,9.000000,9.000000,9.000000,9.000000,9.000000,5000
2017-06-26,9.000000,9.000000,8.950000,8.950000,8.950000,7500
2017-06-27,9.000000,9.000000,9.000000,9.000000,9.000000,500
2017-06-28,8.950000,9.000000,8.950000,8.950000,8.950000,125000
2017-06-29,8.950000,9.000000,8.950000,8.950000,8.950000,72800
2017-06-30,9.000000,9.000000,9.000000,9.000000,9.000000,7800
2017-07-03,9.000000,9.000000,9.000000,9.000000,9.000000,5800
2017-07-04,9.000000,9.000000,9.000000,9.000000,9.000000,12000
