Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,3.120000,3.180000,3.120000,3.160000,3.001887,12861300
2017-01-05,3.180000,3.200000,3.160000,3.180000,3.020886,12013600
2017-01-06,3.200000,3.300000,3.200000,3.200000,3.039885,59040100
2017-01-09,3.200000,3.220000,3.140000,3.200000,3.039885,15801000
2017-01-10,3.220000,3.360000,3.180000,3.340000,3.172880,69869000
2017-01-11,3.420000,3.460000,3.300000,3.300000,3.134881,74644800
2017-01-12,3.320000,3.360000,3.260000,3.280000,3.115882,31910300
2017-01-16,3.420000,3.740000,3.400000,3.720000,3.533866,208333900
2017-01-17,3.700000,3.800000,3.640000,3.780000,3.590864,107915300
2017-01-18,3.780000,3.800000,3.560000,3.580000,3.400872,108027000
2017-01-19,3.580000,3.620000,3.520000,3.600000,3.419871,49055600
2017-01-20,3.600000,3.720000,3.600000,3.680000,3.495868,58141300
2017-01-23,3.680000,3.720000,3.660000,3.680000,3.495868,18320200
2017-01-24,3.700000,3.780000,3.660000,3.700000,3.514867,39037000
2017-01-25,3.720000,3.740000,3.660000,3.680000,3.495868,20827200
2017-01-26,3.680000,3.740000,3.600000,3.720000,3.533866,41011800
2017-01-27,3.720000,3.880000,3.680000,3.820000,3.628863,87572300
2017-01-30,3.820000,3.960000,3.800000,3.880000,3.685861,61388000
2017-01-31,3.860000,3.880000,3.800000,3.860000,3.666861,24213400
2017-02-01,3.880000,3.940000,3.820000,3.860000,3.666861,18666500
2017-02-02,3.880000,3.900000,3.840000,3.860000,3.666861,12961400
2017-02-03,3.880000,3.880000,3.840000,3.860000,3.666861,4698600
2017-02-06,3.880000,3.880000,3.640000,3.660000,3.476869,35476100
2017-02-07,3.640000,3.640000,3.440000,3.440000,3.267877,72740900
2017-02-08,3.440000,3.520000,3.380000,3.420000,3.248877,40265200
2017-02-09,3.420000,3.480000,3.420000,3.420000,3.248877,17157700
2017-02-10,3.440000,3.480000,3.420000,3.460000,3.286876,7382000
2017-02-14,3.460000,3.460000,3.400000,3.400000,3.229878,7991500
2017-02-15,3.400000,3.400000,3.240000,3.280000,3.115882,34266600
2017-02-16,3.280000,3.340000,3.260000,3.280000,3.115882,20460600
2017-02-17,3.280000,3.400000,3.260000,3.380000,3.210879,38614000
2017-02-20,3.400000,3.440000,3.380000,3.420000,3.248877,34854400
2017-02-21,3.460000,3.480000,3.300000,3.300000,3.134881,31080300
2017-02-22,3.320000,3.360000,3.280000,3.300000,3.134881,16985100
2017-02-23,3.300000,3.320000,3.260000,3.280000,3.115882,6429800
2017-02-24,3.280000,3.320000,3.260000,3.280000,3.115882,6468800
2017-02-27,3.280000,3.280000,3.200000,3.220000,3.058884,7260600
2017-02-28,3.220000,3.260000,3.200000,3.220000,3.058884,7802600
2017-03-01,3.240000,3.300000,3.220000,3.280000,3.115882,8371400
2017-03-02,3.300000,3.340000,3.300000,3.320000,3.153881,5496000
2017-03-03,3.300000,3.340000,3.300000,3.300000,3.134881,3047900
2017-03-06,3.320000,3.320000,3.220000,3.220000,3.058884,6365300
2017-03-07,3.220000,3.240000,3.200000,3.200000,3.039885,5570700
2017-03-08,3.200000,3.240000,3.120000,3.160000,3.001887,10176500
2017-03-09,3.140000,3.180000,3.140000,3.140000,2.982888,2341800
2017-03-10,3.140000,3.160000,3.080000,3.100000,2.944889,8197500
2017-03-13,3.100000,3.140000,3.040000,3.060000,2.906890,4412200
2017-03-14,3.060000,3.160000,3.040000,3.140000,2.982888,5693000
2017-03-15,3.140000,3.260000,3.120000,3.200000,3.039885,15723400
2017-03-16,3.220000,3.280000,3.180000,3.240000,3.077884,11981900
