Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,5.850000,5.850000,5.800000,5.800000,5.800000,48000
2017-01-05,5.850000,5.900000,5.800000,5.900000,5.900000,80900
2017-01-06,5.900000,5.900000,5.850000,5.850000,5.850000,98100
2017-01-09,5.950000,6.100000,5.850000,5.950000,5.950000,3067200
2017-01-10,5.950000,6.100000,5.900000,6.000000,6.000000,1064000
2017-01-11,6.100000,6.250000,6.050000,6.100000,6.100000,3771800
2017-01-12,6.200000,6.600000,6.150000,6.500000,6.500000,11368200
2017-01-16,6.400000,6.400000,6.250000,6.250000,6.250000,1174800
2017-01-17,6.300000,6.550000,6.300000,6.350000,6.350000,2573900
2017-01-18,6.350000,6.400000,6.300000,6.300000,6.300000,274800
2017-01-19,6.250000,6.250000,6.200000,6.200000,6.200000,244200
2017-01-20,6.200000,6.250000,6.150000,6.150000,6.150000,478800
2017-01-23,6.200000,6.200000,6.100000,6.100000,6.100000,636900
2017-01-24,6.150000,6.200000,6.150000,6.150000,6.150000,213500
2017-01-25,6.200000,6.300000,6.150000,6.250000,6.250000,525200
2017-01-26,6.300000,6.700000,6.250000,6.500000,6.500000,10495500
2017-01-27,6.500000,7.000000,6.400000,6.600000,6.600000,23796600
2017-01-30,6.650000,6.750000,6.600000,6.600000,6.600000,2301200
2017-01-31,6.600000,6.800000,6.500000,6.750000,6.750000,3351000
2017-02-01,6.850000,7.100000,6.750000,6.900000,6.900000,7652900
2017-02-02,6.900000,6.950000,6.700000,6.700000,6.700000,1521400
2017-02-03,6.650000,6.950000,6.650000,6.750000,6.750000,1565200
2017-02-06,6.800000,6.800000,6.650000,6.750000,6.750000,571500
2017-02-07,6.700000,6.750000,6.600000,6.600000,6.600000,371200
2017-02-08,6.650000,6.700000,6.600000,6.600000,6.600000,212000
2017-02-09,6.750000,6.750000,6.500000,6.600000,6.600000,190000
2017-02-10,6.600000,6.800000,6.600000,6.700000,6.700000,435400
2017-02-14,6.750000,6.750000,6.600000,6.600000,6.600000,273600
2017-02-15,6.650000,6.650000,6.300000,6.400000,6.400000,960500
2017-02-16,6.400000,6.500000,6.350000,6.450000,6.450000,410900
2017-02-17,6.500000,6.500000,6.400000,6.400000,6.400000,184300
2017-02-20,6.450000,6.450000,6.200000,6.300000,6.300000,454500
2017-02-21,6.300000,6.300000,6.150000,6.150000,6.150000,306900
2017-02-22,6.350000,6.350000,6.200000,6.200000,6.200000,84600
2017-02-23,6.200000,6.200000,6.150000,6.150000,6.150000,282400
2017-02-24,6.100000,6.100000,5.900000,5.900000,5.900000,1075600
2017-02-27,5.850000,5.950000,5.850000,5.900000,5.900000,139900
2017-02-28,5.900000,5.950000,5.800000,5.900000,5.900000,146800
2017-03-01,5.850000,5.850000,5.700000,5.800000,5.800000,586300
2017-03-02,5.800000,5.950000,5.800000,5.900000,5.900000,214400
