Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,5.800000,5.850000,5.650000,5.750000,5.598968,4106500
2017-01-05,5.700000,5.800000,5.650000,5.650000,5.501594,5471000
2017-01-06,5.600000,5.700000,5.600000,5.600000,5.452908,4319300
2017-01-09,5.650000,5.700000,5.500000,5.650000,5.501594,4586300
2017-01-10,5.600000,5.650000,5.550000,5.550000,5.404221,4867300
2017-01-11,5.550000,6.150000,5.550000,6.100000,5.939774,53721500
2017-01-12,6.200000,6.300000,6.150000,6.200000,6.037147,25806000
2017-01-16,6.250000,6.400000,6.200000,6.350000,6.183207,9898900
2017-01-17,6.350000,6.500000,6.350000,6.350000,6.183207,12666900
2017-01-18,6.400000,6.500000,6.350000,6.500000,6.329267,12344600
2017-01-19,6.500000,6.650000,6.150000,6.250000,6.085834,14586000
2017-01-20,6.200000,6.400000,6.200000,6.300000,6.134521,3853200
2017-01-23,6.300000,6.450000,6.250000,6.350000,6.183207,2717500
2017-01-24,6.400000,6.400000,6.250000,6.250000,6.085834,1714200
2017-01-25,6.250000,6.350000,6.000000,6.100000,5.939774,12205700
2017-01-26,6.050000,6.200000,5.950000,6.150000,5.988461,14428900
2017-01-27,6.200000,6.350000,6.200000,6.300000,6.134521,9284600
2017-01-30,6.350000,6.450000,6.300000,6.450000,6.280581,6088600
2017-01-31,6.450000,6.500000,6.350000,6.350000,6.183207,9866600
2017-02-01,6.350000,6.450000,6.250000,6.400000,6.231894,9399600
2017-02-02,6.350000,6.400000,6.300000,6.300000,6.134521,3802000
2017-02-03,6.350000,6.350000,6.150000,6.250000,6.085834,4844000
2017-02-06,6.250000,6.250000,6.100000,6.100000,5.939774,3801800
2017-02-07,6.150000,6.150000,6.100000,6.150000,5.988461,2383200
2017-02-08,6.100000,6.150000,6.050000,6.050000,5.891088,1320200
2017-02-09,6.100000,6.150000,6.000000,6.050000,5.891088,5387500
2017-02-10,6.100000,6.100000,6.000000,6.050000,5.891088,2035000
2017-02-14,6.050000,6.100000,6.000000,6.000000,5.842401,633700
2017-02-15,6.050000,6.050000,5.850000,6.000000,5.842401,4713900
2017-02-16,6.000000,6.300000,5.950000,6.250000,6.085834,15365200
2017-02-17,6.250000,6.300000,6.000000,6.100000,5.939774,7649700
2017-02-20,6.100000,6.150000,6.000000,6.100000,5.939774,5416600
2017-02-21,6.150000,6.350000,6.100000,6.150000,5.988461,10260300
2017-02-22,6.200000,6.350000,6.050000,6.350000,6.183207,10852200
