Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,3.620000,3.640000,3.500000,3.520000,3.520000,2520000
2017-01-05,3.460000,3.580000,3.460000,3.540000,3.540000,923900
2017-01-06,3.540000,3.860000,3.540000,3.720000,3.720000,4759100
2017-01-09,3.720000,3.800000,3.660000,3.660000,3.660000,1899000
2017-01-10,3.660000,3.780000,3.660000,3.700000,3.700000,1467200
2017-01-11,3.760000,3.760000,3.720000,3.720000,3.720000,677200
2017-01-12,3.740000,4.100000,3.740000,3.940000,3.940000,37613800
2017-01-16,4.100000,4.160000,4.020000,4.080000,4.080000,25661300
2017-01-17,4.100000,4.180000,4.040000,4.060000,4.060000,15064800
2017-01-18,4.140000,4.140000,3.780000,3.780000,3.780000,9365800
2017-01-19,3.740000,3.800000,3.600000,3.680000,3.680000,7058300
2017-01-20,3.620000,3.760000,3.620000,3.720000,3.720000,2405400
2017-01-23,3.800000,3.840000,3.760000,3.840000,3.840000,2620400
2017-01-24,3.860000,3.880000,3.700000,3.780000,3.780000,2656600
2017-01-25,3.840000,3.840000,3.740000,3.740000,3.740000,1291900
2017-01-26,3.760000,3.800000,3.760000,3.760000,3.760000,654300
2017-01-27,3.760000,3.900000,3.760000,3.880000,3.880000,4271400
2017-01-30,3.880000,3.940000,3.820000,3.840000,3.840000,2793100
2017-01-31,3.880000,3.880000,3.780000,3.780000,3.780000,435100
2017-02-01,3.740000,3.820000,3.740000,3.760000,3.760000,740700
2017-02-02,3.780000,3.820000,3.760000,3.760000,3.760000,396300
2017-02-03,3.760000,3.780000,3.700000,3.760000,3.760000,837000
2017-02-06,3.760000,3.820000,3.760000,3.780000,3.780000,289700
2017-02-07,3.780000,3.860000,3.760000,3.760000,3.760000,438100
2017-02-08,3.780000,3.840000,3.760000,3.760000,3.760000,193800
2017-02-09,3.780000,3.800000,3.680000,3.680000,3.680000,800600
2017-02-10,3.660000,3.720000,3.640000,3.640000,3.640000,1089000
2017-02-14,3.600000,3.740000,3.580000,3.640000,3.640000,955100
2017-02-15,3.620000,3.640000,3.560000,3.600000,3.600000,686800
2017-02-16,3.620000,3.680000,3.620000,3.680000,3.680000,331000
2017-02-17,3.700000,3.700000,3.600000,3.600000,3.600000,1074200
2017-02-20,3.620000,3.640000,3.580000,3.620000,3.620000,167000
2017-02-21,3.580000,3.640000,3.540000,3.540000,3.540000,526000
2017-02-22,3.520000,3.560000,3.480000,3.480000,3.480000,648400
2017-02-23,3.480000,3.560000,3.460000,3.520000,3.520000,765900
2017-02-24,3.540000,3.540000,3.460000,3.480000,3.480000,519200
2017-02-27,3.500000,3.500000,3.180000,3.320000,3.320000,2280300
2017-02-28,3.240000,3.320000,3.240000,3.260000,3.260000,961600
2017-03-01,3.260000,3.420000,3.260000,3.300000,3.300000,743800
2017-03-02,3.340000,3.400000,3.300000,3.380000,3.380000,290100
2017-03-03,3.380000,3.380000,3.280000,3.380000,3.380000,521900
2017-03-06,3.380000,3.380000,3.220000,3.260000,3.260000,1163000
2017-03-07,3.260000,3.320000,3.260000,3.300000,3.300000,519500
2017-03-08,3.300000,3.320000,3.240000,3.300000,3.300000,375900
2017-03-09,3.320000,3.340000,3.300000,3.320000,3.320000,161900
2017-03-10,3.340000,3.360000,3.300000,3.300000,3.300000,240500
2017-03-13,3.300000,3.320000,3.280000,3.280000,3.280000,419800
2017-03-14,3.300000,3.440000,3.300000,3.440000,3.440000,1301500
2017-03-15,3.440000,3.480000,3.400000,3.440000,3.440000,879100
2017-03-16,3.500000,3.580000,3.460000,3.580000,3.580000,3326300
2017-03-17,3.580000,3.620000,3.540000,3.600000,3.600000,1692100
2017-03-20,3.620000,3.700000,3.580000,3.700000,3.700000,2669200
2017-03-21,3.700000,3.820000,3.700000,3.800000,3.800000,6693700
2017-03-22,3.780000,3.860000,3.700000,3.820000,3.820000,9542900
2017-03-23,3.840000,3.840000,3.700000,3.700000,3.700000,3340700
2017-03-24,3.760000,3.760000,3.660000,3.680000,3.680000,1381600
2017-03-27,3.660000,3.720000,3.660000,3.680000,3.680000,499800
2017-03-28,3.640000,3.660000,3.560000,3.560000,3.560000,1225400
2017-03-29,3.560000,3.660000,3.500000,3.620000,3.620000,1237500
2017-03-30,3.620000,3.640000,3.580000,3.640000,3.640000,414000
2017-03-31,3.640000,3.640000,3.580000,3.600000,3.600000,571300
2017-04-03,3.600000,3.600000,3.560000,3.600000,3.600000,470800
2017-04-04,3.600000,3.600000,3.540000,3.600000,3.600000,198300
2017-04-05,3.580000,3.660000,3.580000,3.640000,3.640000,414000
2017-04-07,3.640000,3.640000,3.580000,3.620000,3.620000,313500
2017-04-10,3.660000,3.660000,3.580000,3.620000,3.620000,167600
2017-04-11,3.620000,3.620000,3.580000,3.600000,3.600000,268400
2017-04-12,3.580000,3.600000,3.560000,3.580000,3.580000,502300
2017-04-17,3.580000,3.600000,3.520000,3.560000,3.560000,242000
2017-04-18,3.580000,3.760000,3.560000,3.560000,3.560000,1514300
2017-04-19,3.580000,3.700000,3.580000,3.600000,3.600000,3615300
2017-04-20,3.600000,3.660000,3.580000,3.580000,3.580000,790600
2017-04-21,3.600000,3.660000,3.540000,3.600000,3.600000,595100
2017-04-24,3.560000,3.580000,3.540000,3.560000,3.560000,467700
2017-04-25,3.560000,3.580000,3.420000,3.460000,3.460000,482300
2017-04-26,3.420000,3.520000,3.420000,3.480000,3.480000,378700
2017-04-27,3.500000,3.540000,3.460000,3.500000,3.500000,746000
2017-04-28,3.520000,3.600000,3.500000,3.540000,3.540000,2788400
2017-05-02,3.580000,3.580000,3.520000,3.540000,3.540000,226500
2017-05-03,3.540000,3.560000,3.540000,3.540000,3.540000,630200
2017-05-04,3.560000,3.640000,3.560000,3.620000,3.620000,2441600
2017-05-08,3.580000,3.580000,3.560000,3.580000,3.580000,99900
