Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,5.750000,5.900000,5.750000,5.800000,4.568698,740400
2017-01-05,5.850000,5.900000,5.800000,5.800000,4.568698,649000
2017-01-06,5.800000,5.850000,5.600000,5.700000,4.489928,2325800
2017-01-09,5.700000,5.900000,5.700000,5.850000,4.608083,3500800
2017-01-10,5.900000,6.200000,5.900000,6.050000,4.765625,7596600
2017-01-11,6.050000,6.250000,6.050000,6.150000,4.844395,2770400
2017-01-12,6.250000,6.300000,6.150000,6.200000,4.883780,1131600
2017-01-16,6.150000,6.450000,6.150000,6.450000,5.080707,5967000
2017-01-17,6.400000,6.450000,6.200000,6.200000,4.883780,3440000
2017-01-18,6.250000,6.250000,6.150000,6.200000,4.883780,711200
2017-01-19,6.150000,6.200000,6.050000,6.100000,4.805010,1324800
2017-01-20,6.100000,6.200000,6.050000,6.100000,4.805010,493400
2017-01-23,6.200000,6.200000,6.100000,6.150000,4.844395,432200
2017-01-24,6.250000,6.250000,6.000000,6.100000,4.805010,2422000
2017-01-25,6.100000,6.150000,6.050000,6.100000,4.805010,379400
2017-01-26,6.100000,6.150000,6.000000,6.050000,4.765625,451200
2017-01-27,6.150000,6.150000,6.000000,6.050000,4.765625,402400
2017-01-30,6.100000,6.150000,6.050000,6.050000,4.765625,362600
2017-01-31,6.050000,6.100000,6.000000,6.050000,4.765625,349000
2017-02-01,6.100000,6.200000,6.050000,6.100000,4.805010,1569800
2017-02-02,6.150000,6.150000,6.050000,6.050000,4.765625,251600
2017-02-03,6.050000,6.150000,6.050000,6.150000,4.844395,149000
2017-02-06,6.150000,6.200000,6.100000,6.200000,4.883780,901000
2017-02-07,6.200000,6.450000,6.100000,6.100000,4.805010,5246400
2017-02-08,6.300000,6.400000,6.250000,6.250000,4.923166,4627800
2017-02-09,6.300000,6.550000,6.300000,6.400000,5.041322,10150400
2017-02-10,6.450000,6.500000,6.400000,6.400000,5.041322,3254000
2017-02-14,6.450000,6.450000,6.350000,6.400000,5.041322,1567200
2017-02-15,6.400000,6.450000,6.300000,6.350000,5.001936,1564800
2017-02-16,7.250000,7.700000,7.150000,7.250000,5.710873,26361600
2017-02-17,7.350000,7.750000,7.300000,7.650000,6.025956,28359400
2017-02-20,7.700000,7.850000,7.450000,7.500000,5.907799,19779400
2017-02-21,7.500000,7.600000,7.450000,7.550000,5.947186,7062400
2017-02-22,7.500000,7.550000,7.350000,7.350000,5.789643,6494200
2017-02-23,7.250000,7.350000,7.000000,7.250000,5.710873,11815800
2017-02-24,7.300000,7.300000,7.100000,7.200000,5.671487,7835600
2017-02-27,7.200000,7.350000,7.100000,7.150000,5.632102,7319400
2017-02-28,7.200000,7.300000,7.150000,7.200000,5.671487,8975200
2017-03-01,7.250000,7.250000,6.850000,7.000000,5.513946,14675400
2017-03-02,6.850000,7.450000,6.800000,7.150000,6.009865,10860900
2017-03-03,7.150000,7.250000,7.050000,7.200000,6.051892,3044100
2017-03-06,7.200000,7.350000,7.150000,7.150000,6.009865,1246700
2017-03-07,7.200000,7.200000,7.050000,7.050000,5.925811,816800
2017-03-08,7.100000,7.150000,6.700000,6.850000,5.757703,2104500
2017-03-09,6.850000,6.950000,6.850000,6.850000,5.757703,402700
2017-03-10,6.850000,7.000000,6.700000,6.850000,5.757703,1501100
2017-03-13,6.850000,7.000000,6.750000,6.900000,5.799730,1208200
2017-03-14,6.900000,7.050000,6.850000,7.000000,5.883784,691800
