Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,7.800000,8.000000,7.800000,8.000000,7.795451,1265700
2017-01-05,8.000000,8.000000,7.850000,7.900000,7.698008,1004500
2017-01-06,7.900000,8.050000,7.850000,7.900000,7.698008,2104600
2017-01-09,7.950000,8.050000,7.950000,8.000000,7.795451,1392600
2017-01-10,8.000000,8.300000,8.000000,8.200000,7.990337,5888600
2017-01-11,8.300000,8.900000,8.300000,8.550000,8.331388,19843400
2017-01-12,8.750000,9.400000,8.700000,9.350000,9.110934,29594100
2017-01-16,9.450000,9.550000,9.350000,9.500000,9.257099,3016200
2017-01-17,9.700000,9.850000,9.200000,9.200000,8.964769,5399100
2017-01-18,9.300000,9.550000,9.000000,9.050000,8.818604,6684100
2017-01-19,9.100000,9.350000,8.900000,9.200000,8.964769,12269800
2017-01-20,9.200000,9.300000,9.150000,9.250000,9.013491,3748600
2017-01-23,9.300000,9.500000,9.250000,9.500000,9.257099,5709800
2017-01-24,9.500000,9.550000,9.300000,9.350000,9.110934,2567000
2017-01-25,9.300000,9.500000,9.300000,9.350000,9.110934,1758100
2017-01-26,9.400000,9.400000,9.100000,9.100000,8.867326,1912800
2017-01-27,9.000000,9.700000,9.000000,9.700000,9.451985,11515500
2017-01-30,9.650000,9.850000,9.450000,9.450000,9.208377,7086500
2017-01-31,9.450000,9.500000,9.350000,9.400000,9.159656,3646100
2017-02-01,9.350000,9.450000,9.350000,9.400000,9.159656,2334700
2017-02-02,9.400000,9.400000,9.250000,9.250000,9.013491,2098300
2017-02-03,9.300000,9.400000,9.200000,9.400000,9.159656,1930100
2017-02-06,9.400000,9.600000,9.300000,9.550000,9.305820,3477800
2017-02-07,9.600000,9.600000,9.450000,9.550000,9.305820,2024700
2017-02-08,9.500000,9.950000,9.500000,9.950000,9.695593,15003200
2017-02-09,10.100000,10.200000,10.000000,10.000000,9.744314,7585700
2017-02-10,10.000000,10.100000,9.800000,10.100000,9.841758,4999000
2017-02-14,10.200000,10.200000,9.900000,10.000000,9.744314,1729700
2017-02-15,9.950000,10.100000,9.700000,9.800000,9.549428,3138400
2017-02-16,9.750000,9.850000,9.500000,9.500000,9.257099,3875600
2017-02-17,9.450000,9.600000,9.450000,9.450000,9.208377,1343800
2017-02-20,9.500000,9.500000,9.300000,9.300000,9.062213,1178000
2017-02-21,9.300000,9.450000,9.300000,9.400000,9.159656,539700
2017-02-22,9.350000,9.450000,8.850000,8.950000,8.721161,5590600
2017-02-23,9.000000,9.650000,9.000000,9.550000,9.305820,6940400
2017-02-24,9.600000,9.650000,9.450000,9.650000,9.403263,2884800
2017-02-27,9.650000,9.650000,9.400000,9.450000,9.208377,1681000
2017-02-28,9.400000,9.450000,9.200000,9.250000,9.013491,1135600
2017-03-01,9.200000,9.450000,9.200000,9.300000,9.062213,937400
2017-03-02,9.350000,9.550000,9.350000,9.400000,9.159656,1104500
2017-03-03,9.450000,9.450000,9.350000,9.450000,9.208377,388000
2017-03-06,9.400000,9.400000,9.300000,9.300000,9.062213,352800
2017-03-07,9.300000,9.300000,9.100000,9.100000,8.867326,1182500
2017-03-08,9.100000,9.100000,8.850000,9.050000,8.818604,1557900
2017-03-09,8.900000,9.050000,8.900000,9.000000,8.769882,1159700
2017-03-10,8.900000,9.200000,8.900000,9.150000,8.916047,545500
2017-03-13,9.050000,9.050000,8.900000,8.950000,8.721161,772900
2017-03-14,8.950000,8.950000,8.700000,8.750000,8.526275,2359300
2017-03-15,8.800000,8.950000,8.700000,8.800000,8.574996,1010200
2017-03-16,8.800000,9.100000,8.800000,9.050000,8.818604,1069100
2017-03-17,9.050000,9.100000,8.950000,9.100000,8.867326,459200
2017-03-20,9.000000,9.350000,9.000000,9.250000,9.013491,1275100
2017-03-21,9.250000,9.300000,9.200000,9.250000,9.013491,441100
2017-03-22,9.300000,9.450000,9.250000,9.250000,9.013491,2001000
2017-03-23,9.300000,9.350000,9.250000,9.250000,9.013491,368400
2017-03-24,9.300000,9.300000,9.150000,9.150000,8.916047,603500
2017-03-27,9.100000,9.200000,8.550000,8.600000,8.380110,6580800
2017-03-28,8.700000,8.900000,8.650000,8.750000,8.526275,2106100
2017-03-29,8.750000,8.900000,8.750000,8.800000,8.574996,1715600
2017-03-30,8.900000,8.900000,8.700000,8.850000,8.623718,1077900
2017-03-31,8.850000,8.900000,8.800000,8.900000,8.672439,322700
2017-04-03,8.850000,9.000000,8.800000,8.950000,8.721161,927100
2017-04-04,8.950000,9.250000,8.950000,9.100000,8.867326,3130600
2017-04-05,9.250000,9.300000,9.150000,9.250000,9.013491,1693100
2017-04-07,9.300000,9.300000,9.100000,9.150000,8.916047,553200
2017-04-10,9.150000,9.200000,9.000000,9.100000,8.867326,1567600
2017-04-11,9.100000,9.200000,8.950000,9.100000,8.867326,2510000
2017-04-12,8.900000,8.950000,8.800000,8.900000,8.672439,661900
2017-04-17,8.800000,8.800000,8.600000,8.600000,8.380110,1453100
2017-04-18,8.650000,8.950000,8.650000,8.900000,8.672439,1276800
2017-04-19,8.850000,8.950000,8.850000,8.900000,8.672439,719000
2017-04-20,8.850000,8.850000,8.750000,8.850000,8.623718,291800
2017-04-21,8.900000,8.900000,8.750000,8.900000,8.672439,845500
2017-04-24,9.000000,9.100000,8.900000,9.000000,8.769882,1477200
2017-04-25,9.100000,9.200000,9.000000,9.150000,8.916047,2217800
2017-04-26,9.150000,9.350000,9.150000,9.300000,9.062213,4242900
2017-04-27,9.350000,9.350000,9.000000,9.050000,8.818604,1733300
2017-04-28,9.100000,9.200000,9.050000,9.150000,8.916047,1088300
2017-05-02,9.300000,9.300000,9.200000,9.250000,9.013491,1215500
2017-05-03,9.300000,9.750000,9.300000,9.700000,9.451985,21168400
2017-05-04,9.750000,9.750000,9.550000,9.700000,9.451985,7917700
2017-05-08,9.650000,9.650000,9.500000,9.500000,9.257099,1772200
2017-05-09,9.500000,9.500000,9.300000,9.350000,9.110934,1006500
2017-05-11,9.350000,9.400000,8.850000,9.150000,8.916047,2386600
2017-05-12,9.150000,9.150000,8.850000,8.900000,8.672439,2750000
2017-05-15,8.850000,8.850000,8.850000,8.850000,8.623718,179200
2017-05-16,8.800000,9.100000,8.800000,9.050000,8.818604,732400
2017-05-17,9.100000,9.250000,9.100000,9.150000,8.916047,912200
2017-05-18,9.000000,9.300000,9.000000,9.200000,8.964769,1275000
2017-05-19,9.250000,9.500000,9.250000,9.500000,9.257099,5919600
2017-05-22,9.550000,9.650000,9.500000,9.550000,9.305820,4141600
2017-05-23,9.650000,9.850000,9.600000,9.800000,9.549428,8206400
2017-05-24,9.850000,9.850000,9.600000,9.700000,9.451985,3314500
2017-05-25,9.650000,9.850000,9.500000,9.500000,9.257099,2264000
2017-05-26,9.500000,9.700000,9.450000,9.550000,9.305820,2068000
2017-05-29,9.650000,9.650000,9.400000,9.450000,9.208377,2373400
2017-05-30,9.500000,9.600000,9.500000,9.550000,9.305820,1269800
2017-05-31,9.650000,9.700000,9.550000,9.550000,9.305820,1285600
2017-06-01,9.550000,9.650000,9.500000,9.550000,9.305820,1224600
2017-06-02,9.550000,9.600000,9.450000,9.450000,9.208377,2023100
2017-06-05,9.450000,9.550000,9.450000,9.500000,9.257099,801400
2017-06-06,9.550000,9.600000,9.250000,9.250000,9.013491,3088200
2017-06-07,9.250000,9.450000,9.250000,9.250000,9.013491,1912400
2017-06-08,9.300000,9.500000,9.250000,9.300000,9.062213,1753000
2017-06-09,9.300000,9.350000,9.200000,9.300000,9.062213,1347200
2017-06-12,9.350000,9.600000,9.350000,9.500000,9.257099,4129400
2017-06-13,9.550000,9.800000,9.550000,9.700000,9.451985,6278400
2017-06-14,9.750000,10.400000,9.750000,10.400000,10.134087,21004400
2017-06-15,10.400000,11.400000,10.100000,11.300000,11.011075,26539800
2017-06-16,11.300000,11.700000,11.000000,11.000000,10.718745,18695200
2017-06-19,11.100000,11.800000,11.100000,11.600000,11.303405,16675600
2017-06-20,11.500000,11.900000,11.100000,11.200000,10.913631,7471100
2017-06-21,11.200000,11.300000,10.900000,11.300000,11.011075,3761600
2017-06-22,11.300000,12.000000,11.200000,11.900000,11.595734,17221800
2017-06-23,12.100000,12.200000,11.700000,11.900000,11.595734,4960200
2017-06-26,12.000000,12.000000,11.700000,11.900000,11.595734,3356300
2017-06-27,12.100000,12.700000,12.000000,12.500000,12.180392,22759800
