Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,5.950000,5.950000,5.800000,5.850000,5.850000,5300
2017-01-05,5.850000,5.850000,5.800000,5.800000,5.800000,6400
2017-01-06,6.200000,6.200000,6.200000,6.200000,6.200000,100
2017-01-09,null,null,null,null,null,null
2017-01-10,5.700000,6.100000,5.650000,5.850000,5.850000,61400
2017-01-11,5.750000,5.800000,5.650000,5.800000,5.800000,47000
2017-01-12,5.800000,5.900000,5.800000,5.900000,5.900000,21000
2017-01-16,5.700000,6.000000,5.700000,5.850000,5.850000,13100
2017-01-17,5.700000,5.900000,5.700000,5.850000,5.850000,11200
2017-01-18,null,null,null,null,null,null
2017-01-19,5.700000,5.900000,5.700000,5.900000,5.900000,3800
2017-01-20,5.700000,5.900000,5.650000,5.900000,5.900000,3400
2017-01-23,null,null,null,null,null,null
2017-01-24,5.900000,5.900000,5.900000,5.900000,5.900000,15200
2017-01-25,5.700000,5.800000,5.700000,5.800000,5.800000,15600
2017-01-26,5.700000,5.750000,5.650000,5.650000,5.650000,1200
2017-01-27,5.650000,5.750000,5.650000,5.750000,5.750000,1200
2017-01-30,5.750000,5.750000,5.750000,5.750000,5.750000,10000
2017-01-31,5.750000,5.800000,5.700000,5.800000,5.800000,5300
2017-02-01,5.700000,5.850000,5.700000,5.800000,5.800000,56200
2017-02-02,5.800000,6.100000,5.800000,6.050000,6.050000,97200
2017-02-03,5.950000,6.100000,5.950000,6.100000,6.100000,13400
2017-02-06,6.050000,6.050000,5.950000,6.000000,6.000000,11100
2017-02-07,5.900000,5.950000,5.900000,5.950000,5.950000,2200
2017-02-08,5.950000,6.000000,5.900000,6.000000,6.000000,2200
2017-02-09,5.900000,5.900000,5.900000,5.900000,5.900000,2500
2017-02-10,5.850000,5.900000,5.700000,5.900000,5.900000,30100
2017-02-14,5.850000,5.950000,5.850000,5.950000,5.950000,5400
2017-02-15,5.850000,5.950000,5.850000,5.950000,5.950000,3900
2017-02-16,5.950000,5.950000,5.950000,5.950000,5.950000,1000
2017-02-17,null,null,null,null,null,null
2017-02-20,5.800000,5.950000,5.800000,5.950000,5.950000,10100
2017-02-21,5.800000,5.900000,5.800000,5.900000,5.900000,2600
2017-02-22,null,null,null,null,null,null
2017-02-23,null,null,null,null,null,null
2017-02-24,null,null,null,null,null,null
2017-02-27,null,null,null,null,null,null
2017-02-28,6.000000,6.050000,6.000000,6.050000,6.050000,4300
2017-03-01,6.000000,6.100000,6.000000,6.100000,6.100000,24800
2017-03-02,6.100000,6.100000,6.100000,6.100000,6.100000,5000
2017-03-03,6.000000,6.000000,5.900000,5.950000,5.950000,26200
2017-03-06,5.950000,6.050000,5.900000,6.050000,6.050000,10100
2017-03-07,5.900000,6.000000,5.900000,6.000000,6.000000,6200
2017-03-08,null,null,null,null,null,null
2017-03-09,5.900000,5.900000,5.850000,5.850000,5.850000,11000
2017-03-10,5.850000,5.850000,5.850000,5.850000,5.850000,9500
2017-03-13,5.850000,5.850000,5.800000,5.800000,5.800000,10200
2017-03-14,null,null,null,null,null,null
2017-03-15,5.800000,6.050000,5.700000,6.050000,6.050000,33100
2017-03-16,5.800000,5.800000,5.800000,5.800000,5.800000,2100
2017-03-17,5.800000,5.950000,5.750000,5.950000,5.950000,29300
2017-03-20,5.800000,5.950000,5.750000,5.950000,5.950000,8400
