Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,10.852000,10.852000,10.380200,10.380200,10.186538,2352989
2017-01-05,10.380200,10.946400,10.380200,10.663200,10.464257,1766119
2017-01-06,10.757600,10.757600,10.568900,10.663200,10.464257,1093943
2017-01-09,10.757600,11.512500,10.663200,11.512500,11.297711,2043658
2017-01-10,11.512500,11.701300,11.323800,11.512500,11.297711,2142530
2017-01-11,11.418200,11.701300,11.135100,11.135100,10.927353,1492925
2017-01-12,11.229400,11.229400,10.946400,10.946400,10.742173,964976
2017-01-16,10.663200,11.040700,10.285800,10.285800,10.093898,3676572
2017-01-17,10.380200,10.568900,10.380200,10.380200,10.186538,843214
2017-01-18,10.380200,10.946400,10.380200,10.663200,10.464257,2403219
2017-01-19,10.852000,10.852000,10.568900,10.663200,10.464257,519366
2017-01-20,10.757600,10.757600,10.663200,10.663200,10.464257,409897
2017-01-23,10.568900,11.040700,10.568900,10.946400,10.742173,900863
2017-01-24,11.135100,11.135100,10.757600,10.757600,10.556895,946431
2017-01-25,10.663200,10.757600,10.663200,10.757600,10.556895,253166
2017-01-26,10.663200,10.852000,10.663200,10.663200,10.464257,747628
2017-01-27,10.757600,10.757600,10.568900,10.757600,10.556895,102474
2017-01-30,10.663200,10.946400,10.663200,10.757600,10.556895,225295
2017-01-31,10.852000,10.946400,10.757600,10.757600,10.556895,671965
2017-02-01,10.946400,10.946400,10.757600,10.757600,10.556895,178032
2017-02-02,10.663200,10.946400,10.474500,10.663200,10.464257,841307
2017-02-03,10.663200,11.229400,10.663200,11.229400,11.019893,2914743
2017-02-06,11.323800,11.323800,11.135100,11.229400,11.019893,1314575
2017-02-07,11.323800,11.323800,10.946400,11.323800,11.112533,682350
2017-02-08,11.323800,11.323800,10.946400,10.946400,10.742173,322259
2017-02-09,10.946400,11.040700,10.946400,10.946400,10.742173,173475
2017-02-10,10.946400,11.701300,10.946400,11.512500,11.297711,4030622
2017-02-14,11.606900,11.984400,11.512500,11.512500,11.297711,4019919
2017-02-15,11.512500,11.795600,11.323800,11.418200,11.205171,1353361
2017-02-16,11.418200,11.890000,11.418200,11.606900,11.390350,1853122
2017-02-17,11.606900,12.550600,11.606900,12.550600,12.316443,16490421
2017-02-20,12.361800,13.022400,12.267500,12.550600,12.316443,11826302
2017-02-21,12.644900,12.833600,11.984400,12.078700,11.853348,6415932
2017-02-22,12.078700,12.173100,11.701300,12.173100,11.945988,2111268
2017-02-23,12.267500,12.833600,12.078700,12.833600,12.594164,8022141
2017-02-24,12.833600,13.305500,12.739300,12.739300,12.501623,8157149
2017-02-27,12.739300,13.211100,12.456200,13.116700,12.871983,4710323
2017-02-28,13.022400,13.588600,12.833600,13.399800,13.149800,6772102
2017-03-01,13.588600,13.588600,12.833600,12.928000,12.686803,5078149
2017-03-02,12.928000,13.494200,12.928000,13.211100,12.964621,4041537
2017-03-03,13.116700,13.588600,13.022400,13.399800,13.149800,6341329
2017-03-06,13.116700,13.305500,12.928000,13.116700,13.116700,1956868
2017-03-07,13.116700,13.211100,12.550600,12.550600,12.550600,2118474
2017-03-08,12.456200,12.644900,11.701300,12.173100,12.173100,6897678
2017-03-09,12.078700,12.267500,11.984400,12.078700,12.078700,1818363
2017-03-10,12.173100,12.361800,11.229400,11.606900,11.606900,3609598
2017-03-13,11.512500,11.701300,11.135100,11.701300,11.701300,3885229
2017-03-14,11.606900,12.267500,11.606900,12.173100,12.173100,2793300
2017-03-15,12.267500,12.267500,11.606900,11.795600,11.795600,1383563
2017-03-16,11.795600,12.267500,11.795600,12.267500,12.267500,1156360
2017-03-17,12.361800,12.644900,12.173100,12.267500,12.267500,1609812
2017-03-20,12.550600,12.550600,12.267500,12.550600,12.550600,1581729
2017-03-21,12.644900,13.022400,12.644900,13.022400,13.022400,2530279
2017-03-22,12.928000,13.116700,12.644900,12.739300,12.739300,2732155
2017-03-23,12.833600,13.211100,12.550600,13.116700,13.116700,3725319
2017-03-24,13.116700,13.211100,12.833600,12.833600,12.833600,2048533
2017-03-27,12.928000,13.116700,12.550600,12.833600,12.833600,3525457
2017-03-28,12.928000,13.211100,12.833600,12.833600,12.833600,2536955
2017-03-29,12.833600,12.928000,12.550600,12.644900,12.644900,1289990
2017-03-30,12.644900,12.644900,12.267500,12.456200,12.456200,1688230
2017-03-31,12.361800,12.456200,12.361800,12.361800,12.361800,438722
2017-04-03,12.361800,12.833600,12.361800,12.739300,12.739300,1065860
2017-04-04,12.739300,13.116700,12.739300,12.928000,12.928000,2776345
2017-04-05,12.928000,12.928000,12.644900,12.644900,12.644900,1136437
2017-04-07,12.644900,12.833600,12.644900,12.739300,12.739300,650558
2017-04-10,12.644900,12.739300,12.361800,12.456200,12.456200,1084829
2017-04-11,12.456200,12.644900,12.456200,12.550600,12.550600,865468
2017-04-12,12.644900,12.644900,12.361800,12.550600,12.550600,629046
2017-04-17,12.456200,12.550600,12.267500,12.550600,12.550600,1660996
2017-04-18,12.456200,12.928000,12.456200,12.833600,12.833600,2556560
2017-04-19,12.928000,13.494200,12.739300,13.399800,13.399800,8178025
2017-04-20,13.494200,13.966000,13.399800,13.966000,13.966000,8030725
2017-04-21,14.060400,14.154800,13.777300,13.966000,13.966000,4150794
2017-04-24,14.060400,14.154800,13.871700,13.871700,13.871700,1767497
2017-04-25,13.966000,14.626600,13.966000,14.626600,14.626600,11421597
2017-04-26,14.437900,14.721000,14.060400,14.343500,14.343500,5178928
2017-04-27,14.249100,14.721000,13.777300,13.966000,13.966000,11711853
2017-04-28,13.966000,13.966000,13.588600,13.682900,13.682900,4284636
2017-05-02,13.777300,14.060400,13.588600,13.588600,13.588600,3730087
2017-05-03,13.682900,14.154800,13.682900,13.777300,13.777300,5181154
2017-05-04,13.871700,13.966000,13.777300,13.777300,13.777300,1386424
2017-05-08,13.966000,14.060400,13.871700,13.966000,13.966000,1078895
2017-05-09,13.966000,13.966000,13.022400,13.211100,13.211100,4313036
2017-05-11,11.606900,11.701300,10.474500,10.474500,10.474500,14295542
2017-05-12,9.908330,10.002700,9.530870,9.908330,9.908330,12509818
2017-05-15,9.719600,9.719600,9.719600,9.719600,9.719600,459174
2017-05-16,9.719600,10.191400,9.719600,10.097100,10.097100,3913630
2017-05-17,10.097100,10.097100,9.908330,9.908330,9.908330,1754145
2017-05-18,9.719600,10.285800,9.719600,10.097100,10.097100,3897840
2017-05-19,10.097100,10.380200,10.002700,10.097100,10.097100,2703012
2017-05-22,10.097100,10.380200,10.002700,10.285800,10.285800,1735600
2017-05-23,10.380200,10.757600,10.191400,10.757600,10.757600,3703700
2017-05-24,10.852000,10.946400,10.568900,10.663200,10.663200,2607214
2017-05-25,10.663200,10.946400,10.380200,10.852000,10.852000,3431460
2017-05-26,11.135100,11.418200,11.040700,11.229400,11.229400,4884752
2017-05-29,11.323800,11.323800,10.852000,10.946400,10.946400,2157472
2017-05-30,10.946400,11.135100,10.852000,11.040700,11.040700,458644
2017-05-31,11.229400,11.229400,10.852000,10.946400,10.946400,963068
2017-06-01,10.946400,11.135100,10.852000,10.946400,10.946400,638690
2017-06-02,10.946400,10.946400,10.852000,10.946400,10.946400,895458
2017-06-05,10.946400,11.135100,10.946400,10.946400,10.946400,520955
2017-06-06,10.946400,11.606900,10.946400,11.512500,11.512500,4898104
2017-06-07,11.512500,11.606900,11.323800,11.418200,11.418200,1021670
2017-06-08,11.418200,11.418200,11.135100,11.323800,11.323800,389233
2017-06-09,11.512500,11.512500,11.418200,11.418200,11.418200,554336
2017-06-12,11.418200,11.418200,11.229400,11.323800,11.323800,782387
2017-06-13,11.701300,11.701300,11.512500,11.512500,11.512500,1082074
2017-06-14,11.606900,11.606900,11.323800,11.512500,11.512500,521273
2017-06-15,11.512500,11.795600,11.418200,11.418200,11.418200,2383827
2017-06-16,11.606900,11.606900,11.418200,11.418200,11.418200,814602
2017-06-19,11.418200,11.606900,11.323800,11.323800,11.323800,562602
2017-06-20,11.418200,11.512500,11.323800,11.323800,11.323800,401208
2017-06-21,11.323800,11.418200,11.135100,11.229400,11.229400,528373
2017-06-22,11.135100,11.323800,11.135100,11.229400,11.229400,166163
2017-06-23,11.229400,11.323800,11.135100,11.229400,11.229400,144969
2017-06-26,11.229400,11.512500,11.229400,11.418200,11.418200,647485
2017-06-27,11.512500,11.512500,11.135100,11.135100,11.135100,858792
2017-06-28,11.135100,11.229400,11.040700,11.040700,11.040700,386478
2017-06-29,11.135100,11.323800,11.135100,11.135100,11.135100,332326
2017-06-30,11.135100,11.229400,10.946400,11.135100,11.135100,865468
2017-07-03,11.135100,11.229400,11.040700,11.135100,11.135100,557727
2017-07-04,11.135100,11.323800,11.135100,11.135100,11.135100,869601
2017-07-05,11.135100,11.229400,11.135100,11.229400,11.229400,677687
2017-07-06,11.229400,11.512500,11.229400,11.418200,11.418200,1150955
2017-07-07,11.323800,11.795600,11.323800,11.701300,11.701300,2701953
2017-07-11,11.795600,11.890000,11.606900,11.701300,11.701300,888782
2017-07-12,11.890000,11.890000,11.701300,11.701300,11.701300,908599
2017-07-13,11.795600,12.078700,11.701300,11.890000,11.890000,2637734
2017-07-14,11.984400,11.984400,11.795600,11.890000,11.890000,628834
2017-07-17,11.890000,12.550600,11.795600,12.456200,12.456200,3916067
2017-07-18,12.361800,12.644900,12.173100,12.361800,12.361800,2523921
2017-07-19,12.361800,12.644900,12.361800,12.550600,12.550600,985322
2017-07-20,12.644900,12.739300,12.267500,12.361800,12.361800,1271127
2017-07-21,12.361800,12.456200,12.173100,12.267500,12.267500,593122
2017-07-24,12.361800,12.644900,12.267500,12.550600,12.550600,1453292
2017-07-25,12.644900,12.833600,12.550600,12.644900,12.644900,1653790
2017-07-26,12.739300,13.211100,12.739300,13.116700,13.116700,4169127
2017-07-27,13.116700,13.211100,12.928000,13.022400,13.022400,1152015
2017-07-31,13.116700,13.211100,12.456200,12.739300,12.739300,3251944
2017-08-01,12.739300,12.739300,12.078700,12.644900,12.644900,1244210
2017-08-02,12.739300,12.833600,12.550600,12.550600,12.550600,1048375
2017-08-03,12.644900,12.833600,12.550600,12.739300,12.739300,602129
2017-08-04,12.833600,12.928000,12.550600,12.550600,12.550600,1162400
2017-08-07,12.456200,12.550600,12.267500,12.361800,12.361800,893763
2017-08-08,12.361800,12.361800,12.078700,12.078700,12.078700,772849
2017-08-09,12.173100,12.267500,12.173100,12.267500,12.267500,289196
2017-08-10,12.173100,12.267500,11.984400,11.984400,11.984400,616648
2017-08-11,12.078700,12.078700,11.606900,11.701300,11.701300,572140
2017-08-15,11.512500,11.606900,10.191400,10.285800,10.285800,8089115
