Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,4.100000,4.100000,4.080000,4.100000,3.508929,71700
2017-01-05,4.200000,4.340000,4.140000,4.300000,3.680097,1031600
2017-01-06,4.360000,5.100000,4.340000,4.580000,3.919730,5803900
2017-01-09,4.600000,4.600000,4.420000,4.520000,3.868380,708700
2017-01-10,4.540000,4.640000,4.520000,4.520000,3.868380,237200
2017-01-11,4.500000,4.580000,4.420000,4.420000,3.782797,185100
2017-01-12,4.500000,4.520000,4.400000,4.400000,3.765680,84200
2017-01-16,4.400000,4.420000,4.360000,4.400000,3.765680,136100
2017-01-17,4.400000,4.420000,4.320000,4.340000,3.714330,184600
2017-01-18,4.380000,4.380000,4.240000,4.280000,3.662980,372400
2017-01-19,4.220000,4.220000,4.060000,4.120000,3.526046,369000
2017-01-20,4.060000,4.240000,4.060000,4.140000,3.543163,66000
2017-01-23,4.160000,4.300000,4.160000,4.280000,3.662980,165200
2017-01-24,4.320000,4.320000,4.220000,4.220000,3.611629,94500
2017-01-25,4.220000,4.240000,4.200000,4.200000,3.594513,102900
2017-01-26,4.260000,4.500000,4.200000,4.280000,3.662980,289000
2017-01-27,4.280000,4.300000,4.220000,4.220000,3.611629,43900
2017-01-30,4.400000,4.400000,4.240000,4.280000,3.662980,71800
2017-01-31,4.260000,4.320000,4.260000,4.320000,3.697214,71300
2017-02-01,4.380000,4.380000,4.260000,4.300000,3.680097,34800
2017-02-02,4.300000,4.320000,4.280000,4.280000,3.662980,40700
2017-02-03,4.280000,4.380000,4.280000,4.320000,3.697214,8600
2017-02-06,4.340000,4.340000,4.280000,4.280000,3.662980,1500
2017-02-07,4.320000,4.320000,4.280000,4.280000,3.662980,20400
2017-02-08,4.280000,4.280000,4.240000,4.260000,3.645864,21000
2017-02-09,4.240000,4.300000,4.240000,4.260000,3.645864,58100
2017-02-10,4.260000,4.260000,4.260000,4.260000,3.645864,13600
2017-02-14,4.260000,4.260000,4.260000,4.260000,3.645864,58100
2017-02-15,4.280000,4.380000,4.220000,4.220000,3.611629,92600
2017-02-16,4.260000,4.260000,4.260000,4.260000,3.645864,23000
2017-02-17,4.380000,4.540000,4.380000,4.440000,3.799914,2085100
2017-02-20,4.480000,4.480000,4.400000,4.420000,3.782797,524000
2017-02-21,4.440000,4.440000,4.380000,4.380000,3.748564,216100
2017-02-22,4.380000,4.420000,4.360000,4.360000,3.731447,151000
2017-02-23,4.380000,4.380000,4.300000,4.380000,3.748564,176400
2017-02-24,4.380000,4.420000,4.380000,4.420000,3.782797,227400
2017-02-27,4.460000,4.460000,4.400000,4.440000,3.799914,87400
2017-02-28,4.460000,4.480000,4.420000,4.440000,3.799914,231700
2017-03-01,4.440000,4.440000,4.400000,4.420000,3.782797,287500
2017-03-02,4.420000,4.420000,4.400000,4.400000,3.765680,121700
2017-03-03,4.480000,4.480000,4.400000,4.400000,3.765680,28400
2017-03-06,4.400000,4.420000,4.400000,4.400000,3.765680,93300
2017-03-07,4.400000,4.420000,4.400000,4.400000,3.765680,48200
