Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,7.050000,7.300000,7.050000,7.300000,7.300000,14355800
2017-01-05,7.350000,7.350000,7.200000,7.200000,7.200000,8079400
2017-01-06,7.250000,7.300000,7.150000,7.300000,7.300000,5149200
2017-01-09,7.250000,7.600000,7.250000,7.550000,7.550000,29646200
2017-01-10,7.550000,8.150000,7.550000,8.150000,8.150000,44276000
2017-01-11,8.200000,8.200000,8.000000,8.150000,8.150000,12374100
2017-01-12,8.200000,8.350000,7.700000,7.800000,7.800000,23815600
2017-01-16,8.050000,8.400000,7.900000,8.400000,8.400000,20801700
2017-01-17,8.450000,8.500000,8.250000,8.350000,8.350000,18528600
2017-01-18,8.450000,8.450000,8.000000,8.000000,8.000000,18068000
2017-01-19,7.950000,8.200000,7.950000,8.000000,8.000000,13146300
2017-01-20,8.000000,8.200000,8.000000,8.150000,8.150000,6161200
2017-01-23,8.200000,8.300000,8.100000,8.150000,8.150000,5973200
2017-01-24,8.200000,8.350000,8.100000,8.200000,8.200000,6713200
2017-01-25,8.300000,8.300000,8.050000,8.050000,8.050000,4653200
2017-01-26,8.050000,8.100000,7.800000,7.800000,7.800000,15321600
2017-01-27,7.800000,8.100000,7.800000,8.050000,8.050000,4830800
2017-01-30,8.000000,8.100000,8.000000,8.050000,8.050000,2191300
2017-01-31,8.050000,8.100000,7.950000,7.950000,7.950000,2851600
2017-02-01,8.000000,8.050000,7.950000,7.950000,7.950000,5588700
2017-02-02,7.950000,8.000000,7.800000,7.850000,7.850000,4297300
2017-02-03,7.950000,8.050000,7.800000,7.850000,7.850000,6257300
2017-02-06,7.900000,7.900000,7.250000,7.300000,7.300000,28255600
2017-02-07,7.250000,7.300000,7.000000,7.300000,7.300000,15997800
2017-02-08,7.400000,7.400000,7.200000,7.200000,7.200000,9104900
2017-02-09,7.250000,7.350000,7.150000,7.200000,7.200000,6264000
2017-02-10,7.200000,7.350000,7.200000,7.250000,7.250000,3678200
2017-02-14,7.300000,7.300000,7.200000,7.250000,7.250000,2508800
2017-02-15,7.250000,7.250000,6.950000,7.150000,7.150000,10271400
2017-02-16,7.200000,7.200000,7.000000,7.150000,7.150000,3001300
2017-02-17,7.150000,7.150000,7.050000,7.050000,7.050000,2924400
2017-02-20,7.100000,7.100000,6.950000,7.050000,7.050000,1772100
2017-02-21,7.000000,7.050000,6.950000,6.950000,6.950000,1739800
2017-02-22,6.950000,7.000000,6.850000,7.000000,7.000000,1681900
2017-02-23,6.950000,7.050000,6.900000,6.950000,6.950000,1714600
2017-02-24,6.700000,6.800000,6.550000,6.650000,6.650000,16090200
2017-02-27,6.650000,6.800000,6.500000,6.700000,6.700000,4944400
2017-02-28,6.750000,7.050000,6.700000,7.050000,7.050000,8249100
2017-03-01,7.000000,7.050000,6.900000,6.950000,6.950000,3184500
2017-03-02,7.000000,7.000000,6.850000,6.850000,6.850000,3077800
2017-03-03,6.900000,7.050000,6.900000,7.050000,7.050000,3530400
2017-03-06,7.050000,7.050000,6.850000,6.950000,6.950000,1877300
2017-03-07,6.900000,6.900000,6.850000,6.850000,6.850000,780900
2017-03-08,6.850000,6.850000,6.650000,6.650000,6.650000,4188300
2017-03-09,6.600000,6.800000,6.600000,6.700000,6.700000,905700
2017-03-10,6.700000,6.750000,6.500000,6.500000,6.500000,2852500
2017-03-13,6.500000,6.500000,6.000000,6.200000,6.200000,7329900
2017-03-14,6.250000,6.500000,6.200000,6.500000,6.500000,3292400
2017-03-15,6.500000,6.550000,6.350000,6.450000,6.450000,2577400
2017-03-16,6.500000,6.550000,6.300000,6.350000,6.350000,5793600
2017-03-17,6.350000,6.400000,6.300000,6.350000,6.350000,664600
2017-03-20,6.350000,6.600000,6.350000,6.500000,6.500000,4213300
2017-03-21,6.550000,6.550000,6.450000,6.500000,6.500000,1281800
2017-03-22,6.500000,6.500000,6.350000,6.400000,6.400000,1673200
