Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,10.629500,10.886700,10.458100,10.629500,10.491768,2093983
2017-01-05,10.886700,11.401000,10.886700,11.058100,10.914814,3565487
2017-01-06,11.315300,13.115400,11.229600,12.258200,12.099362,20770561
2017-01-09,12.601100,12.858300,12.343900,12.343900,12.183952,5182112
2017-01-10,12.343900,12.515400,12.001000,12.172500,12.014774,1894034
2017-01-11,12.258200,12.686800,12.172500,12.258200,12.099362,3121493
2017-01-12,12.343900,12.429700,12.086800,12.172500,12.014774,1621058
2017-01-16,12.429700,12.429700,12.258200,12.343900,12.183952,1028210
2017-01-17,12.343900,12.429700,12.001000,12.086800,11.930184,1156882
2017-01-18,12.086800,12.258200,11.401000,11.658200,11.507138,2624070
2017-01-19,11.658200,11.743900,11.572400,11.658200,11.507138,852175
2017-01-20,11.658200,12.343900,11.658200,12.343900,12.183952,2193724
2017-01-23,12.601100,12.944000,12.429700,12.515400,12.353230,9494434
2017-01-24,12.515400,12.686800,12.343900,12.515400,12.353230,1929614
2017-01-25,12.601100,12.601100,12.172500,12.172500,12.014774,1254873
2017-01-26,12.343900,12.515400,12.172500,12.258200,12.099362,1714033
2017-01-27,12.343900,12.429700,12.172500,12.258200,12.099362,440378
2017-01-30,12.343900,12.429700,12.172500,12.172500,12.014774,484357
2017-01-31,12.172500,12.343900,12.172500,12.258200,12.099362,234246
2017-02-01,12.343900,12.772500,12.258200,12.429700,12.268641,3166405
2017-02-02,12.343900,12.515400,12.258200,12.343900,12.183952,372134
2017-02-03,12.343900,13.372600,12.343900,13.286900,13.114734,16792110
2017-02-06,13.458300,13.886900,13.029700,13.029700,12.860867,20296936
2017-02-07,13.029700,13.286900,12.515400,12.601100,12.437820,4784197
2017-02-08,12.686800,12.944000,12.515400,12.515400,12.353230,4239061
2017-02-09,12.515400,12.686800,12.086800,12.172500,12.014774,4773464
2017-02-10,12.258200,12.601100,12.258200,12.258200,12.099362,2754842
2017-02-14,12.343900,12.515400,12.172500,12.172500,12.014774,1720566
2017-02-15,12.086800,12.172500,11.743900,11.829600,11.676317,1784027
