Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,188.000000,190.000000,184.500000,190.000000,175.471970,3300
2017-01-05,238.000000,238.000000,192.000000,192.000000,177.319046,2400
2017-01-06,194.000000,195.000000,194.000000,195.000000,180.089661,1600
2017-01-09,195.000000,195.000000,195.000000,195.000000,180.089661,100
2017-01-10,195.000000,195.000000,193.000000,193.000000,178.242599,4800
2017-01-11,189.000000,189.000000,184.000000,185.000000,170.854309,5800
2017-01-12,184.000000,186.000000,184.000000,185.000000,170.854309,5200
2017-01-16,185.000000,185.000000,183.500000,183.500000,169.468994,1300
2017-01-17,185.000000,185.000000,183.500000,183.500000,169.468994,2000
2017-01-18,185.000000,185.000000,183.500000,183.500000,169.468994,500
2017-01-19,182.500000,183.000000,182.000000,182.500000,168.545456,2800
2017-01-20,185.000000,185.000000,181.000000,181.000000,167.160141,3700
2017-01-23,181.000000,181.500000,181.000000,181.500000,167.621918,2000
2017-01-24,182.000000,184.000000,182.000000,184.000000,169.930771,4400
2017-01-25,184.000000,184.000000,183.000000,183.000000,169.007217,2600
2017-01-26,183.000000,184.000000,182.000000,183.000000,169.007217,4500
2017-01-27,183.000000,183.000000,182.000000,182.000000,168.083679,6100
2017-01-30,182.000000,182.000000,181.500000,181.500000,167.621918,2000
2017-01-31,181.500000,181.500000,180.500000,181.000000,167.160141,3200
2017-02-01,181.000000,181.000000,180.000000,181.000000,167.160141,1900
2017-02-02,181.000000,181.000000,181.000000,181.000000,167.160141,3900
2017-02-03,181.000000,182.000000,181.000000,181.000000,167.160141,3300
2017-02-06,181.500000,181.500000,181.000000,181.000000,167.160141,2300
2017-02-07,182.000000,182.000000,180.000000,180.000000,166.236618,5100
2017-02-08,181.000000,184.000000,180.000000,183.000000,169.007217,7700
2017-02-09,185.000000,185.000000,185.000000,185.000000,170.854309,400
2017-02-10,183.000000,183.000000,181.500000,181.500000,167.621918,3000
2017-02-14,186.000000,191.000000,186.000000,190.000000,175.471970,53000
2017-02-15,191.500000,193.500000,191.500000,193.500000,178.704361,21700
2017-02-16,194.000000,195.000000,194.000000,194.500000,179.627884,2400
2017-02-17,195.500000,197.500000,195.500000,197.500000,182.398499,8600
2017-02-20,199.000000,208.000000,199.000000,207.000000,191.172104,21000
2017-02-21,206.000000,208.000000,206.000000,207.000000,191.172104,7300
2017-02-22,207.000000,208.000000,207.000000,208.000000,192.095642,1200
2017-02-23,208.000000,209.000000,208.000000,208.000000,192.095642,6200
2017-02-24,208.000000,208.000000,208.000000,208.000000,192.095642,33500
2017-02-27,207.000000,209.000000,207.000000,208.000000,192.095642,20100
2017-02-28,208.000000,210.000000,208.000000,210.000000,193.942703,2800
2017-03-01,214.000000,214.000000,214.000000,214.000000,197.636856,300
2017-03-02,214.000000,214.000000,214.000000,214.000000,197.636856,4700
2017-03-03,214.000000,214.000000,214.000000,214.000000,197.636856,9700
2017-03-06,214.000000,214.000000,210.000000,210.000000,193.942703,5100
2017-03-07,210.000000,210.000000,207.000000,207.000000,191.172104,700
2017-03-08,207.000000,207.000000,200.000000,207.000000,191.172104,16800
2017-03-09,207.000000,207.000000,207.000000,207.000000,191.172104,7500
2017-03-10,207.000000,207.000000,207.000000,207.000000,191.172104,10300
2017-03-13,207.000000,207.000000,206.000000,206.000000,190.248566,12900
2017-03-14,206.000000,206.000000,206.000000,206.000000,190.248566,16100
2017-03-15,207.000000,207.000000,207.000000,207.000000,191.172104,200
2017-03-16,207.000000,207.000000,207.000000,207.000000,191.172104,0
2017-03-17,208.000000,210.000000,208.000000,208.000000,192.095642,2800
2017-03-20,209.000000,209.000000,208.000000,208.000000,192.095642,20500
2017-03-21,209.000000,209.000000,209.000000,209.000000,193.019180,2500
2017-03-22,209.000000,210.000000,209.000000,210.000000,193.942703,20500
2017-03-23,210.000000,210.000000,209.000000,210.000000,193.942703,20800
2017-03-24,210.000000,210.000000,209.000000,209.000000,193.019180,26600
2017-03-27,209.000000,209.000000,209.000000,209.000000,193.019180,42200
2017-03-28,208.000000,208.000000,208.000000,208.000000,192.095642,1100
2017-03-29,209.000000,209.000000,200.000000,200.000000,184.707352,24500
2017-03-30,200.000000,202.000000,199.500000,199.500000,184.245575,41300
2017-03-31,200.000000,201.000000,194.000000,201.000000,185.630875,83100
2017-04-03,201.000000,204.000000,200.000000,202.000000,186.554428,3500
2017-04-04,203.000000,204.000000,202.000000,203.000000,187.477966,5200
2017-04-05,203.000000,207.000000,203.000000,207.000000,191.172104,6100
2017-04-07,207.000000,208.000000,206.000000,207.000000,191.172104,9700
2017-04-10,207.000000,207.000000,207.000000,207.000000,191.172104,2700
2017-04-11,207.000000,209.000000,207.000000,209.000000,193.019180,7700
