Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,5.150000,5.450000,5.150000,5.350000,5.053336,25703600
2017-01-05,5.350000,5.500000,5.250000,5.350000,5.053336,18819700
2017-01-06,5.400000,5.450000,5.300000,5.400000,5.100564,8101700
2017-01-09,5.450000,5.450000,5.350000,5.350000,5.053336,8140800
2017-01-10,5.400000,5.700000,5.400000,5.700000,5.383928,40303100
2017-01-11,5.700000,5.800000,5.600000,5.650000,5.336700,16402100
2017-01-12,5.650000,5.700000,5.550000,5.650000,5.336700,14263500
2017-01-16,5.750000,5.950000,5.750000,5.900000,5.572838,38396800
2017-01-17,5.900000,5.900000,5.650000,5.800000,5.478384,25369200
2017-01-18,5.750000,5.950000,5.700000,5.750000,5.431156,41707300
2017-01-19,5.800000,5.850000,5.600000,5.650000,5.336700,13708200
2017-01-20,5.700000,5.750000,5.650000,5.750000,5.431156,5348700
2017-01-23,5.750000,5.800000,5.650000,5.700000,5.383928,11558700
2017-01-24,5.700000,5.750000,5.600000,5.700000,5.383928,5754700
2017-01-25,5.650000,5.700000,5.600000,5.650000,5.336700,6103100
2017-01-26,5.700000,5.700000,5.500000,5.500000,5.195018,10277300
2017-01-27,5.500000,5.500000,5.350000,5.500000,5.195018,5329100
2017-01-30,5.500000,5.700000,5.500000,5.600000,5.289473,4852100
2017-01-31,5.600000,5.600000,5.500000,5.550000,5.242246,3366800
2017-02-01,5.500000,5.650000,5.500000,5.600000,5.289473,6310600
2017-02-02,5.650000,5.700000,5.600000,5.700000,5.383928,6053500
2017-02-03,5.700000,5.750000,5.600000,5.650000,5.336700,3632000
2017-02-06,5.700000,5.750000,5.600000,5.700000,5.383928,5933100
2017-02-07,5.750000,6.050000,5.700000,6.000000,5.667293,48815500
2017-02-08,6.000000,6.300000,6.000000,6.200000,5.856202,74048500
2017-02-09,6.200000,6.250000,6.050000,6.050000,5.714520,17849100
2017-02-10,6.150000,6.200000,6.050000,6.200000,5.856202,11855800
2017-02-14,6.250000,6.250000,6.050000,6.050000,5.714520,9831800
2017-02-15,6.100000,6.100000,5.900000,6.050000,5.714520,13795900
2017-02-16,6.100000,6.100000,5.950000,6.000000,5.667293,5567500
2017-02-17,6.050000,6.250000,6.000000,6.100000,5.761748,21193000
2017-02-20,6.100000,6.100000,5.950000,6.000000,5.667293,6715600
2017-02-21,6.050000,6.050000,5.850000,5.950000,5.620065,8327100
2017-02-22,5.900000,6.000000,5.900000,5.950000,5.620065,1897000
2017-02-23,6.000000,6.150000,5.850000,6.050000,5.714520,8570700
2017-02-24,6.050000,6.100000,5.900000,6.000000,5.667293,7821300
2017-02-27,5.850000,5.850000,5.500000,5.550000,5.242246,21021500
2017-02-28,5.500000,5.750000,5.400000,5.650000,5.336700,17277400
2017-03-01,5.600000,5.700000,5.550000,5.650000,5.336700,6549500
2017-03-02,5.700000,5.750000,5.600000,5.650000,5.336700,2477900
2017-03-03,5.650000,5.650000,5.500000,5.500000,5.195018,4105000
2017-03-06,5.500000,5.550000,5.400000,5.500000,5.195018,5345900
2017-03-07,5.550000,5.600000,5.450000,5.500000,5.195018,2345400
2017-03-08,5.550000,5.550000,5.350000,5.450000,5.147790,6575300
2017-03-09,5.500000,5.600000,5.450000,5.550000,5.242246,7657500
2017-03-10,5.550000,5.600000,5.500000,5.600000,5.289473,1870700
2017-03-13,5.650000,5.650000,5.250000,5.400000,5.100564,8993900
2017-03-14,5.400000,5.550000,5.350000,5.450000,5.147790,5989900
2017-03-15,5.500000,5.550000,5.400000,5.550000,5.242246,3925600
2017-03-16,5.550000,5.750000,5.500000,5.700000,5.383928,7437000
2017-03-17,5.750000,5.750000,5.550000,5.650000,5.336700,6869000
2017-03-20,5.700000,5.700000,5.500000,5.550000,5.242246,2152500
2017-03-21,5.550000,5.600000,5.400000,5.500000,5.195018,7905900
2017-03-22,5.500000,5.500000,5.350000,5.450000,5.147790,7719100
2017-03-23,5.400000,5.600000,5.400000,5.550000,5.242246,4687100
2017-03-24,5.550000,5.600000,5.500000,5.550000,5.242246,1774900
2017-03-27,5.550000,5.600000,5.450000,5.600000,5.289473,2272000
2017-03-28,5.600000,5.600000,5.500000,5.600000,5.289473,2601600
2017-03-29,5.600000,5.600000,5.500000,5.600000,5.289473,2491400
2017-03-30,5.600000,5.600000,5.550000,5.550000,5.242246,1936900
