Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,3.220000,3.280000,3.220000,3.260000,2.739042,1676700
2017-01-05,3.240000,3.300000,3.220000,3.240000,2.722238,1683400
2017-01-06,3.240000,3.280000,3.200000,3.240000,2.722238,2784100
2017-01-09,3.240000,3.340000,3.220000,3.220000,2.705434,5685200
2017-01-10,3.240000,3.300000,3.240000,3.300000,2.772650,1735400
2017-01-11,3.300000,3.300000,3.260000,3.260000,2.739042,853900
2017-01-12,3.260000,3.300000,3.240000,3.260000,2.739042,1097300
2017-01-16,3.240000,3.320000,3.240000,3.280000,2.755846,3183700
2017-01-17,3.280000,3.300000,3.240000,3.240000,2.722238,2980500
2017-01-18,3.240000,3.420000,3.240000,3.300000,2.772650,26326100
2017-01-19,3.320000,3.420000,3.300000,3.420000,2.873474,14452200
2017-01-20,3.500000,3.660000,3.480000,3.540000,2.974297,69107100
2017-01-23,3.620000,3.620000,3.480000,3.520000,2.957494,15784300
2017-01-24,3.560000,3.620000,3.480000,3.480000,2.923885,13094400
2017-01-25,3.520000,3.560000,3.420000,3.420000,2.873474,9441400
2017-01-26,3.440000,3.500000,3.380000,3.380000,2.839866,7121200
2017-01-27,3.380000,3.500000,3.360000,3.500000,2.940690,8015300
2017-01-30,3.500000,3.580000,3.460000,3.500000,2.940690,5414200
2017-01-31,3.500000,3.520000,3.380000,3.380000,2.839866,5536100
2017-02-01,3.380000,3.400000,3.160000,3.200000,2.688631,13063100
2017-02-02,3.180000,3.240000,3.160000,3.180000,2.671826,6614700
2017-02-03,3.200000,3.220000,3.100000,3.120000,2.621414,9919300
2017-02-06,3.160000,3.180000,3.080000,3.080000,2.587807,7308100
2017-02-07,3.100000,3.200000,3.100000,3.140000,2.638219,10247100
2017-02-08,3.140000,3.180000,3.000000,3.020000,2.537395,11258500
2017-02-09,3.020000,3.100000,3.020000,3.040000,2.554199,6261200
2017-02-10,3.060000,3.080000,3.040000,3.040000,2.554199,1297000
2017-02-14,3.080000,3.080000,3.020000,3.020000,2.537395,752700
2017-02-15,3.040000,3.040000,2.980000,3.020000,2.537395,4258900
2017-02-16,3.020000,3.060000,3.000000,3.060000,2.571003,901300
2017-02-17,3.040000,3.060000,3.040000,3.060000,2.571003,1400300
2017-02-20,3.060000,3.140000,3.060000,3.100000,2.604610,6054400
2017-02-21,3.120000,3.160000,3.100000,3.140000,2.638219,7334000
2017-02-22,3.120000,3.120000,3.080000,3.080000,2.587807,4027500
2017-02-23,3.060000,3.080000,3.000000,3.020000,2.537395,3783600
