Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,null,null,null,null,null,null
2019-01-03,null,null,null,null,null,null
2019-01-04,null,null,null,null,null,null
2019-01-07,null,null,null,null,null,null
2019-01-08,null,null,null,null,null,null
2019-01-09,null,null,null,null,null,null
2019-01-10,null,null,null,null,null,null
2019-01-11,null,null,null,null,null,null
2019-01-14,null,null,null,null,null,null
2019-01-15,null,null,null,null,null,null
2019-01-16,null,null,null,null,null,null
2019-01-17,null,null,null,null,null,null
2019-01-18,null,null,null,null,null,null
2019-01-21,null,null,null,null,null,null
2019-01-22,null,null,null,null,null,null
2019-01-23,null,null,null,null,null,null
2019-01-24,null,null,null,null,null,null
2019-01-25,null,null,null,null,null,null
2019-01-28,null,null,null,null,null,null
2019-01-29,null,null,null,null,null,null
2019-01-30,null,null,null,null,null,null
2019-01-31,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-02-04,null,null,null,null,null,null
2019-02-05,null,null,null,null,null,null
2019-02-06,null,null,null,null,null,null
2019-02-07,null,null,null,null,null,null
2019-02-08,null,null,null,null,null,null
2019-02-11,null,null,null,null,null,null
2019-02-12,null,null,null,null,null,null
2019-02-13,null,null,null,null,null,null
2019-02-14,null,null,null,null,null,null
2019-02-15,null,null,null,null,null,null
2019-02-18,null,null,null,null,null,null
2019-02-20,null,null,null,null,null,null
2019-02-21,null,null,null,null,null,null
2019-02-22,null,null,null,null,null,null
2019-02-25,null,null,null,null,null,null
2019-02-26,null,null,null,null,null,null
2019-02-27,null,null,null,null,null,null
2019-02-28,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-03-04,null,null,null,null,null,null
2019-03-05,null,null,null,null,null,null
2019-03-06,null,null,null,null,null,null
2019-03-07,null,null,null,null,null,null
2019-03-08,null,null,null,null,null,null
2019-03-11,null,null,null,null,null,null
2019-03-12,null,null,null,null,null,null
2019-03-13,null,null,null,null,null,null
2019-03-14,null,null,null,null,null,null
2019-03-15,null,null,null,null,null,null
2019-03-18,null,null,null,null,null,null
2019-03-19,10.700000,10.700000,10.600000,10.600000,10.600000,4361800
2019-03-20,10.600000,10.800000,10.600000,10.700000,10.700000,6949600
2019-03-21,10.700000,10.800000,10.600000,10.600000,10.600000,9034000
2019-03-22,10.700000,10.800000,10.700000,10.800000,10.800000,2757200
2019-03-25,10.800000,10.800000,10.700000,10.700000,10.700000,3336100
2019-03-26,10.700000,10.900000,10.700000,10.900000,10.900000,4528800
2019-03-27,10.900000,10.900000,10.800000,10.900000,10.900000,3285000
2019-03-28,10.900000,11.100000,10.900000,11.100000,11.100000,7662200
2019-03-29,11.100000,11.400000,11.100000,11.100000,11.100000,16503000
2019-04-01,11.200000,11.200000,11.000000,11.000000,11.000000,7586400
2019-04-02,11.000000,11.100000,10.800000,10.900000,10.900000,20491300
2019-04-03,10.900000,11.000000,10.800000,10.900000,10.900000,1550500
2019-04-04,10.900000,10.900000,10.800000,10.800000,10.800000,2562900
2019-04-05,10.900000,10.900000,10.800000,10.900000,10.900000,1039700
2019-04-09,10.800000,11.000000,10.800000,11.000000,11.000000,9349600
2019-04-10,11.000000,11.000000,10.900000,10.900000,10.900000,1552000
2019-04-11,10.900000,11.000000,10.900000,11.000000,11.000000,1540400
2019-04-12,11.000000,11.200000,11.000000,11.200000,11.200000,11426100
2019-04-17,11.200000,11.200000,11.100000,11.200000,11.200000,5897800
2019-04-18,11.200000,11.300000,11.100000,11.100000,11.100000,7972100
2019-04-19,11.200000,11.200000,11.100000,11.100000,11.100000,2435400
2019-04-22,11.200000,11.200000,11.000000,11.100000,11.100000,8762700
2019-04-23,11.100000,11.200000,11.000000,11.200000,11.200000,3853300
2019-04-24,11.200000,11.200000,11.000000,11.000000,11.000000,6298000
2019-04-25,11.100000,11.200000,11.000000,11.100000,11.100000,826200
2019-04-26,11.100000,11.200000,11.000000,11.100000,11.100000,2198700
2019-04-29,11.100000,11.200000,11.000000,11.100000,11.100000,2215600
2019-04-30,11.100000,11.200000,11.000000,11.100000,11.100000,3026200
2019-05-02,11.100000,11.200000,11.100000,11.100000,11.100000,1073000
2019-05-03,11.200000,11.200000,11.100000,11.100000,11.100000,4438200
2019-05-06,11.100000,11.100000,11.100000,11.100000,11.100000,0
2019-05-07,11.100000,11.400000,11.100000,11.400000,11.400000,8987100
2019-05-08,11.400000,11.500000,11.200000,11.400000,11.400000,11149800
2019-05-09,11.400000,11.500000,11.300000,11.500000,11.500000,5627500
2019-05-10,11.500000,11.700000,11.500000,11.700000,11.700000,8260500
2019-05-13,11.600000,11.700000,11.500000,11.600000,11.600000,7135900
2019-05-14,11.600000,11.600000,11.500000,11.500000,11.500000,9127100
2019-05-15,11.600000,11.700000,11.500000,11.600000,11.600000,7540800
2019-05-16,11.600000,11.700000,11.500000,11.700000,11.700000,7395300
2019-05-17,11.700000,11.700000,11.600000,11.700000,11.700000,11069500
2019-05-21,11.700000,11.900000,11.600000,11.900000,11.900000,11541400
2019-05-22,11.900000,11.900000,11.700000,11.900000,11.900000,13024200
2019-05-23,11.800000,11.900000,11.800000,11.900000,11.900000,5361300
2019-05-24,11.900000,11.900000,11.800000,11.800000,11.800000,9147800
2019-05-27,11.900000,11.900000,11.800000,11.900000,11.900000,16492800
2019-05-28,11.900000,11.900000,11.800000,11.900000,11.900000,18462500
2019-05-29,11.800000,11.800000,11.600000,11.600000,11.600000,20745000
2019-05-30,11.600000,11.600000,11.300000,11.300000,11.300000,20904500
2019-05-31,11.300000,11.400000,11.200000,11.300000,11.300000,11106700
2019-06-03,9.881800,9.881800,9.881800,9.881800,9.881800,0
2019-06-04,9.872900,9.872900,9.872900,9.872900,9.872900,0
2019-06-05,11.500000,11.500000,11.400000,11.500000,11.500000,14049200
2019-06-06,11.500000,11.800000,11.400000,11.800000,11.800000,24136700
2019-06-07,11.800000,11.900000,11.700000,11.800000,11.800000,10786700
2019-06-10,11.800000,11.900000,11.700000,11.800000,11.800000,6971700
2019-06-11,11.800000,11.800000,11.700000,11.800000,11.800000,6916200
2019-06-12,11.800000,11.900000,11.700000,11.900000,11.900000,13560500
2019-06-13,11.900000,11.900000,11.700000,11.800000,11.800000,7535800
2019-06-14,11.800000,11.900000,11.700000,11.900000,11.900000,14954000
2019-06-17,11.900000,11.900000,11.700000,11.900000,11.900000,8857200
2019-06-18,11.900000,11.900000,11.800000,11.800000,11.800000,14111200
2019-06-19,9.872900,9.872900,9.872900,9.872900,9.872900,0
2019-06-20,9.872900,9.872900,9.872900,9.872900,9.872900,0
2019-06-21,9.872900,9.872900,9.872900,9.872900,9.872900,0
2019-06-24,9.872900,9.872900,9.872900,9.872900,9.872900,0
2019-06-25,11.900000,12.000000,11.800000,11.900000,11.900000,18952200
2019-06-26,11.900000,11.900000,11.800000,11.900000,11.900000,15640300
2019-06-27,11.900000,12.000000,11.800000,11.800000,11.800000,32152100
2019-06-28,9.872900,9.872900,9.872900,9.872900,9.872900,0
