Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,1.190000,1.310000,1.160000,1.260000,1.260000,60624200
2017-01-05,1.270000,1.300000,1.210000,1.210000,1.210000,18169700
2017-01-06,1.230000,1.280000,1.210000,1.240000,1.240000,21522300
2017-01-09,1.250000,1.430000,1.240000,1.320000,1.320000,64559100
2017-01-10,1.350000,1.360000,1.260000,1.280000,1.280000,18785500
2017-01-11,1.280000,1.310000,1.250000,1.250000,1.250000,8402300
2017-01-12,1.260000,1.280000,1.220000,1.220000,1.220000,5127100
2017-01-16,1.220000,1.330000,1.190000,1.270000,1.270000,31046800
2017-01-17,1.270000,1.280000,1.230000,1.230000,1.230000,6348200
2017-01-18,1.240000,1.260000,1.220000,1.220000,1.220000,2941300
2017-01-19,1.220000,1.240000,1.170000,1.190000,1.190000,2949700
2017-01-20,1.180000,1.230000,1.180000,1.190000,1.190000,1329900
2017-01-23,1.200000,1.220000,1.190000,1.210000,1.210000,2066000
2017-01-24,1.210000,1.230000,1.200000,1.200000,1.200000,1202300
2017-01-25,1.210000,1.230000,1.200000,1.200000,1.200000,2328800
2017-01-26,1.210000,1.280000,1.210000,1.230000,1.230000,16204800
2017-01-27,1.230000,1.260000,1.220000,1.230000,1.230000,5324300
2017-01-30,1.240000,1.260000,1.220000,1.220000,1.220000,3748000
2017-01-31,1.210000,1.230000,1.200000,1.210000,1.210000,1707100
2017-02-01,1.220000,1.220000,1.190000,1.210000,1.210000,1250800
2017-02-02,1.230000,1.230000,1.190000,1.190000,1.190000,1040100
2017-02-03,1.180000,1.210000,1.180000,1.210000,1.210000,1374900
2017-02-06,1.210000,1.220000,1.200000,1.200000,1.200000,741900
2017-02-07,1.200000,1.210000,1.060000,1.060000,1.060000,9169700
2017-02-08,1.060000,1.090000,1.060000,1.080000,1.080000,3956300
2017-02-09,1.080000,1.090000,1.060000,1.060000,1.060000,1135800
2017-02-10,1.060000,1.080000,1.050000,1.060000,1.060000,837200
2017-02-14,1.080000,1.080000,1.030000,1.040000,1.040000,1434700
2017-02-15,1.040000,1.060000,1.010000,1.040000,1.040000,1400500
2017-02-16,1.040000,1.040000,1.020000,1.030000,1.030000,670000
2017-02-17,1.040000,1.040000,1.030000,1.040000,1.040000,339100
2017-02-20,1.050000,1.120000,1.050000,1.070000,1.070000,8994100
2017-02-21,1.060000,1.070000,1.050000,1.050000,1.050000,2857900
2017-02-22,1.060000,1.060000,1.040000,1.040000,1.040000,1053200
2017-02-23,1.040000,1.060000,1.040000,1.040000,1.040000,839500
2017-02-24,1.050000,1.050000,1.030000,1.040000,1.040000,469100
2017-02-27,1.040000,1.040000,1.020000,1.020000,1.020000,232700
2017-02-28,1.040000,1.040000,1.020000,1.020000,1.020000,307100
2017-03-01,1.020000,1.040000,1.020000,1.030000,1.030000,839300
2017-03-02,1.040000,1.080000,1.040000,1.040000,1.040000,2286900
2017-03-03,1.050000,1.140000,1.050000,1.130000,1.130000,18334600
2017-03-06,1.120000,1.160000,1.090000,1.110000,1.110000,8762400
2017-03-07,1.120000,1.120000,1.090000,1.100000,1.100000,1783500
2017-03-08,1.110000,1.130000,1.040000,1.040000,1.040000,6741700
2017-03-09,1.040000,1.060000,1.030000,1.050000,1.050000,1299300
2017-03-10,1.070000,1.070000,0.980000,0.980000,0.980000,6209800
2017-03-13,0.970000,1.000000,0.970000,0.980000,0.980000,1714600
2017-03-14,1.000000,1.020000,0.990000,1.020000,1.020000,825300
2017-03-15,1.040000,1.040000,0.980000,0.990000,0.990000,1743400
2017-03-16,1.010000,1.010000,1.000000,1.010000,1.010000,518800
2017-03-17,1.020000,1.050000,1.000000,1.020000,1.020000,4165700
2017-03-20,1.020000,1.020000,1.010000,1.020000,1.020000,706000
2017-03-21,1.030000,1.030000,1.020000,1.030000,1.030000,997900
2017-03-22,1.030000,1.030000,1.010000,1.010000,1.010000,1316200
2017-03-23,1.010000,1.030000,1.010000,1.020000,1.020000,705400
2017-03-24,1.020000,1.030000,1.010000,1.020000,1.020000,334000
2017-03-27,1.020000,1.030000,1.000000,1.000000,1.000000,694900
2017-03-28,1.000000,1.020000,1.000000,1.000000,1.000000,702100
2017-03-29,1.010000,1.020000,1.000000,1.010000,1.010000,919200
2017-03-30,1.010000,1.070000,1.010000,1.020000,1.020000,6908000
2017-03-31,1.030000,1.030000,1.010000,1.010000,1.010000,1031400
2017-04-03,1.020000,1.030000,1.020000,1.020000,1.020000,579000
2017-04-04,1.020000,1.040000,1.020000,1.040000,1.040000,572200
2017-04-05,1.040000,1.040000,1.030000,1.030000,1.030000,322600
2017-04-07,1.030000,1.030000,1.020000,1.030000,1.030000,52900
2017-04-10,1.020000,1.020000,1.010000,1.020000,1.020000,381500
2017-04-11,1.020000,1.030000,1.010000,1.030000,1.030000,239800
2017-04-12,1.020000,1.060000,1.020000,1.030000,1.030000,4052400
2017-04-17,1.030000,1.060000,1.020000,1.030000,1.030000,3657400
2017-04-18,1.040000,1.090000,1.040000,1.040000,1.040000,12045600
2017-04-19,1.050000,1.050000,1.030000,1.040000,1.040000,3689300
2017-04-20,1.040000,1.050000,1.030000,1.050000,1.050000,1864400
2017-04-21,1.050000,1.060000,1.030000,1.060000,1.060000,2707900
2017-04-24,1.070000,1.070000,1.030000,1.060000,1.060000,2301000
2017-04-25,1.060000,1.060000,1.020000,1.060000,1.060000,2300000
2017-04-26,1.050000,1.060000,1.040000,1.060000,1.060000,1677600
2017-04-27,1.060000,1.060000,1.040000,1.060000,1.060000,1890100
2017-04-28,1.060000,1.060000,1.050000,1.060000,1.060000,1066800
2017-05-02,1.060000,1.060000,1.050000,1.060000,1.060000,2222700
2017-05-03,1.060000,1.070000,1.050000,1.070000,1.070000,802300
2017-05-04,1.070000,1.080000,1.060000,1.070000,1.070000,2117900
2017-05-08,1.070000,1.070000,1.050000,1.060000,1.060000,569900
2017-05-09,1.060000,1.060000,1.030000,1.050000,1.050000,1065500
2017-05-11,1.050000,1.050000,1.020000,1.020000,1.020000,995500
2017-05-12,1.010000,1.020000,1.000000,1.010000,1.010000,693100
2017-05-15,0.980000,0.980000,0.980000,0.980000,0.980000,200100
2017-05-16,0.980000,1.010000,0.980000,1.010000,1.010000,653100
2017-05-17,1.010000,1.010000,1.000000,1.010000,1.010000,380200
2017-05-18,1.000000,1.020000,1.000000,1.020000,1.020000,539500
2017-05-19,1.020000,1.030000,1.010000,1.030000,1.030000,362600
2017-05-22,1.030000,1.030000,1.020000,1.030000,1.030000,69400
2017-05-23,1.030000,1.040000,1.020000,1.040000,1.040000,365100
2017-05-24,1.040000,1.040000,1.020000,1.040000,1.040000,934200
2017-05-25,1.040000,1.040000,1.020000,1.040000,1.040000,1456200
2017-05-26,1.040000,1.050000,1.020000,1.050000,1.050000,3971500
2017-05-29,1.050000,1.050000,1.020000,1.050000,1.050000,1646800
2017-05-30,1.060000,1.060000,1.030000,1.060000,1.060000,1137300
2017-05-31,1.050000,1.050000,1.020000,1.040000,1.040000,1486800
2017-06-01,1.040000,1.040000,1.030000,1.030000,1.030000,296100
2017-06-02,1.040000,1.040000,1.020000,1.040000,1.040000,479800
2017-06-05,1.030000,1.050000,1.030000,1.050000,1.050000,336400
2017-06-06,1.040000,1.050000,1.030000,1.050000,1.050000,832300
2017-06-07,1.040000,1.050000,1.030000,1.040000,1.040000,653800
2017-06-08,1.020000,1.040000,1.020000,1.040000,1.040000,472100
2017-06-09,1.030000,1.040000,1.020000,1.040000,1.040000,413400
2017-06-12,1.020000,1.040000,1.020000,1.040000,1.040000,553300
2017-06-13,1.030000,1.040000,1.010000,1.030000,1.030000,1055300
2017-06-14,1.030000,1.030000,1.020000,1.030000,1.030000,141100
2017-06-15,1.020000,1.030000,1.020000,1.030000,1.030000,243900
2017-06-16,1.030000,1.050000,1.020000,1.030000,1.030000,1003000
2017-06-19,1.030000,1.040000,1.020000,1.030000,1.030000,230100
2017-06-20,1.020000,1.040000,1.020000,1.040000,1.040000,313600
2017-06-21,1.040000,1.040000,1.020000,1.030000,1.030000,606300
2017-06-22,1.030000,1.040000,1.020000,1.040000,1.040000,381700
2017-06-23,1.040000,1.040000,1.020000,1.040000,1.040000,583100
2017-06-26,1.040000,1.040000,1.020000,1.040000,1.040000,207600
2017-06-27,1.040000,1.040000,1.020000,1.040000,1.040000,705800
2017-06-28,1.030000,1.040000,1.020000,1.030000,1.030000,839300
2017-06-29,1.020000,1.030000,1.020000,1.030000,1.030000,636500
2017-06-30,1.020000,1.030000,1.020000,1.020000,1.020000,543000
2017-07-03,1.020000,1.030000,1.020000,1.030000,1.030000,120900
2017-07-04,1.030000,1.030000,1.000000,1.020000,1.020000,479200
2017-07-05,1.020000,1.040000,1.010000,1.040000,1.040000,480300
2017-07-06,1.030000,1.030000,1.020000,1.030000,1.030000,255900
2017-07-07,1.020000,1.030000,1.020000,1.030000,1.030000,302500
2017-07-11,1.020000,1.020000,1.010000,1.020000,1.020000,650600
2017-07-12,1.020000,1.030000,1.010000,1.030000,1.030000,201700
2017-07-13,1.030000,1.030000,1.020000,1.030000,1.030000,354300
2017-07-14,1.020000,1.030000,1.020000,1.030000,1.030000,263600
2017-07-17,1.030000,1.030000,1.010000,1.030000,1.030000,356800
2017-07-18,1.020000,1.030000,1.020000,1.020000,1.020000,344500
2017-07-19,1.000000,1.030000,1.000000,1.030000,1.030000,400600
2017-07-20,1.020000,1.030000,1.020000,1.030000,1.030000,476300
2017-07-21,1.020000,1.030000,1.020000,1.020000,1.020000,476600
2017-07-24,1.020000,1.020000,1.010000,1.020000,1.020000,241200
2017-07-25,1.020000,1.020000,1.010000,1.020000,1.020000,386200
2017-07-26,1.010000,1.020000,1.000000,1.020000,1.020000,433500
2017-07-27,1.020000,1.020000,1.020000,1.020000,1.020000,51500
2017-07-31,1.020000,1.020000,1.010000,1.020000,1.020000,80300
2017-08-01,1.020000,1.030000,1.010000,1.030000,1.030000,244000
2017-08-02,1.020000,1.020000,1.010000,1.020000,1.020000,129400
2017-08-03,1.010000,1.020000,1.010000,1.020000,1.020000,46000
2017-08-04,1.020000,1.020000,1.010000,1.020000,1.020000,87600
2017-08-07,1.010000,1.090000,1.000000,1.020000,1.020000,17503600
2017-08-08,1.010000,1.060000,1.010000,1.030000,1.030000,21713100
2017-08-09,1.040000,1.040000,1.010000,1.010000,1.010000,2555700
2017-08-10,1.010000,1.020000,1.000000,1.020000,1.020000,692400
2017-08-11,1.020000,1.020000,1.020000,1.020000,1.020000,0
2017-08-15,0.930000,0.980000,0.810000,0.830000,0.830000,4329300
2017-08-16,0.840000,0.840000,0.810000,0.820000,0.820000,1145800
2017-08-17,0.830000,0.830000,0.800000,0.800000,0.800000,1412200
2017-08-18,0.810000,0.810000,0.790000,0.790000,0.790000,562800
2017-08-21,0.780000,0.880000,0.770000,0.790000,0.790000,3603600
2017-08-22,0.790000,0.810000,0.780000,0.780000,0.780000,563700
2017-08-23,0.790000,0.790000,0.780000,0.780000,0.780000,127500
2017-08-24,0.790000,0.810000,0.780000,0.790000,0.790000,536000
2017-08-25,0.800000,0.800000,0.790000,0.790000,0.790000,340100
2017-08-28,0.800000,0.800000,0.800000,0.800000,0.800000,100000
2017-08-29,0.800000,0.810000,0.800000,0.800000,0.800000,187400
2017-08-30,0.790000,0.800000,0.790000,0.790000,0.790000,351400
2017-08-31,0.790000,0.810000,0.790000,0.800000,0.800000,185000
2017-09-01,0.800000,0.800000,0.790000,0.790000,0.790000,507900
2017-09-04,0.810000,0.860000,0.790000,0.810000,0.810000,1258300
2017-09-05,0.810000,0.820000,0.800000,0.800000,0.800000,262500
2017-09-06,0.820000,0.820000,0.800000,0.800000,0.800000,500100
2017-09-07,0.810000,0.840000,0.810000,0.810000,0.810000,1742200
2017-09-08,0.810000,0.820000,0.800000,0.810000,0.810000,626000
2017-09-11,0.810000,0.860000,0.810000,0.820000,0.820000,2410700
2017-09-12,0.830000,0.830000,0.820000,0.820000,0.820000,329600
2017-09-13,0.820000,0.860000,0.820000,0.840000,0.840000,2073800
2017-09-14,0.840000,0.840000,0.820000,0.840000,0.840000,471000
2017-09-15,0.840000,0.850000,0.820000,0.840000,0.840000,418900
2017-09-18,0.830000,0.840000,0.830000,0.840000,0.840000,220800
2017-09-19,0.830000,0.840000,0.820000,0.820000,0.820000,198000
2017-09-20,0.820000,0.830000,0.820000,0.820000,0.820000,345100
2017-09-21,0.820000,0.820000,0.810000,0.820000,0.820000,400500
2017-09-22,0.830000,0.840000,0.820000,0.820000,0.820000,272200
2017-09-25,0.830000,0.840000,0.820000,0.820000,0.820000,217400
2017-09-26,0.820000,0.850000,0.820000,0.820000,0.820000,862600
2017-09-27,0.830000,0.830000,0.820000,0.820000,0.820000,152200
2017-09-28,0.820000,0.820000,0.820000,0.820000,0.820000,112000
2017-09-29,0.820000,0.830000,0.820000,0.830000,0.830000,114300
2017-10-02,0.840000,0.840000,0.820000,0.830000,0.830000,58700
2017-10-03,0.830000,0.830000,0.810000,0.810000,0.810000,559600
2017-10-04,0.820000,0.820000,0.800000,0.810000,0.810000,68000
2017-10-05,0.820000,0.820000,0.800000,0.800000,0.800000,328400
2017-10-06,0.800000,0.810000,0.800000,0.810000,0.810000,74200
2017-10-09,0.810000,0.810000,0.790000,0.800000,0.800000,230000
2017-10-10,0.800000,0.810000,0.800000,0.810000,0.810000,17200
2017-10-11,0.820000,0.820000,0.800000,0.800000,0.800000,48000
2017-10-12,0.820000,0.820000,0.790000,0.800000,0.800000,153500
2017-10-16,0.800000,0.800000,0.800000,0.800000,0.800000,10000
2017-10-17,0.800000,0.800000,0.790000,0.800000,0.800000,166500
2017-10-18,0.790000,0.790000,0.790000,0.790000,0.790000,85100
2017-10-19,0.780000,0.790000,0.770000,0.780000,0.780000,271500
2017-10-20,0.780000,0.790000,0.780000,0.780000,0.780000,164100
2017-10-24,0.770000,0.780000,0.750000,0.760000,0.760000,658500
2017-10-25,0.750000,0.770000,0.750000,0.770000,0.770000,173600
2017-10-27,0.770000,0.790000,0.770000,0.780000,0.780000,218900
2017-10-30,0.780000,0.780000,0.770000,0.780000,0.780000,95300
2017-10-31,0.790000,0.790000,0.770000,0.770000,0.770000,236500
2017-11-01,0.770000,0.770000,0.760000,0.760000,0.760000,125300
2017-11-02,0.760000,0.760000,0.750000,0.760000,0.760000,421900
2017-11-03,0.760000,0.760000,0.750000,0.750000,0.750000,87500
2017-11-06,0.760000,0.790000,0.760000,0.760000,0.760000,124400
2017-11-07,0.770000,0.770000,0.760000,0.760000,0.760000,115500
2017-11-08,0.760000,0.800000,0.750000,0.750000,0.750000,434800
2017-11-09,0.760000,0.760000,0.750000,0.750000,0.750000,240000
2017-11-10,0.750000,0.750000,0.750000,0.750000,0.750000,0
2017-11-13,0.750000,0.750000,0.690000,0.690000,0.690000,530400
2017-11-14,0.690000,0.690000,0.640000,0.640000,0.640000,623600
2017-11-15,0.620000,0.620000,0.560000,0.580000,0.580000,904500
2017-11-16,0.570000,0.570000,0.530000,0.560000,0.560000,143000
2017-11-17,0.540000,0.570000,0.540000,0.570000,0.570000,33000
2017-11-20,0.580000,0.580000,0.560000,0.580000,0.580000,155500
2017-11-21,0.620000,0.620000,0.620000,0.620000,0.620000,1163300
2017-11-22,0.620000,0.730000,0.620000,0.660000,0.660000,4826200
2017-11-23,0.680000,0.690000,0.650000,0.650000,0.650000,764200
2017-11-24,0.650000,0.670000,0.640000,0.640000,0.640000,418700
2017-11-27,0.640000,0.650000,0.620000,0.620000,0.620000,125500
2017-11-28,0.630000,0.650000,0.620000,0.650000,0.650000,164900
2017-11-29,0.620000,0.640000,0.620000,0.640000,0.640000,140700
2017-11-30,0.640000,0.640000,0.620000,0.620000,0.620000,117800
2017-12-01,0.620000,0.640000,0.620000,0.620000,0.620000,17700
2017-12-04,0.620000,0.620000,0.610000,0.620000,0.620000,111600
2017-12-06,0.600000,0.620000,0.600000,0.620000,0.620000,27100
2017-12-07,0.620000,0.630000,0.620000,0.630000,0.630000,53200
2017-12-08,0.620000,0.620000,0.540000,0.620000,0.620000,314100
2017-12-12,0.590000,0.610000,0.590000,0.590000,0.590000,147600
2017-12-13,0.600000,0.600000,0.580000,0.590000,0.590000,111100
2017-12-14,0.580000,0.580000,0.560000,0.570000,0.570000,240500
2017-12-15,0.560000,0.580000,0.560000,0.580000,0.580000,20800
2017-12-18,0.590000,0.630000,0.580000,0.590000,0.590000,123000
2017-12-19,0.590000,0.630000,0.580000,0.630000,0.630000,157800
2017-12-20,0.620000,0.620000,0.600000,0.620000,0.620000,128400
2017-12-21,0.620000,0.620000,0.580000,0.580000,0.580000,188900
2017-12-22,0.580000,0.590000,0.580000,0.590000,0.590000,82100
2017-12-25,0.600000,0.610000,0.550000,0.570000,0.570000,597700
2017-12-26,0.590000,0.590000,0.570000,0.580000,0.580000,300500
2017-12-27,0.580000,0.590000,0.570000,0.570000,0.570000,232400
2017-12-28,0.570000,0.570000,0.570000,0.570000,0.570000,0
2017-12-29,0.580000,0.590000,0.570000,0.580000,0.580000,41000
2018-01-03,0.580000,0.580000,0.570000,0.580000,0.580000,41100
2018-01-04,0.550000,0.570000,0.550000,0.570000,0.570000,205100
2018-01-05,0.570000,0.580000,0.550000,0.580000,0.580000,156600
2018-01-08,0.580000,0.580000,0.570000,0.570000,0.570000,75800
2018-01-09,0.570000,0.570000,0.570000,0.570000,0.570000,10000
2018-01-10,0.570000,0.580000,0.560000,0.560000,0.560000,77700
2018-01-11,0.560000,0.590000,0.560000,0.570000,0.570000,351300
2018-01-12,0.570000,0.570000,0.560000,0.570000,0.570000,148800
2018-01-15,0.560000,0.580000,0.560000,0.580000,0.580000,77100
2018-01-16,0.580000,0.580000,0.560000,0.570000,0.570000,251800
2018-01-17,0.560000,0.570000,0.560000,0.560000,0.560000,40100
2018-01-18,0.550000,0.570000,0.550000,0.550000,0.550000,90400
2018-01-19,0.560000,0.570000,0.560000,0.570000,0.570000,127000
2018-01-22,0.560000,0.580000,0.560000,0.570000,0.570000,185500
2018-01-23,0.570000,0.590000,0.550000,0.560000,0.560000,503100
2018-01-24,0.570000,0.580000,0.570000,0.570000,0.570000,244100
2018-01-25,0.570000,0.590000,0.560000,0.560000,0.560000,495400
2018-01-26,0.560000,0.570000,0.560000,0.570000,0.570000,75100
2018-01-29,0.570000,0.570000,0.560000,0.570000,0.570000,15700
2018-01-30,0.570000,0.580000,0.550000,0.550000,0.550000,125600
2018-01-31,0.550000,0.680000,0.550000,0.590000,0.590000,6572900
2018-02-01,0.590000,0.610000,0.580000,0.580000,0.580000,471600
2018-02-02,0.590000,0.590000,0.570000,0.570000,0.570000,331000
2018-02-05,0.570000,0.610000,0.560000,0.570000,0.570000,1702100
2018-02-06,0.560000,0.570000,0.560000,0.570000,0.570000,204000
2018-02-07,0.580000,0.580000,0.560000,0.560000,0.560000,112400
2018-02-08,0.570000,0.570000,0.560000,0.560000,0.560000,223300
2018-02-09,0.570000,0.570000,0.550000,0.550000,0.550000,72000
2018-02-12,0.560000,0.560000,0.560000,0.560000,0.560000,107100
2018-02-13,0.570000,0.580000,0.550000,0.550000,0.550000,186800
2018-02-14,0.560000,0.560000,0.550000,0.550000,0.550000,110300
2018-02-15,0.560000,0.560000,0.550000,0.560000,0.560000,109300
2018-02-16,0.560000,0.560000,0.560000,0.560000,0.560000,0
2018-02-19,0.540000,0.540000,0.510000,0.520000,0.520000,318900
2018-02-20,0.530000,0.530000,0.510000,0.520000,0.520000,120200
2018-02-21,0.520000,0.520000,0.510000,0.510000,0.510000,138800
2018-02-22,0.500000,0.500000,0.480000,0.480000,0.480000,278500
2018-02-23,0.480000,0.500000,0.480000,0.490000,0.490000,185200
2018-02-26,0.490000,0.490000,0.400000,0.440000,0.440000,447000
2018-02-27,0.440000,0.440000,0.410000,0.430000,0.430000,41200
2018-02-28,0.430000,0.430000,0.430000,0.430000,0.430000,0
2018-03-02,0.420000,0.420000,0.400000,0.400000,0.400000,11000
2018-03-05,0.400000,0.400000,0.370000,0.400000,0.400000,75700
2018-03-06,0.410000,0.410000,0.410000,0.410000,0.410000,27000
2018-03-07,0.410000,0.420000,0.410000,0.410000,0.410000,75400
2018-03-08,0.410000,0.410000,0.400000,0.410000,0.410000,10100
2018-03-09,0.400000,0.420000,0.400000,0.400000,0.400000,34500
2018-03-12,0.410000,0.440000,0.350000,0.420000,0.420000,121800
2018-03-13,0.450000,0.450000,0.420000,0.420000,0.420000,231200
2018-03-14,0.420000,0.460000,0.420000,0.440000,0.440000,565300
2018-03-15,0.460000,0.470000,0.440000,0.440000,0.440000,220900
2018-03-16,0.450000,0.500000,0.440000,0.440000,0.440000,2194900
2018-03-19,0.440000,0.490000,0.440000,0.480000,0.480000,672100
2018-03-20,0.490000,0.490000,0.470000,0.490000,0.490000,230800
2018-03-21,0.490000,0.510000,0.450000,0.470000,0.470000,1514100
2018-03-22,0.470000,0.520000,0.460000,0.460000,0.460000,3755400
2018-03-23,0.480000,0.480000,0.440000,0.450000,0.450000,951000
2018-03-26,0.460000,0.470000,0.460000,0.460000,0.460000,155700
2018-03-27,0.480000,0.490000,0.460000,0.460000,0.460000,375700
2018-03-28,0.470000,0.480000,0.470000,0.480000,0.480000,172500
2018-03-29,0.480000,0.480000,0.450000,0.450000,0.450000,124600
2018-03-30,0.450000,0.460000,0.450000,0.450000,0.450000,84000
2018-04-02,0.450000,0.450000,0.440000,0.440000,0.440000,240600
2018-04-03,0.440000,0.450000,0.440000,0.450000,0.450000,164700
2018-04-04,0.460000,0.460000,0.440000,0.440000,0.440000,51100
2018-04-05,0.410000,0.450000,0.410000,0.450000,0.450000,40300
2018-04-09,0.450000,0.450000,0.450000,0.450000,0.450000,10000
2018-04-10,0.440000,0.450000,0.440000,0.450000,0.450000,50000
2018-04-11,0.460000,0.460000,0.450000,0.450000,0.450000,30400
2018-04-12,0.450000,0.450000,0.450000,0.450000,0.450000,21000
2018-04-17,0.450000,0.450000,0.450000,0.450000,0.450000,0
2018-04-18,0.450000,0.450000,0.450000,0.450000,0.450000,0
2018-04-19,0.450000,0.450000,0.450000,0.450000,0.450000,41300
2018-04-20,0.430000,0.430000,0.430000,0.430000,0.430000,21900
2018-04-23,0.430000,0.430000,0.430000,0.430000,0.430000,95000
2018-04-24,0.440000,0.440000,0.430000,0.430000,0.430000,10900
2018-04-25,0.420000,0.440000,0.420000,0.440000,0.440000,23400
2018-04-26,0.440000,0.440000,0.440000,0.440000,0.440000,0
2018-04-27,0.430000,0.450000,0.430000,0.440000,0.440000,2300
2018-04-30,0.410000,0.440000,0.400000,0.440000,0.440000,15300
2018-05-02,0.440000,0.440000,0.440000,0.440000,0.440000,0
2018-05-03,0.440000,0.440000,0.440000,0.440000,0.440000,0
2018-05-04,0.440000,0.440000,0.420000,0.430000,0.430000,23400
2018-05-07,0.410000,0.420000,0.410000,0.420000,0.420000,13200
2018-05-08,0.410000,0.420000,0.410000,0.410000,0.410000,39200
2018-05-09,0.420000,0.420000,0.400000,0.410000,0.410000,13800
2018-05-10,0.410000,0.430000,0.400000,0.410000,0.410000,2400
2018-05-11,0.410000,0.430000,0.410000,0.430000,0.430000,60600
2018-05-14,0.430000,0.430000,0.430000,0.430000,0.430000,0
