Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,7.900000,7.900000,7.900000,7.900000,7.900000,40000
2017-01-05,7.950000,7.950000,7.950000,7.950000,7.950000,20000
2017-01-06,7.950000,7.950000,7.950000,7.950000,7.950000,2000
2017-01-09,7.950000,7.950000,7.950000,7.950000,7.950000,12800
2017-01-10,7.900000,7.950000,7.900000,7.950000,7.950000,20000
2017-01-11,7.950000,7.950000,7.900000,7.950000,7.950000,23900
2017-01-12,8.000000,8.000000,8.000000,8.000000,8.000000,30000
2017-01-16,8.000000,8.000000,8.000000,8.000000,8.000000,30700
2017-01-17,8.000000,8.000000,8.000000,8.000000,8.000000,300
2017-01-18,8.000000,8.000000,8.000000,8.000000,8.000000,100
2017-01-19,null,null,null,null,null,null
2017-01-20,8.000000,8.000000,8.000000,8.000000,8.000000,1200
2017-01-23,8.000000,8.000000,8.000000,8.000000,8.000000,11600
2017-01-24,8.050000,8.050000,8.000000,8.000000,8.000000,11000
2017-01-25,8.000000,8.050000,7.800000,8.000000,8.000000,53700
2017-01-26,8.050000,8.050000,8.000000,8.050000,8.050000,800
2017-01-27,8.050000,8.050000,8.050000,8.050000,8.050000,1200
2017-01-30,8.050000,8.100000,8.000000,8.050000,8.050000,27200
2017-01-31,8.050000,8.050000,8.050000,8.050000,8.050000,8400
2017-02-01,8.050000,8.100000,8.050000,8.100000,8.100000,200
2017-02-02,8.100000,8.250000,8.100000,8.150000,8.150000,28300
2017-02-03,8.150000,8.150000,8.150000,8.150000,8.150000,500
2017-02-06,8.150000,8.200000,8.100000,8.100000,8.100000,1900
2017-02-07,8.150000,8.150000,8.100000,8.100000,8.100000,16900
2017-02-08,8.100000,8.100000,8.100000,8.100000,8.100000,9000
2017-02-09,8.100000,8.100000,8.100000,8.100000,8.100000,20000
2017-02-10,8.150000,8.150000,8.150000,8.150000,8.150000,20800
2017-02-14,8.150000,8.200000,8.150000,8.200000,8.200000,40500
2017-02-15,8.200000,8.200000,8.200000,8.200000,8.200000,10600
