Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,10.200000,10.200000,10.200000,10.200000,10.200000,3000
2017-01-05,null,null,null,null,null,null
2017-01-06,null,null,null,null,null,null
2017-01-09,null,null,null,null,null,null
2017-01-10,10.200000,10.200000,10.200000,10.200000,10.200000,22800
2017-01-11,null,null,null,null,null,null
2017-01-12,10.200000,10.200000,10.200000,10.200000,10.200000,50000
2017-01-16,null,null,null,null,null,null
2017-01-17,10.300000,10.300000,10.300000,10.300000,10.300000,1300
2017-01-18,null,null,null,null,null,null
2017-01-19,10.300000,10.300000,10.300000,10.300000,10.300000,1000
2017-01-20,null,null,null,null,null,null
2017-01-23,null,null,null,null,null,null
2017-01-24,10.300000,10.300000,10.300000,10.300000,10.300000,2000
2017-01-25,10.300000,10.400000,10.300000,10.400000,10.400000,10000
2017-01-26,10.400000,10.400000,10.400000,10.400000,10.400000,15000
2017-01-27,10.500000,10.500000,10.400000,10.400000,10.400000,700
2017-01-30,10.500000,10.500000,10.500000,10.500000,10.500000,14900
2017-01-31,10.400000,10.400000,10.400000,10.400000,10.400000,5000
2017-02-01,10.400000,10.400000,10.400000,10.400000,10.400000,19600
2017-02-02,null,null,null,null,null,null
2017-02-03,null,null,null,null,null,null
2017-02-06,10.300000,10.300000,10.300000,10.300000,10.300000,8000
2017-02-07,10.300000,10.300000,10.300000,10.300000,10.300000,8000
2017-02-08,null,null,null,null,null,null
2017-02-09,10.400000,10.400000,10.400000,10.400000,10.400000,40000
2017-02-10,10.300000,10.300000,10.300000,10.300000,10.300000,11000
2017-02-14,10.300000,10.600000,10.300000,10.600000,10.600000,142600
2017-02-15,10.600000,10.600000,10.600000,10.600000,10.600000,1000
2017-02-16,null,null,null,null,null,null
2017-02-17,null,null,null,null,null,null
2017-02-20,null,null,null,null,null,null
2017-02-21,null,null,null,null,null,null
2017-02-22,null,null,null,null,null,null
2017-02-23,null,null,null,null,null,null
2017-02-24,null,null,null,null,null,null
2017-02-27,null,null,null,null,null,null
2017-02-28,10.291300,10.291300,10.291300,10.291300,10.291300,0
2017-03-01,null,null,null,null,null,null
2017-03-02,null,null,null,null,null,null
2017-03-03,null,null,null,null,null,null
2017-03-06,null,null,null,null,null,null
2017-03-07,null,null,null,null,null,null
2017-03-08,null,null,null,null,null,null
2017-03-09,null,null,null,null,null,null
2017-03-10,null,null,null,null,null,null
2017-03-13,null,null,null,null,null,null
2017-03-14,null,null,null,null,null,null
2017-03-15,null,null,null,null,null,null
2017-03-16,null,null,null,null,null,null
2017-03-17,null,null,null,null,null,null
2017-03-20,null,null,null,null,null,null
2017-03-21,null,null,null,null,null,null
2017-03-22,null,null,null,null,null,null
2017-03-23,null,null,null,null,null,null
2017-03-24,null,null,null,null,null,null
2017-03-27,null,null,null,null,null,null
2017-03-28,null,null,null,null,null,null
2017-03-29,null,null,null,null,null,null
2017-03-30,null,null,null,null,null,null
2017-03-31,10.358700,10.358700,10.358700,10.358700,10.358700,0
2017-04-03,null,null,null,null,null,null
2017-04-04,null,null,null,null,null,null
2017-04-05,null,null,null,null,null,null
2017-04-07,null,null,null,null,null,null
2017-04-10,null,null,null,null,null,null
2017-04-11,null,null,null,null,null,null
2017-04-12,null,null,null,null,null,null
2017-04-17,null,null,null,null,null,null
2017-04-18,null,null,null,null,null,null
2017-04-19,null,null,null,null,null,null
2017-04-20,null,null,null,null,null,null
2017-04-21,null,null,null,null,null,null
2017-04-24,null,null,null,null,null,null
2017-04-25,null,null,null,null,null,null
2017-04-26,null,null,null,null,null,null
2017-04-27,10.100000,10.100000,10.100000,10.100000,10.100000,17800
2017-04-28,10.200000,10.200000,10.200000,10.200000,10.200000,10900
2017-05-02,10.200000,10.200000,10.200000,10.200000,10.200000,20700
2017-05-03,10.200000,10.200000,10.200000,10.200000,10.200000,32600
2017-05-04,10.200000,10.200000,10.200000,10.200000,10.200000,900
2017-05-08,10.200000,10.200000,10.200000,10.200000,10.200000,11100
2017-05-09,10.200000,10.200000,10.200000,10.200000,10.200000,300
2017-05-11,10.100000,10.200000,10.100000,10.200000,10.200000,292200
2017-05-12,10.100000,10.200000,10.100000,10.200000,10.200000,5100
2017-05-15,10.100000,10.100000,10.100000,10.100000,10.100000,4200
2017-05-16,10.100000,10.200000,10.100000,10.200000,10.200000,5300
2017-05-17,null,null,null,null,null,null
2017-05-18,10.200000,10.200000,10.200000,10.200000,10.200000,4800
2017-05-19,null,null,null,null,null,null
2017-05-22,null,null,null,null,null,null
2017-05-23,10.200000,10.200000,10.200000,10.200000,10.200000,5000
2017-05-24,null,null,null,null,null,null
2017-05-25,null,null,null,null,null,null
2017-05-26,10.200000,10.300000,10.200000,10.300000,10.300000,11300
2017-05-29,10.300000,10.300000,10.200000,10.200000,10.200000,41000
2017-05-30,10.200000,10.300000,10.200000,10.200000,10.200000,39100
2017-05-31,10.200000,10.200000,10.200000,10.200000,10.200000,48000
2017-06-01,10.300000,10.300000,10.300000,10.300000,10.300000,4000
2017-06-02,10.300000,10.300000,10.300000,10.300000,10.300000,100
2017-06-05,10.200000,10.200000,10.200000,10.200000,10.200000,1900
2017-06-06,null,null,null,null,null,null
2017-06-07,10.200000,10.200000,10.200000,10.200000,10.200000,5000
