Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,8.100000,8.200000,8.050000,8.200000,5.853951,1235800
2017-01-05,8.200000,8.300000,8.150000,8.250000,5.889647,1366800
2017-01-06,8.300000,9.050000,8.300000,8.700000,6.210899,26530400
2017-01-09,8.650000,8.750000,8.600000,8.700000,6.210899,2772200
2017-01-10,8.700000,8.750000,8.600000,8.650000,6.175205,1332800
2017-01-11,8.650000,8.800000,8.650000,8.750000,6.246595,1709600
2017-01-12,8.750000,8.800000,8.550000,8.600000,6.139510,1920400
2017-01-16,8.650000,8.700000,8.550000,8.600000,6.139510,644600
2017-01-17,8.600000,8.650000,8.450000,8.500000,6.068120,1724400
2017-01-18,8.500000,8.600000,8.500000,8.550000,6.103816,613000
2017-01-19,8.500000,8.550000,8.450000,8.500000,6.068120,778400
2017-01-20,8.500000,8.500000,8.300000,8.400000,5.996730,2779400
2017-01-23,8.500000,8.550000,8.450000,8.550000,6.103816,477000
2017-01-24,8.600000,8.650000,8.450000,8.450000,6.032426,834400
2017-01-25,8.500000,8.500000,8.400000,8.450000,6.032426,520600
2017-01-26,8.450000,8.550000,8.450000,8.450000,6.032426,450400
2017-01-27,8.450000,8.500000,8.400000,8.450000,6.032426,383400
2017-01-30,8.400000,8.500000,8.400000,8.450000,6.032426,720400
2017-01-31,8.450000,8.550000,8.450000,8.500000,6.068120,381000
2017-02-01,8.500000,8.550000,8.400000,8.500000,6.068120,757800
2017-02-02,8.500000,8.650000,8.450000,8.650000,6.175205,1682600
2017-02-03,8.650000,8.650000,8.550000,8.650000,6.175205,509200
2017-02-06,8.650000,8.700000,8.600000,8.700000,6.210899,951000
2017-02-07,8.700000,8.900000,8.650000,8.900000,6.353679,3660800
2017-02-08,9.000000,9.000000,8.750000,8.850000,6.317985,1826400
2017-02-09,8.850000,8.850000,8.700000,8.750000,6.246595,778000
2017-02-10,8.750000,8.750000,8.600000,8.700000,6.210899,924200
2017-02-14,8.750000,8.800000,8.700000,8.750000,6.246595,785400
2017-02-15,8.750000,8.850000,8.750000,8.750000,6.246595,2375600
2017-02-16,8.750000,8.850000,8.750000,8.850000,6.317985,749200
2017-02-17,8.850000,8.900000,8.800000,8.850000,6.317985,817600
2017-02-20,9.050000,9.150000,9.000000,9.100000,6.496459,13058600
2017-02-21,9.150000,9.450000,9.100000,9.250000,6.603543,25200200
2017-02-22,9.250000,9.350000,9.150000,9.350000,6.674933,4037000
2017-02-23,9.350000,9.450000,9.300000,9.400000,6.710627,4830600
2017-02-24,9.400000,9.400000,9.250000,9.300000,6.639238,3558200
2017-02-27,9.300000,9.300000,9.100000,9.100000,6.496459,4164800
2017-02-28,9.150000,9.200000,9.050000,9.050000,6.460764,3050200
2017-03-01,9.050000,9.250000,9.000000,9.150000,6.532153,10189400
2017-03-02,9.100000,9.150000,9.000000,9.050000,6.460764,14554400
2017-03-03,8.200000,8.350000,8.150000,8.250000,7.059775,11343200
2017-03-06,8.150000,8.250000,7.750000,7.800000,6.674696,5908200
2017-03-07,7.750000,7.750000,7.450000,7.550000,6.460764,4719800
2017-03-08,7.500000,7.700000,7.300000,7.650000,6.546337,4832400
2017-03-09,7.550000,7.650000,7.550000,7.550000,6.460764,654200
2017-03-10,7.550000,7.550000,7.450000,7.450000,6.375190,855200
2017-03-13,7.450000,7.550000,7.450000,7.500000,6.417977,976200
2017-03-14,7.500000,7.550000,7.500000,7.500000,6.417977,411200
2017-03-15,7.500000,8.100000,7.500000,7.950000,6.803056,5919600
2017-03-16,8.000000,8.050000,7.900000,7.900000,6.760269,899200
2017-03-17,7.950000,8.100000,7.950000,8.000000,6.845842,942200
2017-03-20,8.100000,8.100000,7.900000,7.900000,6.760269,392800
