Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,3.400000,3.680000,3.400000,3.520000,3.520000,9425100
2017-01-05,3.580000,4.560000,3.560000,4.340000,4.340000,65345000
2017-01-06,4.420000,4.440000,4.140000,4.160000,4.160000,8513300
2017-01-09,3.980000,4.040000,3.900000,3.940000,3.940000,2038200
2017-01-10,3.900000,3.940000,3.880000,3.900000,3.900000,1083500
2017-01-11,3.940000,4.080000,3.940000,4.000000,4.000000,747100
2017-01-12,4.060000,4.060000,3.940000,3.960000,3.960000,482800
2017-01-16,4.000000,4.020000,3.920000,3.920000,3.920000,333200
2017-01-17,3.900000,3.960000,3.880000,3.880000,3.880000,382900
2017-01-18,3.880000,3.900000,3.780000,3.840000,3.840000,568300
2017-01-19,3.840000,3.840000,3.640000,3.720000,3.720000,1285800
2017-01-20,3.680000,3.760000,3.680000,3.720000,3.720000,112000
2017-01-23,3.700000,3.820000,3.700000,3.800000,3.800000,229800
2017-01-24,3.820000,3.940000,3.800000,3.900000,3.900000,852600
2017-01-25,3.920000,3.940000,3.860000,3.880000,3.880000,379700
2017-01-26,3.880000,3.920000,3.880000,3.920000,3.920000,184400
2017-01-27,3.920000,3.940000,3.900000,3.920000,3.920000,338900
2017-01-30,3.920000,3.940000,3.900000,3.940000,3.940000,191700
2017-01-31,3.900000,3.920000,3.860000,3.880000,3.880000,208400
2017-02-01,3.880000,3.920000,3.880000,3.900000,3.900000,120800
2017-02-02,3.900000,3.920000,3.880000,3.900000,3.900000,137500
2017-02-03,3.860000,3.920000,3.860000,3.920000,3.920000,180900
2017-02-06,3.900000,3.940000,3.880000,3.920000,3.920000,149400
2017-02-07,3.940000,4.000000,3.940000,3.960000,3.960000,698700
2017-02-08,3.980000,4.000000,3.940000,3.960000,3.960000,454000
2017-02-09,4.000000,4.000000,3.920000,3.940000,3.940000,140200
2017-02-10,3.960000,3.980000,3.940000,3.940000,3.940000,114000
2017-02-14,3.960000,3.960000,3.940000,3.960000,3.960000,126300
2017-02-15,3.960000,4.080000,3.960000,4.080000,4.080000,1615000
2017-02-16,4.120000,4.220000,4.060000,4.140000,4.140000,3372600
2017-02-17,4.100000,4.140000,4.060000,4.100000,4.100000,949100
2017-02-20,4.160000,4.380000,4.120000,4.160000,4.160000,13523700
2017-02-21,4.180000,4.340000,4.020000,4.020000,4.020000,9550800
2017-02-22,4.060000,4.080000,3.900000,3.920000,3.920000,1622200
2017-02-23,3.900000,4.040000,3.880000,3.920000,3.920000,1945600
2017-02-24,3.860000,3.860000,3.720000,3.740000,3.740000,2637400
2017-02-27,3.660000,3.780000,3.600000,3.700000,3.700000,979600
2017-02-28,3.700000,3.760000,3.660000,3.720000,3.720000,504300
2017-03-01,3.720000,3.800000,3.720000,3.780000,3.780000,690600
2017-03-02,3.780000,3.840000,3.780000,3.800000,3.800000,197900
2017-03-03,3.780000,3.800000,3.780000,3.780000,3.780000,96400
2017-03-06,3.720000,3.760000,3.720000,3.740000,3.740000,242400
2017-03-07,3.700000,3.760000,3.700000,3.740000,3.740000,118500
2017-03-08,3.780000,3.780000,3.740000,3.740000,3.740000,195200
2017-03-09,3.740000,3.740000,3.740000,3.740000,3.740000,106000
