Date,Open,High,Low,Close,Adj Close,Volume
2017-01-09,5.050000,5.050000,5.050000,5.050000,5.050000,600
2017-01-10,null,null,null,null,null,null
2017-01-11,5.100000,5.100000,5.100000,5.100000,5.100000,100
2017-01-12,null,null,null,null,null,null
2017-01-16,null,null,null,null,null,null
2017-01-17,null,null,null,null,null,null
2017-01-18,null,null,null,null,null,null
2017-01-19,null,null,null,null,null,null
2017-01-20,null,null,null,null,null,null
2017-01-23,5.100000,5.100000,5.100000,5.100000,5.100000,4500
2017-01-24,null,null,null,null,null,null
2017-01-25,null,null,null,null,null,null
2017-01-26,null,null,null,null,null,null
2017-01-27,5.000000,5.050000,5.000000,5.050000,5.050000,6000
2017-01-30,5.050000,5.050000,5.050000,5.050000,5.050000,1300
2017-01-31,5.000000,5.000000,5.000000,5.000000,5.000000,3000
2017-02-01,5.050000,5.050000,5.000000,5.000000,5.000000,6200
2017-02-02,null,null,null,null,null,null
2017-02-03,5.000000,5.100000,5.000000,5.100000,5.100000,400
2017-02-06,null,null,null,null,null,null
2017-02-07,5.000000,5.000000,5.000000,5.000000,5.000000,1000
2017-02-08,5.100000,5.100000,5.100000,5.100000,5.100000,100
2017-02-09,5.050000,5.050000,5.050000,5.050000,5.050000,2000
2017-02-10,null,null,null,null,null,null
2017-02-14,5.100000,5.100000,5.100000,5.100000,5.100000,12400
2017-02-15,5.100000,5.100000,5.050000,5.100000,5.100000,29800
2017-02-16,5.100000,5.100000,5.100000,5.100000,5.100000,300
2017-02-17,5.100000,5.150000,5.050000,5.050000,5.050000,78400
2017-02-20,5.100000,5.150000,5.100000,5.150000,5.150000,34500
2017-02-21,4.980000,5.000000,4.980000,5.000000,5.000000,2000
2017-02-22,5.100000,5.100000,5.100000,5.100000,5.100000,100
2017-02-23,4.900000,4.900000,4.900000,4.900000,4.900000,100
2017-02-24,4.900000,4.900000,4.900000,4.900000,4.900000,400
2017-02-27,5.000000,5.000000,4.900000,4.900000,4.900000,4900
2017-02-28,4.900000,4.940000,4.900000,4.940000,4.940000,600
2017-03-01,4.900000,4.920000,4.900000,4.920000,4.920000,2300
2017-03-02,null,null,null,null,null,null
2017-03-03,4.980000,5.000000,4.980000,5.000000,5.000000,5000
2017-03-06,5.050000,5.050000,5.050000,5.050000,5.050000,1000
2017-03-07,null,null,null,null,null,null
