Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,2.920000,2.940000,2.900000,2.940000,2.742991,6385800
2017-01-05,2.940000,2.960000,2.900000,2.900000,2.705672,17314100
2017-01-06,2.920000,2.940000,2.900000,2.920000,2.724331,6474800
2017-01-09,2.920000,2.940000,2.880000,2.920000,2.724331,8783100
2017-01-10,2.920000,2.920000,2.880000,2.900000,2.705672,5345400
2017-01-11,2.900000,2.940000,2.900000,2.920000,2.724331,9745400
2017-01-12,2.920000,2.940000,2.900000,2.900000,2.705672,8439600
2017-01-16,2.940000,2.940000,2.900000,2.920000,2.724331,2660000
2017-01-17,2.920000,2.940000,2.900000,2.920000,2.724331,13756800
2017-01-18,2.900000,2.940000,2.900000,2.900000,2.705672,10386500
2017-01-19,2.900000,2.920000,2.880000,2.880000,2.687012,5984400
2017-01-20,2.900000,3.060000,2.880000,3.060000,2.854950,129266800
2017-01-23,3.080000,3.100000,3.040000,3.060000,2.854950,62585600
2017-01-24,3.060000,3.080000,3.020000,3.040000,2.836290,21683200
2017-01-25,3.020000,3.060000,3.000000,3.020000,2.817630,29079700
2017-01-26,3.040000,3.080000,3.000000,3.020000,2.817630,24477400
2017-01-27,3.020000,3.040000,2.940000,2.980000,2.780311,22533600
2017-01-30,3.000000,3.100000,3.000000,3.100000,2.892269,52562000
2017-01-31,3.080000,3.200000,3.040000,3.200000,2.985569,90833400
2017-02-01,3.200000,3.220000,3.140000,3.140000,2.929589,51728000
2017-02-02,3.160000,3.220000,3.140000,3.140000,2.929589,69541800
2017-02-03,3.160000,3.180000,3.100000,3.120000,2.910929,33118500
2017-02-06,3.140000,3.140000,3.060000,3.060000,2.854950,27074600
2017-02-07,3.060000,3.120000,3.020000,3.020000,2.817630,45970500
2017-02-08,3.000000,3.040000,2.940000,2.960000,2.761651,57873100
2017-02-09,2.940000,3.020000,2.940000,2.960000,2.761651,21576000
2017-02-10,2.980000,3.000000,2.960000,2.960000,2.761651,7668900
2017-02-14,2.960000,2.960000,2.920000,2.940000,2.742991,19184100
2017-02-15,2.940000,2.940000,2.900000,2.920000,2.724331,13500700
2017-02-16,2.920000,2.980000,2.920000,2.940000,2.742991,18618800
